tissue,cell_type,gene_name,mean_expression,pct_expressing
skin,Epithelial cell (keratinocyte),ACVR1B,1.1794872,18.02773497688752
heart,Adipocyte,ACVR1B,1.0714285,14.507772020725389
esophagusmuscularis,Adipocyte,ACVR1B,1.04,14.285714285714285
esophagusmucosa,Epithelial cell,ACVR1B,1.1859707,13.329950710350827
esophagusmuscularis,Neuron,ACVR1B,1.0,12.0
prostate,Epithelial cell,ACVR1B,1.1638733,11.636978286308672
skin,Other,ACVR1B,1.2307693,11.50442477876106
skin,Epithelial cell,ACVR1B,1.1846154,10.79734219269103
breast,Adipocyte,ACVR1B,1.122807,9.71039182282794
lung,Immune (myeloid),ACVR1B,1.1120543,9.657320872274145
skin,Adipocyte,ACVR1B,1.0,8.064516129032258
esophagusmucosa,Stromal,ACVR1B,1.1012658,7.987866531850354
skeletalmuscle,Adipocyte,ACVR1B,1.0833334,7.547169811320755
breast,Muscle,ACVR1B,1.0,7.236842105263158
prostate,Immune (myeloid),ACVR1B,1.0273973,7.101167315175097
esophagusmuscularis,Fibroblast,ACVR1B,1.0965518,6.9651263329810735
breast,Fibroblast,ACVR1B,1.0526316,6.95970695970696
breast,Immune (myeloid),ACVR1B,1.0,6.70391061452514
esophagusmucosa,Fibroblast,ACVR1B,1.0842696,6.323268206039076
heart,Muscle,ACVR1B,1.0898123,6.18368700265252
prostate,Muscle,ACVR1B,1.0681819,5.884975479268836
prostate,Fibroblast,ACVR1B,1.0149254,5.866900175131348
lung,Epithelial cell,ACVR1B,1.0784594,5.823468328141225
esophagusmucosa,Muscle,ACVR1B,1.1724138,5.788423153692615
esophagusmuscularis,Endothelial cell,ACVR1B,1.1052631,5.536875140103116
esophagusmuscularis,Glia,ACVR1B,1.0588236,5.257731958762887
esophagusmucosa,Immune (myeloid),ACVR1B,1.0563381,5.078683834048641
esophagusmucosa,Endothelial cell,ACVR1B,1.0466101,5.0448909790508765
heart,Fibroblast,ACVR1B,1.0717391,4.953160331646387
esophagusmuscularis,Immune (myeloid),ACVR1B,1.0620689,4.893688828889639
lung,Fibroblast,ACVR1B,1.0416666,4.878048780487805
heart,Immune (myeloid),ACVR1B,1.0588236,4.781997187060478
skin,Endothelial cell,ACVR1B,1.0625,4.69208211143695
esophagusmuscularis,Muscle,ACVR1B,1.0906475,4.674154280718272
skeletalmuscle,Fibroblast,ACVR1B,1.0688406,4.643337819650068
skin,Immune (myeloid),ACVR1B,1.0,4.46927374301676
skin,Melanocyte,ACVR1B,1.0833334,4.411764705882353
prostate,Endothelial cell,ACVR1B,1.0683761,4.140127388535031
lung,Endothelial cell,ACVR1B,1.0353982,4.115076474872542
breast,Endothelial cell,ACVR1B,1.0588236,3.859250851305335
skin,Muscle,ACVR1B,1.0,3.763440860215054
breast,Epithelial cell,ACVR1B,1.0514019,3.690291429556821
skeletalmuscle,Immune (myeloid),ACVR1B,1.037037,3.6635006784260513
heart,Endothelial cell,ACVR1B,1.0471015,3.614931237721022
skin,Fibroblast,ACVR1B,1.2941177,3.213610586011342
lung,Muscle,ACVR1B,1.0,3.067484662576687
skeletalmuscle,Glia,ACVR1B,1.0,2.857142857142857
skin,Immune (lymphocyte),ACVR1B,1.0,2.666666666666667
heart,Glia,ACVR1B,1.0,2.348993288590604
esophagusmuscularis,Immune (lymphocyte),ACVR1B,1.0,2.3255813953488373
lung,Immune (lymphocyte),ACVR1B,1.0,2.206896551724138
esophagusmucosa,Immune (lymphocyte),ACVR1B,1.0967742,1.7051705170517053
skeletalmuscle,Muscle,ACVR1B,1.0420169,1.5816756014354705
esophagusmucosa,Glia,ACVR1B,1.0,1.5384615384615383
prostate,Glia,ACVR1B,1.0,1.4925373134328357
prostate,Immune (lymphocyte),ACVR1B,1.0,1.466275659824047
skeletalmuscle,Endothelial cell,ACVR1B,1.1666666,1.35236664162284
heart,Immune (lymphocyte),ACVR1B,1.0,0.8595988538681949
skeletalmuscle,Immune (lymphocyte),ACVR1B,0.0,0.0
