tissue,cell_type,gene_name,mean_expression,pct_expressing
prostate,Epithelial cell,ARAF,1.3449014,10.1157196723443
heart,Muscle,ARAF,1.1228893,8.836206896551724
heart,Adipocyte,ARAF,1.0,8.808290155440414
esophagusmuscularis,Neuron,ARAF,2.0,8.0
esophagusmucosa,Stromal,ARAF,1.081081,7.482305358948432
prostate,Muscle,ARAF,1.0986842,6.776638430673206
skin,Other,ARAF,1.0344827,6.415929203539823
esophagusmucosa,Epithelial cell,ARAF,1.0701957,6.298927225282691
esophagusmucosa,Immune (myeloid),ARAF,1.0657895,5.436337625178827
breast,Muscle,ARAF,1.125,5.263157894736842
skeletalmuscle,Immune (lymphocyte),ARAF,1.0,5.0
esophagusmuscularis,Muscle,ARAF,1.0444126,4.694330486246553
esophagusmucosa,Endothelial cell,ARAF,1.0206186,4.147071398033347
esophagusmuscularis,Adipocyte,ARAF,1.0,4.0
esophagusmucosa,Muscle,ARAF,1.1,3.992015968063872
skin,Immune (myeloid),ARAF,1.1428572,3.910614525139665
lung,Immune (myeloid),ARAF,1.0546218,3.902279062141335
esophagusmuscularis,Immune (myeloid),ARAF,1.052174,3.8812014849814376
prostate,Immune (myeloid),ARAF,1.0769231,3.793774319066148
lung,Muscle,ARAF,1.0,3.6809815950920246
esophagusmuscularis,Endothelial cell,ARAF,1.0432099,3.63147276395427
heart,Fibroblast,ARAF,1.0303952,3.542586411112308
prostate,Endothelial cell,ARAF,1.0404041,3.5031847133757963
esophagusmucosa,Fibroblast,ARAF,1.0714285,3.481349911190053
prostate,Fibroblast,ARAF,1.1282052,3.4150612959719786
breast,Adipocyte,ARAF,1.0689656,3.2935831913685405
breast,Epithelial cell,ARAF,1.1269841,3.259182617692705
skin,Epithelial cell (keratinocyte),ARAF,1.0645162,3.184386235233693
skeletalmuscle,Adipocyte,ARAF,1.0,3.1446540880503147
esophagusmucosa,Glia,ARAF,1.0,3.076923076923077
lung,Epithelial cell,ARAF,1.0394021,3.0571131879543096
skeletalmuscle,Fibroblast,ARAF,1.0331491,3.0450874831763124
esophagusmucosa,Immune (lymphocyte),ARAF,1.0727273,3.025302530253025
skin,Epithelial cell,ARAF,1.1111112,2.990033222591362
prostate,Glia,ARAF,1.0,2.985074626865672
skeletalmuscle,Glia,ARAF,1.0,2.857142857142857
esophagusmuscularis,Glia,ARAF,1.074074,2.783505154639176
heart,Immune (myeloid),ARAF,1.0224719,2.7816846382247227
breast,Endothelial cell,ARAF,1.0416666,2.724177071509648
esophagusmuscularis,Fibroblast,ARAF,1.0282686,2.718801037563647
skin,Muscle,ARAF,1.0,2.6881720430107525
heart,Endothelial cell,ARAF,1.0247525,2.6457105435494435
skeletalmuscle,Immune (myeloid),ARAF,1.1052631,2.578018995929444
skin,Fibroblast,ARAF,1.0,2.457466918714556
skeletalmuscle,Endothelial cell,ARAF,1.032258,2.329075882794891
lung,Fibroblast,ARAF,1.0,2.303523035230352
skin,Melanocyte,ARAF,1.0,2.2058823529411766
lung,Endothelial cell,ARAF,1.0357143,2.039329934450109
heart,Glia,ARAF,1.0,2.013422818791946
skin,Endothelial cell,ARAF,1.05,1.9550342130987293
heart,Immune (lymphocyte),ARAF,1.0,1.8624641833810889
breast,Fibroblast,ARAF,1.0666667,1.831501831501832
lung,Immune (lymphocyte),ARAF,1.0769231,1.793103448275862
esophagusmuscularis,Immune (lymphocyte),ARAF,1.0,1.6611295681063123
skin,Adipocyte,ARAF,1.0,1.6129032258064515
skin,Immune (lymphocyte),ARAF,1.0,1.3333333333333337
skeletalmuscle,Muscle,ARAF,1.0498221,1.2449603473483677
prostate,Immune (lymphocyte),ARAF,1.1428572,1.0263929618768328
breast,Immune (myeloid),ARAF,1.3333334,0.8379888268156425
