tissue,cell_type,gene_name,mean_expression,pct_expressing
heart,Muscle,BMPR1A,1.8860999,39.2987400530504
esophagusmucosa,Stromal,BMPR1A,1.5229111,37.51263902932255
prostate,Muscle,BMPR1A,1.6987654,36.11234953187695
heart,Adipocyte,BMPR1A,1.5942029,35.751295336787564
esophagusmuscularis,Adipocyte,BMPR1A,1.2727273,31.428571428571427
prostate,Epithelial cell,BMPR1A,1.5194767,28.81723226281801
esophagusmuscularis,Muscle,BMPR1A,1.3626089,28.562781626202167
skeletalmuscle,Adipocyte,BMPR1A,1.2790698,27.044025157232703
lung,Muscle,BMPR1A,1.2857143,25.76687116564417
lung,Epithelial cell,BMPR1A,1.268268,24.556593977154726
skeletalmuscle,Glia,BMPR1A,1.125,22.857142857142858
esophagusmucosa,Muscle,BMPR1A,1.2522522,22.15568862275449
prostate,Fibroblast,BMPR1A,1.2687747,22.15411558669002
breast,Adipocyte,BMPR1A,1.2512953,21.919363997728563
heart,Fibroblast,BMPR1A,1.2555614,20.81404113276623
esophagusmuscularis,Neuron,BMPR1A,1.4,20.0
skin,Fibroblast,BMPR1A,1.09,18.90359168241966
skeletalmuscle,Muscle,BMPR1A,1.233853,17.903504496920828
esophagusmucosa,Epithelial cell,BMPR1A,1.2471026,17.51232241229342
lung,Fibroblast,BMPR1A,1.1578947,16.73441734417344
skin,Epithelial cell,BMPR1A,1.3434343,16.44518272425249
esophagusmucosa,Fibroblast,BMPR1A,1.1709957,16.41207815275311
skin,Muscle,BMPR1A,1.0666667,16.129032258064516
skeletalmuscle,Fibroblast,BMPR1A,1.1425414,15.225437415881563
skin,Melanocyte,BMPR1A,1.1,14.705882352941178
breast,Epithelial cell,BMPR1A,1.176259,14.38178996378686
heart,Glia,BMPR1A,1.1219512,13.758389261744966
lung,Immune (myeloid),BMPR1A,1.1990349,13.592392195441876
esophagusmuscularis,Glia,BMPR1A,1.1782945,13.29896907216495
breast,Muscle,BMPR1A,1.05,13.157894736842104
esophagusmuscularis,Fibroblast,BMPR1A,1.1521236,12.441156691324814
breast,Fibroblast,BMPR1A,1.1935484,11.355311355311356
esophagusmucosa,Glia,BMPR1A,1.0,10.76923076923077
skin,Epithelial cell (keratinocyte),BMPR1A,1.1990291,10.580380071905497
prostate,Glia,BMPR1A,1.2857143,10.44776119402985
esophagusmuscularis,Immune (myeloid),BMPR1A,1.13,10.124873439082013
prostate,Immune (myeloid),BMPR1A,1.2954545,8.560311284046692
lung,Immune (lymphocyte),BMPR1A,1.1639345,8.413793103448276
esophagusmuscularis,Immune (lymphocyte),BMPR1A,1.125,7.973421926910299
heart,Immune (lymphocyte),BMPR1A,1.0943396,7.593123209169055
esophagusmucosa,Immune (lymphocyte),BMPR1A,1.1060606,7.260726072607261
skeletalmuscle,Immune (lymphocyte),BMPR1A,1.1428572,7.000000000000001
breast,Immune (myeloid),BMPR1A,1.08,6.983240223463687
heart,Immune (myeloid),BMPR1A,1.1063348,6.907329270198469
skin,Other,BMPR1A,1.1290323,6.8584070796460175
skin,Adipocyte,BMPR1A,1.25,6.451612903225806
skeletalmuscle,Immune (myeloid),BMPR1A,1.0652174,6.241519674355495
prostate,Immune (lymphocyte),BMPR1A,1.1621622,5.425219941348973
skin,Immune (lymphocyte),BMPR1A,1.0,5.333333333333334
lung,Endothelial cell,BMPR1A,1.0687023,4.770575382374362
skeletalmuscle,Endothelial cell,BMPR1A,1.2142857,4.207362885048836
esophagusmucosa,Immune (myeloid),BMPR1A,1.1206896,4.148783977110158
skin,Immune (myeloid),BMPR1A,1.2857143,3.910614525139665
heart,Endothelial cell,BMPR1A,1.0940766,3.759004584151932
breast,Endothelial cell,BMPR1A,1.1428572,3.1782065834279227
esophagusmuscularis,Endothelial cell,BMPR1A,1.1015625,2.869311813494732
prostate,Endothelial cell,BMPR1A,1.1643835,2.583156404812456
skin,Endothelial cell,BMPR1A,1.1764706,1.6617790811339197
esophagusmucosa,Endothelial cell,BMPR1A,1.0727273,1.1757161179991449
