tissue,cell_type,gene_name,mean_expression,pct_expressing
esophagusmucosa,Stromal,CDC42BPA,1.8458498,51.16279069767442
heart,Muscle,CDC42BPA,2.0768979,50.55537135278515
heart,Endothelial cell,CDC42BPA,1.650685,49.71840209561231
prostate,Muscle,CDC42BPA,1.9892377,49.71020954079359
esophagusmuscularis,Endothelial cell,CDC42BPA,1.9227906,48.19547186729432
heart,Adipocyte,CDC42BPA,1.4623656,48.18652849740933
skeletalmuscle,Endothelial cell,CDC42BPA,1.8668885,45.154019534184826
skin,Endothelial cell,CDC42BPA,1.5046083,42.42424242424242
esophagusmucosa,Endothelial cell,CDC42BPA,1.5944021,42.00513039760582
prostate,Endothelial cell,CDC42BPA,1.6024306,40.76433121019109
breast,Endothelial cell,CDC42BPA,1.631728,40.06810442678774
lung,Endothelial cell,CDC42BPA,1.4645455,40.05826656955572
esophagusmuscularis,Neuron,CDC42BPA,1.9,40.0
prostate,Fibroblast,CDC42BPA,1.5208334,37.828371278458846
lung,Fibroblast,CDC42BPA,1.3611112,36.58536585365854
lung,Epithelial cell,CDC42BPA,1.4033161,36.32398753894081
heart,Fibroblast,CDC42BPA,1.3581232,33.735328954452456
skeletalmuscle,Adipocyte,CDC42BPA,1.3773584,33.33333333333333
skin,Muscle,CDC42BPA,1.409836,32.795698924731184
esophagusmuscularis,Adipocyte,CDC42BPA,1.4285715,32.0
breast,Muscle,CDC42BPA,1.3191489,30.92105263157895
lung,Muscle,CDC42BPA,1.28,30.67484662576687
prostate,Glia,CDC42BPA,1.25,29.850746268656717
skeletalmuscle,Muscle,CDC42BPA,1.3399668,29.387266846838862
prostate,Epithelial cell,CDC42BPA,1.4190216,28.526849564425955
heart,Glia,CDC42BPA,1.3333334,28.187919463087248
esophagusmucosa,Muscle,CDC42BPA,1.3428571,27.944111776447105
esophagusmuscularis,Muscle,CDC42BPA,1.3697072,27.796085816127515
esophagusmucosa,Fibroblast,CDC42BPA,1.3440722,27.566607460035524
breast,Fibroblast,CDC42BPA,1.32,27.472527472527474
esophagusmuscularis,Glia,CDC42BPA,1.2470589,26.28865979381444
skin,Melanocyte,CDC42BPA,1.1791044,24.63235294117647
esophagusmucosa,Glia,CDC42BPA,1.125,24.615384615384617
breast,Adipocyte,CDC42BPA,1.2648515,22.941510505394664
esophagusmucosa,Epithelial cell,CDC42BPA,1.3472085,21.94114236010438
breast,Epithelial cell,CDC42BPA,1.2623211,21.693395413002243
lung,Immune (myeloid),CDC42BPA,1.2697568,21.57730775536973
skin,Fibroblast,CDC42BPA,1.1842105,21.550094517958414
esophagusmuscularis,Fibroblast,CDC42BPA,1.2227678,21.51983860121049
skeletalmuscle,Fibroblast,CDC42BPA,1.2155102,20.60901749663526
skeletalmuscle,Glia,CDC42BPA,1.4285715,20.0
breast,Immune (myeloid),CDC42BPA,1.0833334,13.40782122905028
skin,Adipocyte,CDC42BPA,1.25,12.903225806451612
skin,Epithelial cell (keratinocyte),CDC42BPA,1.1394422,12.891628145865432
skin,Epithelial cell,CDC42BPA,1.3333334,12.458471760797345
heart,Immune (myeloid),CDC42BPA,1.1716907,11.923738084075636
esophagusmuscularis,Immune (myeloid),CDC42BPA,1.209091,11.137360782990214
skeletalmuscle,Immune (myeloid),CDC42BPA,1.1710526,10.312075983717776
skin,Immune (myeloid),CDC42BPA,1.0555556,10.05586592178771
esophagusmucosa,Immune (myeloid),CDC42BPA,1.1846154,9.298998569384835
skin,Other,CDC42BPA,1.1818181,7.300884955752212
skin,Immune (lymphocyte),CDC42BPA,1.0,5.333333333333334
esophagusmuscularis,Immune (lymphocyte),CDC42BPA,1.125,5.3156146179402
skeletalmuscle,Immune (lymphocyte),CDC42BPA,1.25,4.0
prostate,Immune (myeloid),CDC42BPA,1.2820513,3.793774319066148
heart,Immune (lymphocyte),CDC42BPA,1.1,2.865329512893983
prostate,Immune (lymphocyte),CDC42BPA,1.0769231,1.906158357771261
lung,Immune (lymphocyte),CDC42BPA,1.0,1.3793103448275863
esophagusmucosa,Immune (lymphocyte),CDC42BPA,1.173913,1.2651265126512652
