tissue,cell_type,gene_name,mean_expression,pct_expressing
skeletalmuscle,Muscle,CDKL4,1.2731946,17.238934916485757
esophagusmuscularis,Neuron,CDKL4,1.5,8.0
lung,Immune (myeloid),CDKL4,1.0869565,6.03377602885719
lung,Epithelial cell,CDKL4,1.0743244,3.688473520249221
lung,Muscle,CDKL4,1.1666666,3.6809815950920246
lung,Fibroblast,CDKL4,1.0196079,3.4552845528455287
skeletalmuscle,Glia,CDKL4,1.0,2.857142857142857
heart,Adipocyte,CDKL4,1.0,2.5906735751295336
lung,Endothelial cell,CDKL4,1.0428572,2.5491624180626364
esophagusmucosa,Stromal,CDKL4,1.0,2.0222446916076846
skeletalmuscle,Adipocyte,CDKL4,1.0,1.8867924528301887
heart,Muscle,CDKL4,1.0533333,1.8650530503978784
lung,Immune (lymphocyte),CDKL4,1.0,1.5172413793103448
breast,Endothelial cell,CDKL4,1.0,1.4755959137343928
prostate,Muscle,CDKL4,1.0357143,1.2483281319661168
prostate,Fibroblast,CDKL4,1.0714285,1.2259194395796849
esophagusmuscularis,Adipocyte,CDKL4,1.0,1.1428571428571428
prostate,Epithelial cell,CDKL4,1.0350194,1.1138560221904392
skin,Melanocyte,CDKL4,1.0,1.1029411764705883
esophagusmuscularis,Glia,CDKL4,1.0,1.0309278350515465
esophagusmucosa,Muscle,CDKL4,1.0,0.998003992015968
skin,Epithelial cell,CDKL4,1.0,0.9966777408637874
breast,Epithelial cell,CDKL4,1.0,0.9829280910501812
skin,Endothelial cell,CDKL4,1.0,0.9775171065493646
skeletalmuscle,Endothelial cell,CDKL4,1.1538461,0.9767092411720512
heart,Fibroblast,CDKL4,1.0333333,0.969096586626467
esophagusmucosa,Immune (myeloid),CDKL4,1.0,0.9298998569384836
esophagusmuscularis,Endothelial cell,CDKL4,1.0263158,0.8518269446312485
prostate,Endothelial cell,CDKL4,1.0,0.8492569002123143
esophagusmuscularis,Muscle,CDKL4,1.008,0.8406752303450131
skeletalmuscle,Immune (myeloid),CDKL4,1.0,0.8141112618724559
breast,Adipocyte,CDKL4,1.0714285,0.7950028392958546
esophagusmucosa,Endothelial cell,CDKL4,1.0882353,0.7268063274903805
skin,Epithelial cell (keratinocyte),CDKL4,1.0,0.7190549563430919
heart,Immune (lymphocyte),CDKL4,1.0,0.7163323782234957
esophagusmucosa,Epithelial cell,CDKL4,1.0,0.7031023485068135
prostate,Immune (myeloid),CDKL4,1.0,0.6809338521400778
heart,Glia,CDKL4,1.0,0.6711409395973155
esophagusmuscularis,Immune (lymphocyte),CDKL4,1.0,0.6644518272425249
breast,Muscle,CDKL4,1.0,0.6578947368421052
breast,Fibroblast,CDKL4,1.0,0.6105006105006106
heart,Endothelial cell,CDKL4,1.0888889,0.5893909626719057
skin,Fibroblast,CDKL4,1.0,0.5671077504725899
esophagusmuscularis,Fibroblast,CDKL4,1.0175439,0.5476030358343741
esophagusmucosa,Fibroblast,CDKL4,1.1333333,0.5328596802841918
skeletalmuscle,Fibroblast,CDKL4,1.0,0.5215343203230148
skin,Other,CDKL4,1.0,0.4424778761061947
esophagusmucosa,Immune (lymphocyte),CDKL4,1.0,0.44004400440044
prostate,Immune (lymphocyte),CDKL4,1.0,0.4398826979472141
esophagusmuscularis,Immune (myeloid),CDKL4,1.0,0.4049949375632805
heart,Immune (myeloid),CDKL4,1.0,0.3750586029067042
breast,Immune (myeloid),CDKL4,1.0,0.2793296089385474
esophagusmucosa,Glia,CDKL4,0.0,0.0
prostate,Glia,CDKL4,0.0,0.0
skeletalmuscle,Immune (lymphocyte),CDKL4,0.0,0.0
skin,Adipocyte,CDKL4,0.0,0.0
skin,Immune (lymphocyte),CDKL4,0.0,0.0
skin,Immune (myeloid),CDKL4,0.0,0.0
skin,Muscle,CDKL4,0.0,0.0
