tissue,cell_type,gene_name,mean_expression,pct_expressing
heart,Muscle,CSNK2A1,1.4473684,28.978779840848805
esophagusmuscularis,Neuron,CSNK2A1,1.8333334,24.0
esophagusmuscularis,Adipocyte,CSNK2A1,1.1463414,23.42857142857143
heart,Adipocyte,CSNK2A1,1.2093023,22.279792746113987
esophagusmucosa,Epithelial cell,CSNK2A1,1.2674206,19.86807770368223
lung,Immune (myeloid),CSNK2A1,1.2116851,19.363830136087884
prostate,Epithelial cell,CSNK2A1,1.2222222,18.84020283448186
breast,Adipocyte,CSNK2A1,1.1888545,18.34185122089722
lung,Epithelial cell,CSNK2A1,1.1616136,16.57736240913811
skeletalmuscle,Adipocyte,CSNK2A1,1.0,16.352201257861633
esophagusmucosa,Immune (myeloid),CSNK2A1,1.1201923,14.878397711015737
heart,Fibroblast,CSNK2A1,1.1566929,13.675029611284591
esophagusmucosa,Stromal,CSNK2A1,1.2761194,13.549039433771489
skin,Epithelial cell (keratinocyte),CSNK2A1,1.2015209,13.507960965588085
lung,Muscle,CSNK2A1,1.0909091,13.496932515337424
prostate,Endothelial cell,CSNK2A1,1.1466666,13.26963906581741
esophagusmucosa,Muscle,CSNK2A1,1.060606,13.17365269461078
esophagusmucosa,Endothelial cell,CSNK2A1,1.135906,12.740487387772554
lung,Fibroblast,CSNK2A1,1.0869565,12.466124661246612
heart,Immune (myeloid),CSNK2A1,1.1437659,12.28316924519456
heart,Endothelial cell,CSNK2A1,1.1195652,12.049770792403406
prostate,Immune (myeloid),CSNK2A1,1.107438,11.7704280155642
esophagusmuscularis,Endothelial cell,CSNK2A1,1.1366336,11.320331764178436
esophagusmuscularis,Immune (myeloid),CSNK2A1,1.1018518,10.934863314208572
prostate,Fibroblast,CSNK2A1,1.1048387,10.85814360770578
esophagusmucosa,Glia,CSNK2A1,1.0,10.76923076923077
esophagusmuscularis,Muscle,CSNK2A1,1.138732,10.713565135516848
skin,Epithelial cell,CSNK2A1,1.125,10.6312292358804
skin,Other,CSNK2A1,1.1276596,10.398230088495575
skin,Endothelial cell,CSNK2A1,1.1320754,10.361681329423265
prostate,Muscle,CSNK2A1,1.2643172,10.12037449843959
breast,Immune (myeloid),CSNK2A1,1.1111112,10.05586592178771
esophagusmucosa,Fibroblast,CSNK2A1,1.0957855,9.271758436944936
lung,Endothelial cell,CSNK2A1,1.0984251,9.249817916970136
heart,Immune (lymphocyte),CSNK2A1,1.046875,9.169054441260744
esophagusmuscularis,Fibroblast,CSNK2A1,1.1024287,9.0978960514939
esophagusmuscularis,Glia,CSNK2A1,1.1590909,9.072164948453608
prostate,Glia,CSNK2A1,1.0,8.955223880597014
skin,Melanocyte,CSNK2A1,1.0833334,8.823529411764707
skeletalmuscle,Immune (myeloid),CSNK2A1,1.0923077,8.819538670284938
skeletalmuscle,Glia,CSNK2A1,1.0,8.571428571428571
lung,Immune (lymphocyte),CSNK2A1,1.1290323,8.551724137931034
esophagusmucosa,Immune (lymphocyte),CSNK2A1,1.1225806,8.525852585258525
breast,Epithelial cell,CSNK2A1,1.1086066,8.415244007587514
heart,Glia,CSNK2A1,1.0,8.389261744966444
skin,Immune (myeloid),CSNK2A1,1.1333333,8.379888268156424
skin,Fibroblast,CSNK2A1,1.0232558,8.128544423440454
esophagusmuscularis,Immune (lymphocyte),CSNK2A1,1.2083334,7.973421926910299
skeletalmuscle,Muscle,CSNK2A1,1.0964863,7.943821718133888
breast,Endothelial cell,CSNK2A1,1.0746269,7.604994324631101
breast,Muscle,CSNK2A1,1.0909091,7.236842105263158
prostate,Immune (lymphocyte),CSNK2A1,1.0816326,7.184750733137831
skeletalmuscle,Fibroblast,CSNK2A1,1.0802006,6.712651413189771
skin,Immune (lymphocyte),CSNK2A1,1.2,6.666666666666667
skeletalmuscle,Endothelial cell,CSNK2A1,1.0714285,6.311044327573254
breast,Fibroblast,CSNK2A1,1.1276596,5.738705738705739
skin,Muscle,CSNK2A1,1.1,5.376344086021505
skeletalmuscle,Immune (lymphocyte),CSNK2A1,1.0,5.0
skin,Adipocyte,CSNK2A1,1.0,4.838709677419355
