tissue,cell_type,gene_name,mean_expression,pct_expressing
breast,Fibroblast,DCLK1,4.1331363,82.53968253968253
esophagusmuscularis,Neuron,DCLK1,3.1875,64.0
esophagusmuscularis,Fibroblast,DCLK1,2.7411072,62.119319819387066
esophagusmucosa,Fibroblast,DCLK1,2.8489208,59.25399644760213
skin,Fibroblast,DCLK1,2.7055016,58.41209829867675
heart,Fibroblast,DCLK1,2.1753545,51.64208032733929
skeletalmuscle,Fibroblast,DCLK1,2.1184065,45.60901749663526
lung,Fibroblast,DCLK1,2.0343008,25.677506775067748
esophagusmuscularis,Adipocyte,DCLK1,2.264706,19.428571428571427
esophagusmucosa,Stromal,DCLK1,1.6318681,18.402426693629927
prostate,Fibroblast,DCLK1,1.7128713,17.68826619964974
prostate,Glia,DCLK1,1.3,14.925373134328357
heart,Adipocyte,DCLK1,1.5925926,13.989637305699482
esophagusmucosa,Muscle,DCLK1,1.4558823,13.572854291417164
heart,Endothelial cell,DCLK1,1.3708543,13.032089063523248
prostate,Muscle,DCLK1,1.4733096,12.527864467231389
skeletalmuscle,Glia,DCLK1,1.25,11.428571428571429
breast,Muscle,DCLK1,1.5882353,11.18421052631579
lung,Muscle,DCLK1,1.5294118,10.429447852760736
heart,Muscle,DCLK1,1.486685,9.02685676392573
skin,Muscle,DCLK1,1.5,8.60215053763441
esophagusmucosa,Glia,DCLK1,3.0,7.6923076923076925
breast,Endothelial cell,DCLK1,1.9848485,7.491486946651532
lung,Epithelial cell,DCLK1,1.2547506,6.994807892004154
skeletalmuscle,Adipocyte,DCLK1,1.1,6.289308176100629
lung,Immune (myeloid),DCLK1,1.0868421,6.230529595015576
skeletalmuscle,Immune (lymphocyte),DCLK1,1.1666666,6.0
esophagusmuscularis,Glia,DCLK1,1.4655173,5.979381443298969
esophagusmuscularis,Muscle,DCLK1,1.5212889,5.844374201358531
esophagusmuscularis,Endothelial cell,DCLK1,1.6958525,4.864380183815288
prostate,Epithelial cell,DCLK1,1.6313726,4.420751527759719
breast,Epithelial cell,DCLK1,1.706383,4.0524228315226765
esophagusmuscularis,Immune (lymphocyte),DCLK1,2.0,3.986710963455149
esophagusmuscularis,Immune (myeloid),DCLK1,1.6666666,3.746203172460344
skeletalmuscle,Endothelial cell,DCLK1,1.2553191,3.5311795642374157
lung,Endothelial cell,DCLK1,1.0561798,3.241077931536781
skin,Adipocyte,DCLK1,5.0,3.225806451612903
breast,Adipocyte,DCLK1,1.9814814,3.0664395229982966
skin,Melanocyte,DCLK1,1.0,2.941176470588235
breast,Immune (myeloid),DCLK1,2.1,2.793296089385475
esophagusmucosa,Endothelial cell,DCLK1,1.3728814,2.5224454895254382
skeletalmuscle,Muscle,DCLK1,1.0754716,2.348145850870586
skeletalmuscle,Immune (myeloid),DCLK1,1.2941177,2.3066485753052914
prostate,Endothelial cell,DCLK1,1.0952381,2.229299363057325
lung,Immune (lymphocyte),DCLK1,1.0,2.0689655172413794
esophagusmucosa,Epithelial cell,DCLK1,1.4734849,1.913598144389678
heart,Glia,DCLK1,1.2,1.6778523489932886
skin,Immune (myeloid),DCLK1,1.0,1.675977653631285
prostate,Immune (myeloid),DCLK1,1.0,1.556420233463035
heart,Immune (myeloid),DCLK1,1.255814,1.3439599937490232
prostate,Immune (lymphocyte),DCLK1,1.0,1.1730205278592376
esophagusmucosa,Immune (myeloid),DCLK1,1.6428572,1.0014306151645207
skin,Epithelial cell,DCLK1,1.5,0.9966777408637874
skin,Other,DCLK1,2.0,0.8849557522123894
skin,Endothelial cell,DCLK1,1.375,0.7820136852394917
heart,Immune (lymphocyte),DCLK1,1.0,0.7163323782234957
skin,Epithelial cell (keratinocyte),DCLK1,1.5384616,0.667693888032871
esophagusmucosa,Immune (lymphocyte),DCLK1,1.5,0.44004400440044
skin,Immune (lymphocyte),DCLK1,0.0,0.0
