tissue,cell_type,gene_name,mean_expression,pct_expressing
lung,Immune (myeloid),EIF2AK4,1.1593534,14.199049024430236
heart,Muscle,EIF2AK4,1.1378397,12.508289124668432
skin,Immune (myeloid),EIF2AK4,1.2105263,10.614525139664805
esophagusmucosa,Stromal,EIF2AK4,1.125,10.51567239635996
heart,Adipocyte,EIF2AK4,1.0,10.362694300518134
esophagusmuscularis,Immune (myeloid),EIF2AK4,1.1237458,10.091123860951738
heart,Immune (myeloid),EIF2AK4,1.0966667,9.376465072667605
esophagusmuscularis,Adipocyte,EIF2AK4,1.0625,9.142857142857142
prostate,Immune (myeloid),EIF2AK4,1.082353,8.268482490272373
prostate,Epithelial cell,EIF2AK4,1.0976919,8.074372643349369
prostate,Fibroblast,EIF2AK4,1.1222222,7.880910683012258
breast,Immune (myeloid),EIF2AK4,1.1071428,7.82122905027933
prostate,Endothelial cell,EIF2AK4,1.0769231,7.820240622788393
skeletalmuscle,Immune (myeloid),EIF2AK4,1.0350877,7.734056987788331
prostate,Muscle,EIF2AK4,1.082353,7.5791350869371374
esophagusmucosa,Immune (myeloid),EIF2AK4,1.0882353,7.296137339055794
breast,Muscle,EIF2AK4,1.1818181,7.236842105263158
heart,Endothelial cell,EIF2AK4,1.0819672,7.19056974459725
lung,Epithelial cell,EIF2AK4,1.0770578,7.115264797507788
breast,Adipocyte,EIF2AK4,1.0967742,7.04145371947757
esophagusmucosa,Epithelial cell,EIF2AK4,1.0873269,6.8063206726587415
esophagusmucosa,Endothelial cell,EIF2AK4,1.0857143,6.733646857631466
heart,Fibroblast,EIF2AK4,1.0897226,6.600624528911382
breast,Fibroblast,EIF2AK4,1.06,6.105006105006105
breast,Endothelial cell,EIF2AK4,1.1153846,5.902383654937571
esophagusmuscularis,Glia,EIF2AK4,1.0909091,5.670103092783505
skeletalmuscle,Adipocyte,EIF2AK4,1.0,5.660377358490567
esophagusmucosa,Fibroblast,EIF2AK4,1.0774194,5.506216696269982
breast,Epithelial cell,EIF2AK4,1.086262,5.397482324538713
esophagusmuscularis,Endothelial cell,EIF2AK4,1.0720339,5.290293656130912
esophagusmuscularis,Muscle,EIF2AK4,1.0758226,4.701055888089313
skin,Other,EIF2AK4,1.0476191,4.646017699115045
skin,Endothelial cell,EIF2AK4,1.0851064,4.594330400782014
lung,Fibroblast,EIF2AK4,1.015625,4.336043360433604
esophagusmucosa,Muscle,EIF2AK4,1.0952381,4.191616766467066
skeletalmuscle,Muscle,EIF2AK4,1.0689656,4.111470470958309
esophagusmuscularis,Neuron,EIF2AK4,1.0,4.0
lung,Endothelial cell,EIF2AK4,1.0952381,3.823743627093955
skin,Epithelial cell,EIF2AK4,1.0869565,3.820598006644518
lung,Muscle,EIF2AK4,1.0,3.6809815950920246
skin,Melanocyte,EIF2AK4,1.1,3.6764705882352944
lung,Immune (lymphocyte),EIF2AK4,1.0769231,3.586206896551724
skeletalmuscle,Endothelial cell,EIF2AK4,1.0425532,3.5311795642374157
skeletalmuscle,Fibroblast,EIF2AK4,1.0574163,3.516150740242261
esophagusmuscularis,Fibroblast,EIF2AK4,1.0278552,3.448938418676146
skin,Fibroblast,EIF2AK4,1.0555556,3.402646502835539
heart,Glia,EIF2AK4,1.0,3.355704697986577
skeletalmuscle,Immune (lymphocyte),EIF2AK4,1.0,3.0
esophagusmucosa,Immune (lymphocyte),EIF2AK4,1.0754716,2.915291529152915
skeletalmuscle,Glia,EIF2AK4,1.0,2.857142857142857
skin,Epithelial cell (keratinocyte),EIF2AK4,1.0588236,2.6194144838212634
heart,Immune (lymphocyte),EIF2AK4,1.0,2.5787965616045847
skin,Muscle,EIF2AK4,1.0,2.1505376344086025
esophagusmuscularis,Immune (lymphocyte),EIF2AK4,1.0,1.9933554817275747
skin,Adipocyte,EIF2AK4,1.0,1.6129032258064515
prostate,Glia,EIF2AK4,1.0,1.4925373134328357
skin,Immune (lymphocyte),EIF2AK4,1.0,1.3333333333333337
prostate,Immune (lymphocyte),EIF2AK4,1.1111112,1.3196480938416422
esophagusmucosa,Glia,EIF2AK4,0.0,0.0
