tissue,cell_type,gene_name,mean_expression,pct_expressing
skin,Endothelial cell,HIPK3,2.2775736,53.17693059628543
esophagusmuscularis,Endothelial cell,HIPK3,2.2335863,50.19054023761489
prostate,Endothelial cell,HIPK3,2.147482,49.1861288039632
esophagusmucosa,Endothelial cell,HIPK3,2.1691408,47.52030782385635
heart,Muscle,HIPK3,1.8534744,43.89920424403183
esophagusmuscularis,Adipocyte,HIPK3,1.9178082,41.71428571428572
skeletalmuscle,Adipocyte,HIPK3,1.6779661,37.10691823899371
heart,Adipocyte,HIPK3,1.3428571,36.26943005181347
esophagusmuscularis,Glia,HIPK3,1.4645162,31.95876288659793
heart,Fibroblast,HIPK3,1.3330868,29.12673629805104
skeletalmuscle,Endothelial cell,HIPK3,1.6839378,29.000751314800898
breast,Endothelial cell,HIPK3,1.690196,28.944381384790013
esophagusmuscularis,Muscle,HIPK3,1.4522067,28.49552760777456
prostate,Glia,HIPK3,1.5789474,28.35820895522388
esophagusmucosa,Stromal,HIPK3,1.4528985,27.906976744186046
breast,Muscle,HIPK3,1.3,26.31578947368421
heart,Immune (myeloid),HIPK3,1.3020214,26.28535708704485
esophagusmucosa,Glia,HIPK3,1.2941177,26.15384615384616
skin,Muscle,HIPK3,1.2765957,25.26881720430108
heart,Endothelial cell,HIPK3,1.300052,25.18664047151277
prostate,Muscle,HIPK3,1.4738739,24.743646901471244
skin,Adipocyte,HIPK3,1.4666667,24.193548387096776
esophagusmuscularis,Fibroblast,HIPK3,1.301735,22.70150831011625
lung,Epithelial cell,HIPK3,1.2702904,22.31360332294912
prostate,Epithelial cell,HIPK3,1.4063681,21.7787023794045
lung,Immune (myeloid),HIPK3,1.2304777,21.62649614690933
prostate,Fibroblast,HIPK3,1.2958333,21.015761821366024
heart,Glia,HIPK3,1.1290323,20.80536912751678
esophagusmucosa,Muscle,HIPK3,1.1826923,20.758483033932134
esophagusmuscularis,Neuron,HIPK3,1.2,20.0
esophagusmucosa,Fibroblast,HIPK3,1.2082585,19.786856127886324
breast,Adipocyte,HIPK3,1.2920353,19.2504258943782
lung,Endothelial cell,HIPK3,1.351145,19.08230152949745
breast,Immune (myeloid),HIPK3,1.2352941,18.994413407821227
skin,Immune (myeloid),HIPK3,1.2647059,18.994413407821227
esophagusmucosa,Epithelial cell,HIPK3,1.3624083,18.780806030733547
esophagusmucosa,Immune (myeloid),HIPK3,1.2230769,18.59799713876967
prostate,Immune (myeloid),HIPK3,1.1851852,18.385214007782103
skeletalmuscle,Glia,HIPK3,1.5,17.142857142857142
esophagusmuscularis,Immune (myeloid),HIPK3,1.2696177,16.773540330745863
lung,Fibroblast,HIPK3,1.2033899,15.989159891598916
skeletalmuscle,Fibroblast,HIPK3,1.1962025,15.94885598923284
breast,Fibroblast,HIPK3,1.24,15.262515262515263
skeletalmuscle,Immune (myeloid),HIPK3,1.1262136,13.975576662143826
skin,Fibroblast,HIPK3,1.1538461,12.287334593572778
skin,Immune (lymphocyte),HIPK3,1.0,12.0
skin,Epithelial cell (keratinocyte),HIPK3,1.1396396,11.40215716486903
prostate,Immune (lymphocyte),HIPK3,1.1052631,11.143695014662756
lung,Muscle,HIPK3,1.117647,10.429447852760736
skin,Other,HIPK3,1.2444445,9.95575221238938
breast,Epithelial cell,HIPK3,1.1363636,9.86376961545094
esophagusmucosa,Immune (lymphocyte),HIPK3,1.1190476,9.24092409240924
esophagusmuscularis,Immune (lymphocyte),HIPK3,1.3703704,8.970099667774086
heart,Immune (lymphocyte),HIPK3,1.101695,8.45272206303725
lung,Immune (lymphocyte),HIPK3,1.1052631,7.862068965517241
skeletalmuscle,Muscle,HIPK3,1.1361582,7.841921049133845
skin,Epithelial cell,HIPK3,1.1794872,6.4784053156146175
skin,Melanocyte,HIPK3,1.1764706,6.25
skeletalmuscle,Immune (lymphocyte),HIPK3,1.2,5.0
