tissue,cell_type,gene_name,mean_expression,pct_expressing
esophagusmucosa,Muscle,NTRK3,1.5855263,30.33932135728543
breast,Muscle,NTRK3,1.6829268,26.973684210526315
skin,Muscle,NTRK3,1.6086956,24.731182795698924
lung,Muscle,NTRK3,1.6052631,23.31288343558282
prostate,Fibroblast,NTRK3,1.4601227,14.273204903677758
breast,Epithelial cell,NTRK3,1.5325733,10.588032419382651
heart,Adipocyte,NTRK3,1.1666666,6.217616580310881
skin,Fibroblast,NTRK3,1.3225807,5.860113421550095
esophagusmuscularis,Adipocyte,NTRK3,1.5,5.714285714285714
heart,Muscle,NTRK3,1.5312,5.180702917771883
prostate,Muscle,NTRK3,1.6421052,4.235399019170753
esophagusmucosa,Fibroblast,NTRK3,1.4,3.7300177619893424
lung,Immune (myeloid),NTRK3,1.0807174,3.656337104443352
prostate,Epithelial cell,NTRK3,1.3562176,3.345902136696572
skin,Adipocyte,NTRK3,1.5,3.225806451612903
esophagusmuscularis,Muscle,NTRK3,1.3930131,3.080234043984128
breast,Immune (myeloid),NTRK3,1.2727273,3.072625698324022
prostate,Glia,NTRK3,1.0,2.985074626865672
skeletalmuscle,Glia,NTRK3,1.0,2.857142857142857
breast,Fibroblast,NTRK3,1.0909091,2.6862026862026864
esophagusmuscularis,Fibroblast,NTRK3,1.2319392,2.5266596214814103
lung,Fibroblast,NTRK3,1.1111112,2.4390243902439024
esophagusmuscularis,Glia,NTRK3,1.0434783,2.3711340206185567
esophagusmucosa,Stromal,NTRK3,1.4090909,2.224469160768453
skin,Epithelial cell,NTRK3,1.1538461,2.1594684385382057
heart,Glia,NTRK3,1.3333334,2.013422818791946
skeletalmuscle,Fibroblast,NTRK3,1.1886792,1.7833109017496636
lung,Endothelial cell,NTRK3,1.1086956,1.6751638747268751
lung,Epithelial cell,NTRK3,1.028133,1.6240913811007267
esophagusmucosa,Glia,NTRK3,1.0,1.5384615384615383
breast,Endothelial cell,NTRK3,1.5384616,1.4755959137343928
skeletalmuscle,Muscle,NTRK3,1.2987013,1.36458287182668
breast,Adipocyte,NTRK3,1.125,1.362862010221465
skin,Immune (lymphocyte),NTRK3,2.0,1.3333333333333337
heart,Fibroblast,NTRK3,1.2711865,1.2705933024658125
lung,Immune (lymphocyte),NTRK3,1.0,1.2413793103448276
skin,Other,NTRK3,1.2,1.106194690265487
skeletalmuscle,Immune (lymphocyte),NTRK3,1.0,1.0
skeletalmuscle,Endothelial cell,NTRK3,1.0769231,0.9767092411720512
prostate,Immune (myeloid),NTRK3,1.1,0.9727626459143968
prostate,Endothelial cell,NTRK3,1.4074074,0.9554140127388536
skin,Endothelial cell,NTRK3,1.25,0.7820136852394917
skin,Melanocyte,NTRK3,1.0,0.7352941176470588
prostate,Immune (lymphocyte),NTRK3,1.0,0.7331378299120235
esophagusmuscularis,Endothelial cell,NTRK3,1.0,0.6500784577449003
esophagusmuscularis,Immune (myeloid),NTRK3,1.1764706,0.5737428282146473
skin,Immune (myeloid),NTRK3,3.0,0.5586592178770949
esophagusmucosa,Immune (myeloid),NTRK3,1.0,0.5007153075822603
esophagusmucosa,Endothelial cell,NTRK3,1.1363636,0.470286447199658
esophagusmucosa,Epithelial cell,NTRK3,1.290909,0.3986662800811829
heart,Endothelial cell,NTRK3,1.0666667,0.3929273084479371
esophagusmuscularis,Immune (lymphocyte),NTRK3,1.0,0.3322259136212624
skeletalmuscle,Immune (myeloid),NTRK3,1.0,0.2713704206241519
heart,Immune (myeloid),NTRK3,1.0,0.2344116268166901
skin,Epithelial cell (keratinocyte),NTRK3,1.25,0.2054442732408834
esophagusmucosa,Immune (lymphocyte),NTRK3,1.0,0.11001100110011
esophagusmuscularis,Neuron,NTRK3,0.0,0.0
heart,Immune (lymphocyte),NTRK3,0.0,0.0
skeletalmuscle,Adipocyte,NTRK3,0.0,0.0
