tissue,cell_type,gene_name,mean_expression,pct_expressing
prostate,Glia,PDK2,1.2857143,10.44776119402985
heart,Muscle,PDK2,1.1733594,8.463196286472147
heart,Adipocyte,PDK2,1.0,8.290155440414509
esophagusmuscularis,Neuron,PDK2,1.0,8.0
skin,Other,PDK2,1.0,5.530973451327434
prostate,Muscle,PDK2,1.1065574,5.439144003566652
breast,Adipocyte,PDK2,1.054054,4.202157864849517
esophagusmuscularis,Adipocyte,PDK2,1.0,4.0
skeletalmuscle,Adipocyte,PDK2,1.0,3.7735849056603774
esophagusmuscularis,Muscle,PDK2,1.1003861,3.4837581545497343
prostate,Epithelial cell,PDK2,1.0589148,2.795475230789234
prostate,Fibroblast,PDK2,1.0666667,2.626970227670753
lung,Muscle,PDK2,1.0,2.4539877300613497
esophagusmucosa,Stromal,PDK2,1.0,2.426693629929221
breast,Muscle,PDK2,1.0,1.973684210526316
skin,Fibroblast,PDK2,1.2,1.890359168241966
skin,Epithelial cell (keratinocyte),PDK2,1.0,1.6435541859270673
skin,Muscle,PDK2,1.3333334,1.6129032258064515
skin,Adipocyte,PDK2,1.0,1.6129032258064515
prostate,Endothelial cell,PDK2,1.0227273,1.556970983722576
esophagusmucosa,Epithelial cell,PDK2,1.035,1.4496955639315745
heart,Fibroblast,PDK2,1.0083333,1.2921287821686227
esophagusmuscularis,Glia,PDK2,1.0,1.2371134020618555
esophagusmucosa,Fibroblast,PDK2,1.0,1.2078152753108349
heart,Glia,PDK2,1.0,1.006711409395973
esophagusmucosa,Muscle,PDK2,1.0,0.998003992015968
prostate,Immune (lymphocyte),PDK2,1.0,0.8797653958944283
esophagusmucosa,Endothelial cell,PDK2,1.0731708,0.8764429243266354
skeletalmuscle,Muscle,PDK2,1.0478723,0.8329272074786229
lung,Epithelial cell,PDK2,1.01,0.8307372793354102
prostate,Immune (myeloid),PDK2,1.125,0.7782101167315175
skin,Melanocyte,PDK2,1.0,0.7352941176470588
breast,Endothelial cell,PDK2,1.0,0.681044267877412
heart,Endothelial cell,PDK2,1.0,0.6679764243614932
esophagusmuscularis,Fibroblast,PDK2,1.0151515,0.6340666730713805
lung,Immune (myeloid),PDK2,1.0,0.6230529595015576
lung,Endothelial cell,PDK2,1.0,0.6190823015294974
skeletalmuscle,Immune (myeloid),PDK2,1.0,0.5427408412483039
breast,Epithelial cell,PDK2,1.0333333,0.5173305742369374
esophagusmuscularis,Endothelial cell,PDK2,1.0,0.4931629679444071
lung,Immune (lymphocyte),PDK2,1.0,0.4137931034482758
skeletalmuscle,Fibroblast,PDK2,1.0,0.3869448183041722
esophagusmuscularis,Immune (myeloid),PDK2,1.0,0.3374957813027337
lung,Fibroblast,PDK2,1.0,0.2710027100271002
skeletalmuscle,Endothelial cell,PDK2,1.0,0.2253944402704733
esophagusmucosa,Immune (myeloid),PDK2,1.0,0.2145922746781116
skin,Endothelial cell,PDK2,1.0,0.1955034213098729
skin,Epithelial cell,PDK2,1.0,0.1661129568106312
heart,Immune (myeloid),PDK2,1.0,0.140646976090014
esophagusmucosa,Immune (lymphocyte),PDK2,1.0,0.11001100110011
breast,Immune (myeloid),PDK2,0.0,0.0
heart,Immune (lymphocyte),PDK2,0.0,0.0
esophagusmuscularis,Immune (lymphocyte),PDK2,0.0,0.0
breast,Fibroblast,PDK2,0.0,0.0
esophagusmucosa,Glia,PDK2,0.0,0.0
skeletalmuscle,Glia,PDK2,0.0,0.0
skeletalmuscle,Immune (lymphocyte),PDK2,0.0,0.0
skin,Immune (lymphocyte),PDK2,0.0,0.0
skin,Immune (myeloid),PDK2,0.0,0.0
