tissue,cell_type,gene_name,mean_expression,pct_expressing
esophagusmuscularis,Neuron,PHKG2,1.0,12.0
esophagusmucosa,Epithelial cell,PHKG2,1.0585859,7.175993041461293
esophagusmucosa,Stromal,PHKG2,1.057971,6.976744186046512
skeletalmuscle,Glia,PHKG2,1.0,5.714285714285714
prostate,Epithelial cell,PHKG2,1.0963652,5.127204958176224
skin,Other,PHKG2,1.1304348,5.08849557522124
esophagusmucosa,Immune (myeloid),PHKG2,1.0,5.078683834048641
skin,Immune (myeloid),PHKG2,1.0,4.46927374301676
skin,Epithelial cell (keratinocyte),PHKG2,1.0352942,4.3656908063687725
lung,Epithelial cell,PHKG2,1.0317125,3.9293873312564895
prostate,Immune (myeloid),PHKG2,1.1,3.891050583657588
heart,Muscle,PHKG2,1.044289,3.556034482758621
esophagusmucosa,Fibroblast,PHKG2,1.0206186,3.4458259325044405
prostate,Muscle,PHKG2,1.0533333,3.3437360677663843
skin,Epithelial cell,PHKG2,1.05,3.322259136212625
breast,Muscle,PHKG2,1.2,3.289473684210526
esophagusmucosa,Muscle,PHKG2,1.0,3.1936127744510974
breast,Epithelial cell,PHKG2,1.0648649,3.190205207794447
breast,Immune (myeloid),PHKG2,1.0,3.072625698324022
lung,Muscle,PHKG2,1.2,3.067484662576687
esophagusmuscularis,Muscle,PHKG2,1.0276382,2.676709933418522
lung,Immune (myeloid),PHKG2,1.0246913,2.6561731431382194
heart,Immune (myeloid),PHKG2,1.0206896,2.2659790592280045
breast,Adipocyte,PHKG2,1.051282,2.2146507666098807
skin,Melanocyte,PHKG2,1.0,2.2058823529411766
esophagusmucosa,Immune (lymphocyte),PHKG2,1.05,2.2002200220022003
heart,Adipocyte,PHKG2,1.0,2.072538860103627
breast,Endothelial cell,PHKG2,1.0588236,1.9296254256526677
esophagusmuscularis,Immune (myeloid),PHKG2,1.0526316,1.9237259534255824
skeletalmuscle,Adipocyte,PHKG2,1.0,1.8867924528301887
breast,Fibroblast,PHKG2,1.0,1.831501831501832
esophagusmuscularis,Fibroblast,PHKG2,1.005291,1.815736381977135
skeletalmuscle,Immune (myeloid),PHKG2,1.0,1.7639077340569878
esophagusmuscularis,Glia,PHKG2,1.0,1.6494845360824744
esophagusmucosa,Endothelial cell,PHKG2,1.0657895,1.6246259085079091
skin,Adipocyte,PHKG2,1.0,1.6129032258064515
lung,Fibroblast,PHKG2,1.0,1.5582655826558265
prostate,Glia,PHKG2,1.0,1.4925373134328357
skeletalmuscle,Fibroblast,PHKG2,1.0246913,1.3627187079407803
skin,Immune (lymphocyte),PHKG2,1.0,1.3333333333333337
esophagusmuscularis,Immune (lymphocyte),PHKG2,1.0,1.32890365448505
skeletalmuscle,Muscle,PHKG2,1.0273037,1.298125913783173
heart,Fibroblast,PHKG2,1.0254238,1.2705933024658125
esophagusmuscularis,Endothelial cell,PHKG2,1.037037,1.21049092131809
heart,Immune (lymphocyte),PHKG2,1.0,1.146131805157593
esophagusmuscularis,Adipocyte,PHKG2,1.5,1.1428571428571428
lung,Immune (lymphocyte),PHKG2,1.0,1.103448275862069
skeletalmuscle,Immune (lymphocyte),PHKG2,1.0,1.0
prostate,Fibroblast,PHKG2,1.0,0.9632224168126094
skeletalmuscle,Endothelial cell,PHKG2,1.0,0.9015777610818932
skin,Endothelial cell,PHKG2,1.1111112,0.8797653958944283
prostate,Endothelial cell,PHKG2,1.0434783,0.813871196036801
heart,Endothelial cell,PHKG2,1.0169492,0.7727570399476097
lung,Endothelial cell,PHKG2,1.0,0.764748725418791
prostate,Immune (lymphocyte),PHKG2,1.0,0.7331378299120235
heart,Glia,PHKG2,1.0,0.3355704697986577
esophagusmucosa,Glia,PHKG2,0.0,0.0
skin,Fibroblast,PHKG2,0.0,0.0
skin,Muscle,PHKG2,0.0,0.0
