tissue,cell_type,gene_name,mean_expression,pct_expressing
lung,Epithelial cell,PIP5KL1,1.0385208,2.695742471443406
esophagusmucosa,Epithelial cell,PIP5KL1,1.0334573,1.949840533487968
esophagusmucosa,Stromal,PIP5KL1,1.1666666,1.820020222446916
skin,Epithelial cell,PIP5KL1,1.0,1.32890365448505
skin,Epithelial cell (keratinocyte),PIP5KL1,1.0416666,1.2326656394453006
prostate,Epithelial cell,PIP5KL1,1.0095694,0.905820656178217
breast,Epithelial cell,PIP5KL1,1.0196079,0.8794619762027935
lung,Immune (myeloid),PIP5KL1,1.02,0.8198065256599443
lung,Muscle,PIP5KL1,1.0,0.6134969325153374
esophagusmuscularis,Adipocyte,PIP5KL1,1.0,0.5714285714285714
breast,Adipocyte,PIP5KL1,1.0,0.5678591709256104
heart,Adipocyte,PIP5KL1,1.0,0.5181347150259068
skin,Endothelial cell,PIP5KL1,1.0,0.4887585532746823
skin,Other,PIP5KL1,1.0,0.4424778761061947
prostate,Fibroblast,PIP5KL1,1.0,0.4378283712784588
lung,Fibroblast,PIP5KL1,1.0,0.4065040650406504
prostate,Muscle,PIP5KL1,1.0,0.4012483281319661
prostate,Endothelial cell,PIP5KL1,1.0,0.389242745930644
breast,Fibroblast,PIP5KL1,1.0,0.3663003663003663
esophagusmuscularis,Glia,PIP5KL1,1.0,0.3092783505154639
esophagusmuscularis,Fibroblast,PIP5KL1,1.0,0.2882121241233548
breast,Immune (myeloid),PIP5KL1,1.0,0.2793296089385474
lung,Endothelial cell,PIP5KL1,1.0,0.2549162418062636
esophagusmuscularis,Muscle,PIP5KL1,1.0277778,0.2421144663393638
breast,Endothelial cell,PIP5KL1,1.0,0.2270147559591373
skeletalmuscle,Endothelial cell,PIP5KL1,1.0,0.2253944402704733
esophagusmucosa,Muscle,PIP5KL1,1.0,0.1996007984031935
skin,Fibroblast,PIP5KL1,1.0,0.1890359168241966
heart,Fibroblast,PIP5KL1,1.0,0.172283837622483
heart,Endothelial cell,PIP5KL1,1.0,0.1571709233791748
skeletalmuscle,Fibroblast,PIP5KL1,1.0,0.1514131897711978
prostate,Immune (lymphocyte),PIP5KL1,1.0,0.1466275659824047
heart,Immune (lymphocyte),PIP5KL1,1.0,0.1432664756446991
lung,Immune (lymphocyte),PIP5KL1,1.0,0.1379310344827586
esophagusmucosa,Endothelial cell,PIP5KL1,1.0,0.1282599401453612
heart,Immune (myeloid),PIP5KL1,1.0,0.1250195343022347
esophagusmuscularis,Endothelial cell,PIP5KL1,1.0,0.1120824927146379
esophagusmuscularis,Immune (myeloid),PIP5KL1,1.0,0.1012487343908201
prostate,Immune (myeloid),PIP5KL1,1.0,0.0972762645914396
heart,Muscle,PIP5KL1,1.0,0.0828912466843501
esophagusmucosa,Immune (myeloid),PIP5KL1,1.0,0.0715307582260371
esophagusmucosa,Immune (lymphocyte),PIP5KL1,1.0,0.055005500550055
esophagusmucosa,Fibroblast,PIP5KL1,1.0,0.0355239786856127
skeletalmuscle,Muscle,PIP5KL1,1.0,0.0221523193478357
heart,Glia,PIP5KL1,0.0,0.0
esophagusmuscularis,Immune (lymphocyte),PIP5KL1,0.0,0.0
esophagusmucosa,Glia,PIP5KL1,0.0,0.0
breast,Muscle,PIP5KL1,0.0,0.0
esophagusmuscularis,Neuron,PIP5KL1,0.0,0.0
skeletalmuscle,Adipocyte,PIP5KL1,0.0,0.0
prostate,Glia,PIP5KL1,0.0,0.0
skin,Adipocyte,PIP5KL1,0.0,0.0
skeletalmuscle,Immune (myeloid),PIP5KL1,0.0,0.0
skeletalmuscle,Glia,PIP5KL1,0.0,0.0
skeletalmuscle,Immune (lymphocyte),PIP5KL1,0.0,0.0
skin,Immune (lymphocyte),PIP5KL1,0.0,0.0
skin,Immune (myeloid),PIP5KL1,0.0,0.0
skin,Melanocyte,PIP5KL1,0.0,0.0
skin,Muscle,PIP5KL1,0.0,0.0
