tissue,cell_type,gene_name,mean_expression,pct_expressing
heart,Adipocyte,PRKAA1,1.25,20.72538860103627
esophagusmucosa,Stromal,PRKAA1,1.1912569,18.503538928210315
esophagusmuscularis,Neuron,PRKAA1,1.0,16.0
lung,Muscle,PRKAA1,1.0416666,14.723926380368098
heart,Fibroblast,PRKAA1,1.126926,14.676429417465275
skeletalmuscle,Fibroblast,PRKAA1,1.1090701,14.65343203230148
heart,Muscle,PRKAA1,1.1653684,13.83454907161804
esophagusmuscularis,Adipocyte,PRKAA1,1.1666666,13.714285714285715
skin,Muscle,PRKAA1,1.2,13.440860215053762
prostate,Epithelial cell,PRKAA1,1.165071,13.127898409396265
prostate,Muscle,PRKAA1,1.159864,13.107445385644226
esophagusmucosa,Fibroblast,PRKAA1,1.1277778,12.788632326820604
prostate,Fibroblast,PRKAA1,1.1666666,12.609457092819614
esophagusmucosa,Muscle,PRKAA1,1.1129032,12.375249500998004
skin,Fibroblast,PRKAA1,1.09375,12.098298676748582
breast,Fibroblast,PRKAA1,1.1428572,11.965811965811966
lung,Fibroblast,PRKAA1,1.1590909,11.924119241192413
prostate,Endothelial cell,PRKAA1,1.0942249,11.641896673743808
esophagusmuscularis,Fibroblast,PRKAA1,1.1028668,11.393985973676626
skeletalmuscle,Adipocyte,PRKAA1,1.1666666,11.320754716981131
heart,Endothelial cell,PRKAA1,1.0974478,11.29011132940406
breast,Muscle,PRKAA1,1.0588236,11.18421052631579
esophagusmucosa,Endothelial cell,PRKAA1,1.1267056,10.966224882428389
skin,Immune (lymphocyte),PRKAA1,1.0,10.666666666666668
skin,Endothelial cell,PRKAA1,1.1415094,10.361681329423265
esophagusmucosa,Immune (lymphocyte),PRKAA1,1.1276596,10.34103410341034
esophagusmuscularis,Immune (lymphocyte),PRKAA1,1.0666667,9.966777408637874
esophagusmuscularis,Endothelial cell,PRKAA1,1.0890411,9.818426361802286
lung,Immune (myeloid),PRKAA1,1.0956376,9.772093785866536
breast,Endothelial cell,PRKAA1,1.1294118,9.648127128263337
prostate,Immune (myeloid),PRKAA1,1.080808,9.63035019455253
esophagusmucosa,Epithelial cell,PRKAA1,1.1282246,9.553493766309074
lung,Epithelial cell,PRKAA1,1.1024858,9.524402907580477
skeletalmuscle,Endothelial cell,PRKAA1,1.1065574,9.166040570999249
breast,Adipocyte,PRKAA1,1.1282052,8.858603066439523
prostate,Immune (lymphocyte),PRKAA1,1.0689656,8.504398826979472
esophagusmuscularis,Muscle,PRKAA1,1.0780255,8.447104714506693
breast,Epithelial cell,PRKAA1,1.1206896,8.001379548197965
heart,Immune (lymphocyte),PRKAA1,1.0545454,7.879656160458452
esophagusmucosa,Immune (myeloid),PRKAA1,1.0833334,7.725321888412018
esophagusmuscularis,Glia,PRKAA1,1.0869565,7.11340206185567
skeletalmuscle,Immune (myeloid),PRKAA1,1.0769231,7.055630936227951
lung,Immune (lymphocyte),PRKAA1,1.0784314,7.03448275862069
lung,Endothelial cell,PRKAA1,1.0777202,7.028404952658413
skeletalmuscle,Immune (lymphocyte),PRKAA1,1.0,7.000000000000001
skin,Melanocyte,PRKAA1,1.0,6.985294117647059
esophagusmuscularis,Immune (myeloid),PRKAA1,1.0780488,6.918663516706042
heart,Immune (myeloid),PRKAA1,1.0487239,6.735427410532896
skin,Adipocyte,PRKAA1,1.0,6.451612903225806
skin,Epithelial cell,PRKAA1,1.1578947,6.312292358803987
prostate,Glia,PRKAA1,1.25,5.970149253731343
skin,Other,PRKAA1,1.0454545,4.867256637168142
skin,Epithelial cell (keratinocyte),PRKAA1,1.1170213,4.82794042116076
heart,Glia,PRKAA1,1.1428572,4.697986577181208
esophagusmucosa,Glia,PRKAA1,1.0,4.615384615384616
skin,Immune (myeloid),PRKAA1,1.25,4.46927374301676
breast,Immune (myeloid),PRKAA1,1.2142857,3.910614525139665
skeletalmuscle,Muscle,PRKAA1,1.0429448,2.8886624429577776
skeletalmuscle,Glia,PRKAA1,1.0,2.857142857142857
