tissue,cell_type,gene_name,mean_expression,pct_expressing
skeletalmuscle,Adipocyte,PRKCG,1.0,1.8867924528301887
esophagusmucosa,Glia,PRKCG,1.0,1.5384615384615383
breast,Immune (myeloid),PRKCG,1.0,1.11731843575419
lung,Immune (myeloid),PRKCG,1.0192307,0.852598786686342
skeletalmuscle,Fibroblast,PRKCG,1.0,0.7402422611036339
lung,Epithelial cell,PRKCG,1.018868,0.660436137071651
esophagusmuscularis,Glia,PRKCG,1.0,0.6185567010309279
lung,Muscle,PRKCG,1.0,0.6134969325153374
lung,Fibroblast,PRKCG,1.0,0.6097560975609756
lung,Endothelial cell,PRKCG,1.0,0.5826656955571741
esophagusmuscularis,Adipocyte,PRKCG,1.0,0.5714285714285714
skeletalmuscle,Muscle,PRKCG,1.0254238,0.522794736608923
heart,Adipocyte,PRKCG,1.0,0.5181347150259068
prostate,Immune (myeloid),PRKCG,1.0,0.4863813229571984
skeletalmuscle,Immune (myeloid),PRKCG,1.0,0.4070556309362279
esophagusmucosa,Muscle,PRKCG,1.0,0.3992015968063871
skin,Endothelial cell,PRKCG,1.0,0.3910068426197458
esophagusmucosa,Fibroblast,PRKCG,1.0,0.3907637655417406
skin,Fibroblast,PRKCG,1.0,0.3780718336483932
prostate,Muscle,PRKCG,1.0,0.3566651805617477
breast,Adipocyte,PRKCG,1.0,0.3407155025553662
breast,Endothelial cell,PRKCG,1.0,0.340522133938706
esophagusmuscularis,Fibroblast,PRKCG,1.060606,0.3170333365356902
skin,Epithelial cell (keratinocyte),PRKCG,1.0,0.3081664098613251
esophagusmucosa,Stromal,PRKCG,1.0,0.3033367037411527
esophagusmuscularis,Muscle,PRKCG,1.0,0.2959176810814446
heart,Immune (lymphocyte),PRKCG,1.0,0.2865329512893982
heart,Muscle,PRKCG,1.0,0.2818302387267904
lung,Immune (lymphocyte),PRKCG,1.0,0.2758620689655172
esophagusmuscularis,Immune (myeloid),PRKCG,1.0,0.2699966250421869
prostate,Epithelial cell,PRKCG,1.0,0.2687123477657868
heart,Fibroblast,PRKCG,1.0,0.2584257564337245
esophagusmucosa,Endothelial cell,PRKCG,1.0,0.2565198802907225
heart,Immune (myeloid),PRKCG,1.0,0.2500390686044694
prostate,Endothelial cell,PRKCG,1.0,0.2476999292285916
heart,Endothelial cell,PRKCG,1.0,0.2226588081204977
esophagusmucosa,Immune (lymphocyte),PRKCG,1.0,0.22002200220022
esophagusmucosa,Epithelial cell,PRKCG,1.0,0.2174543345897361
esophagusmucosa,Immune (myeloid),PRKCG,1.0,0.2145922746781116
esophagusmuscularis,Endothelial cell,PRKCG,1.0,0.2017484868863483
breast,Epithelial cell,PRKCG,1.0,0.1896878772202103
skin,Epithelial cell,PRKCG,1.0,0.1661129568106312
skeletalmuscle,Endothelial cell,PRKCG,1.0,0.1502629601803155
breast,Fibroblast,PRKCG,1.0,0.1221001221001221
esophagusmuscularis,Neuron,PRKCG,0.0,0.0
esophagusmuscularis,Immune (lymphocyte),PRKCG,0.0,0.0
breast,Muscle,PRKCG,0.0,0.0
heart,Glia,PRKCG,0.0,0.0
prostate,Immune (lymphocyte),PRKCG,0.0,0.0
prostate,Fibroblast,PRKCG,0.0,0.0
prostate,Glia,PRKCG,0.0,0.0
skin,Adipocyte,PRKCG,0.0,0.0
skeletalmuscle,Immune (lymphocyte),PRKCG,0.0,0.0
skeletalmuscle,Glia,PRKCG,0.0,0.0
skin,Immune (lymphocyte),PRKCG,0.0,0.0
skin,Immune (myeloid),PRKCG,0.0,0.0
skin,Melanocyte,PRKCG,0.0,0.0
skin,Muscle,PRKCG,0.0,0.0
skin,Other,PRKCG,0.0,0.0
