tissue,cell_type,gene_name,mean_expression,pct_expressing
prostate,Endothelial cell,TGFBR2,2.2419176,63.481953290870486
prostate,Glia,TGFBR2,1.902439,61.19402985074627
skeletalmuscle,Fibroblast,TGFBR2,1.9291981,55.60228802153432
esophagusmucosa,Endothelial cell,TGFBR2,2.0409975,50.57716973065413
esophagusmuscularis,Endothelial cell,TGFBR2,1.8996779,48.71105133378166
skin,Endothelial cell,TGFBR2,1.8495575,44.18377321603128
heart,Fibroblast,TGFBR2,1.6438524,44.05082373209864
heart,Glia,TGFBR2,1.4453782,39.93288590604027
esophagusmuscularis,Fibroblast,TGFBR2,1.594358,39.50427514650783
lung,Epithelial cell,TGFBR2,1.517888,38.54620976116303
esophagusmucosa,Glia,TGFBR2,1.32,38.46153846153847
heart,Endothelial cell,TGFBR2,1.7765772,37.57694826457105
breast,Endothelial cell,TGFBR2,1.6214511,35.98183881952327
breast,Fibroblast,TGFBR2,1.5173612,35.16483516483517
esophagusmucosa,Immune (lymphocyte),TGFBR2,1.3668832,33.88338833883388
esophagusmucosa,Fibroblast,TGFBR2,1.6943277,33.818827708703374
heart,Muscle,TGFBR2,1.593983,33.33885941644562
prostate,Immune (lymphocyte),TGFBR2,1.3348215,32.84457478005865
skeletalmuscle,Endothelial cell,TGFBR2,1.7398568,31.480090157776107
prostate,Fibroblast,TGFBR2,1.7688023,31.436077057793344
esophagusmuscularis,Adipocyte,TGFBR2,1.6481482,30.85714285714285
esophagusmuscularis,Glia,TGFBR2,1.3854166,29.690721649484537
lung,Endothelial cell,TGFBR2,1.4835858,28.84195193008012
prostate,Immune (myeloid),TGFBR2,1.3496504,27.82101167315175
heart,Immune (myeloid),TGFBR2,1.2559322,27.660571964369435
lung,Immune (lymphocyte),TGFBR2,1.34,27.58620689655172
skeletalmuscle,Immune (lymphocyte),TGFBR2,1.2,25.0
esophagusmucosa,Immune (myeloid),TGFBR2,1.2902299,24.892703862660944
skeletalmuscle,Immune (myeloid),TGFBR2,1.284153,24.830393487109905
heart,Immune (lymphocyte),TGFBR2,1.2294117,24.355300859598856
esophagusmuscularis,Immune (myeloid),TGFBR2,1.2626996,23.253459331758357
esophagusmuscularis,Immune (lymphocyte),TGFBR2,1.3333334,22.92358803986711
lung,Immune (myeloid),TGFBR2,1.397711,22.92179045745204
breast,Adipocyte,TGFBR2,1.3934838,22.657580919931856
heart,Adipocyte,TGFBR2,1.4634147,21.243523316062177
skin,Adipocyte,TGFBR2,1.3076923,20.967741935483872
lung,Muscle,TGFBR2,1.2058823,20.858895705521476
lung,Fibroblast,TGFBR2,1.4948806,19.850948509485093
breast,Muscle,TGFBR2,1.4,19.73684210526316
esophagusmuscularis,Muscle,TGFBR2,1.2892157,19.20774766292286
skeletalmuscle,Adipocyte,TGFBR2,1.4137931,18.238993710691823
skin,Immune (myeloid),TGFBR2,1.28125,17.877094972067038
prostate,Muscle,TGFBR2,1.4101266,17.61034329023629
skin,Immune (lymphocyte),TGFBR2,1.3076923,17.333333333333336
skeletalmuscle,Glia,TGFBR2,1.0,17.142857142857142
breast,Immune (myeloid),TGFBR2,1.2,16.75977653631285
skin,Fibroblast,TGFBR2,1.2716049,15.311909262759924
esophagusmucosa,Stromal,TGFBR2,1.4266666,15.166835187057634
esophagusmucosa,Muscle,TGFBR2,1.2027028,14.770459081836329
breast,Epithelial cell,TGFBR2,1.2475387,12.260734609415415
skin,Epithelial cell (keratinocyte),TGFBR2,1.1855204,11.350796096558808
prostate,Epithelial cell,TGFBR2,1.2012116,10.016036059463442
skin,Other,TGFBR2,1.1463414,9.070796460176991
esophagusmuscularis,Neuron,TGFBR2,1.0,8.0
skin,Muscle,TGFBR2,1.1666666,6.451612903225806
esophagusmucosa,Epithelial cell,TGFBR2,1.2592047,4.921716439547695
skin,Melanocyte,TGFBR2,1.0,3.308823529411765
skin,Epithelial cell,TGFBR2,1.0,2.823920265780731
skeletalmuscle,Muscle,TGFBR2,1.1487342,1.4000265827832177
