cell_type,gene_name,expression
Immune (alveolar macrophage),ADCK2,0.051629983
Sweat gland cell,ADCK2,0.04416579
Epithelial cell (alveolar type I),ADCK2,0.036279947
Mucous cell,ADCK2,0.036029868
Epithelial cell (alveolar type II),ADCK2,0.033341162
Immune (DC),ADCK2,0.028612627
ICCs,ADCK2,0.027542934
Myofibroblast,ADCK2,0.027126618
Epithelial cell (Hillock),ADCK2,0.02630696
Epithelial cell (club),ADCK2,0.025664587
Epithelial cell (basal),ADCK2,0.02214749
Epithelial cell (suprabasal),ADCK2,0.02178128
Myocyte (cardiac),ADCK2,0.020410985
Myocyte (sk. muscle),ADCK2,0.019556116
Epithelial cell (basal keratinocyte),ADCK2,0.018573578
Myoepithelial (basal),ADCK2,0.017937943
Epithelial cell (ciliated),ADCK2,0.017651025
Immune (T cell),ADCK2,0.017117128
Immune (mast cell),ADCK2,0.0168875
Endothelial cell (vascular),ADCK2,0.015677407
Epithelial cell (luminal),ADCK2,0.015405864
Immune (DC/macrophage),ADCK2,0.0151608195
Schwann cell,ADCK2,0.014919987
Myocyte (smooth muscle),ADCK2,0.014826708
Epithelial cell (mature keratinocyte),ADCK2,0.014415217
Fibroblast,ADCK2,0.01370313
Adipocyte,ADCK2,0.013671444
Endothelial cell (lymphatic),ADCK2,0.012575097
Melanocyte,ADCK2,0.01212391
Pericyte/SMC,ADCK2,0.011524837
Immune (B cell),ADCK2,0.010831635
Sebaceous gland cell,ADCK2,0.009723391
Epithelial cell (suprabasal keratinocyte),ADCK2,0.008956685
Immune (NK cell),ADCK2,0.0074367635
Epithelial cell (squamous),ADCK2,0.0069036935
"Myocyte (cardiac, cytoplasmic)",ADCK2,0.001861199
Epithelial cell (cornified keratinocyte),ADCK2,0.0
Immune (Langerhans),ADCK2,0.0
Myocyte (NMJ-rich),ADCK2,0.0
"Myocyte (sk. muscle, cytoplasmic)",ADCK2,0.0
Neuroendocrine,ADCK2,0.0
Neuronal,ADCK2,0.0
Satellite cell,ADCK2,0.0
