cell_type,gene_name,expression
Myofibroblast,CDK11B,0.2130637
Epithelial cell (mature keratinocyte),CDK11B,0.20999913
Immune (B cell),CDK11B,0.20884472
Epithelial cell (suprabasal),CDK11B,0.20052508
Mucous cell,CDK11B,0.18824323
Immune (alveolar macrophage),CDK11B,0.18236601
Epithelial cell (cornified keratinocyte),CDK11B,0.18214715
Immune (mast cell),CDK11B,0.17354082
Myoepithelial (basal),CDK11B,0.17289609
Sebaceous gland cell,CDK11B,0.15437329
Epithelial cell (ciliated),CDK11B,0.14815365
Epithelial cell (basal),CDK11B,0.14233068
Epithelial cell (alveolar type II),CDK11B,0.13902152
Myocyte (NMJ-rich),CDK11B,0.13703255
"Myocyte (cardiac, cytoplasmic)",CDK11B,0.13547446
Epithelial cell (basal keratinocyte),CDK11B,0.13488735
Myocyte (smooth muscle),CDK11B,0.13378894
Myocyte (cardiac),CDK11B,0.12917735
Immune (T cell),CDK11B,0.12907843
Epithelial cell (luminal),CDK11B,0.12630667
Epithelial cell (Hillock),CDK11B,0.122249
Epithelial cell (alveolar type I),CDK11B,0.121729694
Adipocyte,CDK11B,0.11901914
Epithelial cell (club),CDK11B,0.1146477
Immune (NK cell),CDK11B,0.11094728
Endothelial cell (vascular),CDK11B,0.10909974
Pericyte/SMC,CDK11B,0.1058497
Immune (DC/macrophage),CDK11B,0.1017207
Epithelial cell (suprabasal keratinocyte),CDK11B,0.10109148
"Myocyte (sk. muscle, cytoplasmic)",CDK11B,0.10086538
Fibroblast,CDK11B,0.09522413
Endothelial cell (lymphatic),CDK11B,0.093689
Sweat gland cell,CDK11B,0.09345383
Schwann cell,CDK11B,0.08964799
Myocyte (sk. muscle),CDK11B,0.08575706
Neuroendocrine,CDK11B,0.08451144
Immune (DC),CDK11B,0.081366085
Melanocyte,CDK11B,0.075875714
ICCs,CDK11B,0.07565264
Epithelial cell (squamous),CDK11B,0.07191747
Immune (Langerhans),CDK11B,0.06648867
Satellite cell,CDK11B,0.049956705
Neuronal,CDK11B,0.0
