cell_type,gene_name,expression
Epithelial cell (mature keratinocyte),CSNK2A2,0.37223807
Epithelial cell (cornified keratinocyte),CSNK2A2,0.34902713
Mucous cell,CSNK2A2,0.2570966
Endothelial cell (lymphatic),CSNK2A2,0.20843635
Epithelial cell (suprabasal),CSNK2A2,0.20740908
Epithelial cell (Hillock),CSNK2A2,0.20376708
Myofibroblast,CSNK2A2,0.18456107
Adipocyte,CSNK2A2,0.17514428
ICCs,CSNK2A2,0.17390965
Epithelial cell (basal),CSNK2A2,0.1704167
Myocyte (smooth muscle),CSNK2A2,0.16621198
Myocyte (cardiac),CSNK2A2,0.16515833
Epithelial cell (club),CSNK2A2,0.1640258
Epithelial cell (suprabasal keratinocyte),CSNK2A2,0.15664357
Immune (DC),CSNK2A2,0.15423529
Immune (alveolar macrophage),CSNK2A2,0.15127766
Neuroendocrine,CSNK2A2,0.14905353
Epithelial cell (alveolar type II),CSNK2A2,0.14692536
Schwann cell,CSNK2A2,0.14557382
Sebaceous gland cell,CSNK2A2,0.14073601
Endothelial cell (vascular),CSNK2A2,0.13828945
Immune (mast cell),CSNK2A2,0.13551813
Epithelial cell (luminal),CSNK2A2,0.1308943
Fibroblast,CSNK2A2,0.12928946
Immune (DC/macrophage),CSNK2A2,0.1287173
Pericyte/SMC,CSNK2A2,0.12691617
Epithelial cell (basal keratinocyte),CSNK2A2,0.1261305
Immune (T cell),CSNK2A2,0.12259958
Satellite cell,CSNK2A2,0.12241806
Immune (NK cell),CSNK2A2,0.122114845
"Myocyte (cardiac, cytoplasmic)",CSNK2A2,0.117808424
Epithelial cell (alveolar type I),CSNK2A2,0.11315745
Myoepithelial (basal),CSNK2A2,0.10821942
Immune (B cell),CSNK2A2,0.08637226
Sweat gland cell,CSNK2A2,0.08587552
Myocyte (NMJ-rich),CSNK2A2,0.08243365
Melanocyte,CSNK2A2,0.08012496
Epithelial cell (ciliated),CSNK2A2,0.07855625
Epithelial cell (squamous),CSNK2A2,0.07200418
Neuronal,CSNK2A2,0.0611457
Immune (Langerhans),CSNK2A2,0.05980752
"Myocyte (sk. muscle, cytoplasmic)",CSNK2A2,0.046284065
Myocyte (sk. muscle),CSNK2A2,0.04117836
