cell_type,gene_name,expression
Epithelial cell (alveolar type I),DAPK2,1.5963854
Myocyte (cardiac),DAPK2,1.0728539
Myocyte (NMJ-rich),DAPK2,1.0209949
Sebaceous gland cell,DAPK2,1.0002168
Myocyte (sk. muscle),DAPK2,0.97912806
Epithelial cell (alveolar type II),DAPK2,0.59424806
Immune (T cell),DAPK2,0.5034292
Epithelial cell (club),DAPK2,0.48200682
Epithelial cell (basal keratinocyte),DAPK2,0.4632281
Adipocyte,DAPK2,0.43234107
Myoepithelial (basal),DAPK2,0.40963256
Epithelial cell (suprabasal),DAPK2,0.40778968
"Myocyte (sk. muscle, cytoplasmic)",DAPK2,0.40306965
Epithelial cell (luminal),DAPK2,0.4016971
Epithelial cell (ciliated),DAPK2,0.28717604
Epithelial cell (squamous),DAPK2,0.26422194
Immune (B cell),DAPK2,0.21092397
Mucous cell,DAPK2,0.2077847
"Myocyte (cardiac, cytoplasmic)",DAPK2,0.19225429
Epithelial cell (basal),DAPK2,0.13803175
Satellite cell,DAPK2,0.12600443
Epithelial cell (suprabasal keratinocyte),DAPK2,0.12325975
Myofibroblast,DAPK2,0.120301485
Neuronal,DAPK2,0.117971025
Immune (alveolar macrophage),DAPK2,0.1148094
Epithelial cell (Hillock),DAPK2,0.114437535
Epithelial cell (cornified keratinocyte),DAPK2,0.11265887
Immune (mast cell),DAPK2,0.09996832
Sweat gland cell,DAPK2,0.08536888
Melanocyte,DAPK2,0.079674885
Endothelial cell (lymphatic),DAPK2,0.07900585
Epithelial cell (mature keratinocyte),DAPK2,0.075456135
Immune (DC),DAPK2,0.0749504
Fibroblast,DAPK2,0.07273042
Neuroendocrine,DAPK2,0.071153484
Immune (NK cell),DAPK2,0.07016223
Endothelial cell (vascular),DAPK2,0.06515807
ICCs,DAPK2,0.06155743
Immune (DC/macrophage),DAPK2,0.04864867
Pericyte/SMC,DAPK2,0.041337304
Myocyte (smooth muscle),DAPK2,0.03597065
Schwann cell,DAPK2,0.029710336
Immune (Langerhans),DAPK2,0.0
