cell_type,gene_name,expression
Sebaceous gland cell,FAM20B,0.25611654
Immune (alveolar macrophage),FAM20B,0.25201395
Immune (DC),FAM20B,0.21112989
Epithelial cell (Hillock),FAM20B,0.20034188
Epithelial cell (suprabasal),FAM20B,0.20026869
Epithelial cell (suprabasal keratinocyte),FAM20B,0.1996644
Myofibroblast,FAM20B,0.1954054
Mucous cell,FAM20B,0.1951918
"Myocyte (cardiac, cytoplasmic)",FAM20B,0.17686966
Epithelial cell (basal keratinocyte),FAM20B,0.16950423
Epithelial cell (basal),FAM20B,0.16913794
Myocyte (cardiac),FAM20B,0.16881242
Adipocyte,FAM20B,0.16302049
Myocyte (smooth muscle),FAM20B,0.16288224
Schwann cell,FAM20B,0.16180003
Epithelial cell (ciliated),FAM20B,0.16154218
Epithelial cell (club),FAM20B,0.1589457
Epithelial cell (alveolar type I),FAM20B,0.15345755
Epithelial cell (mature keratinocyte),FAM20B,0.14495614
Epithelial cell (alveolar type II),FAM20B,0.13633469
Neuroendocrine,FAM20B,0.13335751
Pericyte/SMC,FAM20B,0.13332412
Endothelial cell (vascular),FAM20B,0.12800895
Endothelial cell (lymphatic),FAM20B,0.1276814
Fibroblast,FAM20B,0.12573065
Immune (DC/macrophage),FAM20B,0.12214834
Immune (T cell),FAM20B,0.12016113
Epithelial cell (luminal),FAM20B,0.114288196
Myocyte (NMJ-rich),FAM20B,0.11031253
Neuronal,FAM20B,0.10267818
Sweat gland cell,FAM20B,0.10267433
Melanocyte,FAM20B,0.099368684
Immune (mast cell),FAM20B,0.09908596
Immune (B cell),FAM20B,0.09855711
Immune (NK cell),FAM20B,0.09771727
ICCs,FAM20B,0.091575325
"Myocyte (sk. muscle, cytoplasmic)",FAM20B,0.08402605
Epithelial cell (squamous),FAM20B,0.08223515
Epithelial cell (cornified keratinocyte),FAM20B,0.079977386
Satellite cell,FAM20B,0.07492395
Myoepithelial (basal),FAM20B,0.074503936
Myocyte (sk. muscle),FAM20B,0.05805219
Immune (Langerhans),FAM20B,0.0
