cell_type,gene_name,expression
Myocyte (cardiac),FN3K,0.44184658
Mucous cell,FN3K,0.20427456
Neuronal,FN3K,0.08638911
Epithelial cell (alveolar type I),FN3K,0.083145246
Epithelial cell (ciliated),FN3K,0.07606041
Immune (Langerhans),FN3K,0.07568952
Myocyte (smooth muscle),FN3K,0.07391583
Melanocyte,FN3K,0.0721187
Schwann cell,FN3K,0.07000381
ICCs,FN3K,0.069117345
Pericyte/SMC,FN3K,0.06290946
Epithelial cell (alveolar type II),FN3K,0.061929166
Epithelial cell (club),FN3K,0.061542757
Epithelial cell (luminal),FN3K,0.060800306
Immune (DC),FN3K,0.058083244
Adipocyte,FN3K,0.056114085
Myofibroblast,FN3K,0.055947494
"Myocyte (cardiac, cytoplasmic)",FN3K,0.052277654
Neuroendocrine,FN3K,0.04668207
Immune (alveolar macrophage),FN3K,0.044469
Sebaceous gland cell,FN3K,0.04329451
Epithelial cell (basal),FN3K,0.042651143
Immune (B cell),FN3K,0.039434675
Myocyte (sk. muscle),FN3K,0.03496197
Epithelial cell (Hillock),FN3K,0.03402229
Myocyte (NMJ-rich),FN3K,0.03169851
Fibroblast,FN3K,0.028897036
Endothelial cell (lymphatic),FN3K,0.027813384
Satellite cell,FN3K,0.025631977
Sweat gland cell,FN3K,0.025611704
Endothelial cell (vascular),FN3K,0.024537079
Immune (DC/macrophage),FN3K,0.024454227
Myoepithelial (basal),FN3K,0.023357587
Epithelial cell (mature keratinocyte),FN3K,0.022240635
Immune (mast cell),FN3K,0.021760443
"Myocyte (sk. muscle, cytoplasmic)",FN3K,0.020777373
Epithelial cell (suprabasal),FN3K,0.017325306
Immune (T cell),FN3K,0.013339714
Epithelial cell (squamous),FN3K,0.012429492
Epithelial cell (basal keratinocyte),FN3K,0.012140965
Epithelial cell (cornified keratinocyte),FN3K,0.0
Immune (NK cell),FN3K,0.0
Epithelial cell (suprabasal keratinocyte),FN3K,0.0
