cell_type,gene_name,expression
"Myocyte (cardiac, cytoplasmic)",JMJD6,0.18136126
Myocyte (cardiac),JMJD6,0.16466896
Myocyte (smooth muscle),JMJD6,0.1595959
Immune (DC),JMJD6,0.13846259
Myofibroblast,JMJD6,0.13304058
Myocyte (NMJ-rich),JMJD6,0.12777333
Melanocyte,JMJD6,0.10890789
Immune (alveolar macrophage),JMJD6,0.10869832
Epithelial cell (cornified keratinocyte),JMJD6,0.101483956
"Myocyte (sk. muscle, cytoplasmic)",JMJD6,0.10141005
ICCs,JMJD6,0.09472188
Sweat gland cell,JMJD6,0.094385564
Immune (NK cell),JMJD6,0.093034506
Pericyte/SMC,JMJD6,0.09213045
Epithelial cell (alveolar type I),JMJD6,0.0904394
Adipocyte,JMJD6,0.08794641
Schwann cell,JMJD6,0.08685555
Epithelial cell (alveolar type II),JMJD6,0.07797958
Immune (DC/macrophage),JMJD6,0.074910395
Immune (Langerhans),JMJD6,0.07452027
Immune (mast cell),JMJD6,0.07318169
Epithelial cell (ciliated),JMJD6,0.071842685
Epithelial cell (basal),JMJD6,0.069174394
Epithelial cell (club),JMJD6,0.06707947
Epithelial cell (suprabasal),JMJD6,0.06685011
Satellite cell,JMJD6,0.06615326
Fibroblast,JMJD6,0.06407895
Endothelial cell (lymphatic),JMJD6,0.05963129
Immune (T cell),JMJD6,0.05952799
Endothelial cell (vascular),JMJD6,0.057287276
Epithelial cell (luminal),JMJD6,0.05261962
Epithelial cell (squamous),JMJD6,0.05181018
Myoepithelial (basal),JMJD6,0.051675946
Epithelial cell (Hillock),JMJD6,0.048219774
Epithelial cell (mature keratinocyte),JMJD6,0.038901914
Epithelial cell (basal keratinocyte),JMJD6,0.038047213
Mucous cell,JMJD6,0.036702015
Epithelial cell (suprabasal keratinocyte),JMJD6,0.035261407
Sebaceous gland cell,JMJD6,0.03303561
Myocyte (sk. muscle),JMJD6,0.031759415
Immune (B cell),JMJD6,0.026544211
Neuronal,JMJD6,0.0
Neuroendocrine,JMJD6,0.0
