cell_type,gene_name,expression
Epithelial cell (cornified keratinocyte),MAP4K3,1.246888
Myocyte (cardiac),MAP4K3,1.2356706
Myocyte (sk. muscle),MAP4K3,1.199667
Myocyte (NMJ-rich),MAP4K3,1.1142159
Epithelial cell (club),MAP4K3,0.97920066
Epithelial cell (mature keratinocyte),MAP4K3,0.9683961
ICCs,MAP4K3,0.93548757
Neuroendocrine,MAP4K3,0.9147623
Immune (alveolar macrophage),MAP4K3,0.8072289
Adipocyte,MAP4K3,0.8058694
Myocyte (smooth muscle),MAP4K3,0.782153
Sweat gland cell,MAP4K3,0.7787794
Myofibroblast,MAP4K3,0.77332217
Epithelial cell (luminal),MAP4K3,0.71240073
Epithelial cell (alveolar type II),MAP4K3,0.70392543
Pericyte/SMC,MAP4K3,0.7013615
Epithelial cell (Hillock),MAP4K3,0.67971635
Epithelial cell (suprabasal keratinocyte),MAP4K3,0.6788273
Endothelial cell (vascular),MAP4K3,0.65197796
Epithelial cell (ciliated),MAP4K3,0.6483102
Myoepithelial (basal),MAP4K3,0.6467459
Schwann cell,MAP4K3,0.64364725
"Myocyte (sk. muscle, cytoplasmic)",MAP4K3,0.6347643
Epithelial cell (suprabasal),MAP4K3,0.63457376
Mucous cell,MAP4K3,0.62527394
Epithelial cell (alveolar type I),MAP4K3,0.6225591
Fibroblast,MAP4K3,0.62146896
Melanocyte,MAP4K3,0.617116
Epithelial cell (basal),MAP4K3,0.6062694
Sebaceous gland cell,MAP4K3,0.5954626
Immune (DC/macrophage),MAP4K3,0.57960725
Epithelial cell (basal keratinocyte),MAP4K3,0.577594
Satellite cell,MAP4K3,0.5164028
Immune (Langerhans),MAP4K3,0.49880308
Neuronal,MAP4K3,0.4631362
Endothelial cell (lymphatic),MAP4K3,0.44077024
Immune (mast cell),MAP4K3,0.40674207
"Myocyte (cardiac, cytoplasmic)",MAP4K3,0.3401094
Immune (T cell),MAP4K3,0.25563905
Immune (DC),MAP4K3,0.22290395
Epithelial cell (squamous),MAP4K3,0.22199371
Immune (B cell),MAP4K3,0.20905468
Immune (NK cell),MAP4K3,0.20231217
