cell_type,gene_name,expression
Immune (alveolar macrophage),MAPKAPK5,0.23587868
Neuroendocrine,MAPKAPK5,0.23369019
Epithelial cell (alveolar type I),MAPKAPK5,0.22328247
Melanocyte,MAPKAPK5,0.22300062
Sebaceous gland cell,MAPKAPK5,0.21727513
Epithelial cell (basal keratinocyte),MAPKAPK5,0.2121205
Epithelial cell (alveolar type II),MAPKAPK5,0.1947343
Myofibroblast,MAPKAPK5,0.19411974
Epithelial cell (suprabasal),MAPKAPK5,0.18686369
Epithelial cell (luminal),MAPKAPK5,0.18679267
Immune (DC),MAPKAPK5,0.18151186
Epithelial cell (ciliated),MAPKAPK5,0.17904468
Myocyte (cardiac),MAPKAPK5,0.1770405
Epithelial cell (club),MAPKAPK5,0.17671524
Epithelial cell (basal),MAPKAPK5,0.1758017
Sweat gland cell,MAPKAPK5,0.17335857
Mucous cell,MAPKAPK5,0.16205552
Myoepithelial (basal),MAPKAPK5,0.15651488
Epithelial cell (Hillock),MAPKAPK5,0.15640517
Epithelial cell (suprabasal keratinocyte),MAPKAPK5,0.14399192
Schwann cell,MAPKAPK5,0.14313546
Myocyte (smooth muscle),MAPKAPK5,0.14290074
Endothelial cell (vascular),MAPKAPK5,0.14181933
Endothelial cell (lymphatic),MAPKAPK5,0.13737503
Immune (DC/macrophage),MAPKAPK5,0.13623923
Immune (T cell),MAPKAPK5,0.13394663
Pericyte/SMC,MAPKAPK5,0.13291527
Adipocyte,MAPKAPK5,0.12712342
Fibroblast,MAPKAPK5,0.124276266
Myocyte (sk. muscle),MAPKAPK5,0.1232637
Myocyte (NMJ-rich),MAPKAPK5,0.11963394
Immune (mast cell),MAPKAPK5,0.11730574
ICCs,MAPKAPK5,0.10609803
Immune (NK cell),MAPKAPK5,0.09655383
Immune (B cell),MAPKAPK5,0.09598882
"Myocyte (cardiac, cytoplasmic)",MAPKAPK5,0.095178396
Epithelial cell (mature keratinocyte),MAPKAPK5,0.08124351
"Myocyte (sk. muscle, cytoplasmic)",MAPKAPK5,0.08076777
Satellite cell,MAPKAPK5,0.08004751
Epithelial cell (squamous),MAPKAPK5,0.04080826
Epithelial cell (cornified keratinocyte),MAPKAPK5,0.0
Immune (Langerhans),MAPKAPK5,0.0
Neuronal,MAPKAPK5,0.0
