cell_type,gene_name,expression
Epithelial cell (squamous),MKNK2,1.1687884
"Myocyte (sk. muscle, cytoplasmic)",MKNK2,1.0408603
Epithelial cell (mature keratinocyte),MKNK2,0.66584605
Epithelial cell (suprabasal),MKNK2,0.6339586
Adipocyte,MKNK2,0.5717668
Sweat gland cell,MKNK2,0.5072591
Epithelial cell (cornified keratinocyte),MKNK2,0.46628946
Epithelial cell (suprabasal keratinocyte),MKNK2,0.39037603
Mucous cell,MKNK2,0.36562777
Endothelial cell (lymphatic),MKNK2,0.35683626
Epithelial cell (basal),MKNK2,0.34570128
"Myocyte (cardiac, cytoplasmic)",MKNK2,0.3369832
Epithelial cell (Hillock),MKNK2,0.30911255
Myocyte (sk. muscle),MKNK2,0.307872
Myofibroblast,MKNK2,0.2747188
Sebaceous gland cell,MKNK2,0.26294646
Epithelial cell (luminal),MKNK2,0.25991675
Immune (DC),MKNK2,0.25803804
Neuroendocrine,MKNK2,0.25546286
Epithelial cell (club),MKNK2,0.22920328
Epithelial cell (alveolar type II),MKNK2,0.22247182
Endothelial cell (vascular),MKNK2,0.20448457
Epithelial cell (basal keratinocyte),MKNK2,0.17745589
Epithelial cell (alveolar type I),MKNK2,0.17368567
Immune (B cell),MKNK2,0.17187007
Immune (Langerhans),MKNK2,0.15702769
Myocyte (smooth muscle),MKNK2,0.15505445
Immune (DC/macrophage),MKNK2,0.14903086
Fibroblast,MKNK2,0.14701326
Myoepithelial (basal),MKNK2,0.14232756
Schwann cell,MKNK2,0.13852304
Myocyte (cardiac),MKNK2,0.129361
Myocyte (NMJ-rich),MKNK2,0.1081382
Epithelial cell (ciliated),MKNK2,0.107829265
Pericyte/SMC,MKNK2,0.10343109
Immune (alveolar macrophage),MKNK2,0.091089584
Immune (T cell),MKNK2,0.089910924
Satellite cell,MKNK2,0.08449862
Melanocyte,MKNK2,0.07631001
Immune (mast cell),MKNK2,0.06149414
ICCs,MKNK2,0.05585898
Immune (NK cell),MKNK2,0.046844408
Neuronal,MKNK2,0.0
