cell_type,gene_name,expression
Epithelial cell (ciliated),MYO3A,0.22712514
Epithelial cell (club),MYO3A,0.14614213
Immune (alveolar macrophage),MYO3A,0.11932729
Pericyte/SMC,MYO3A,0.1162778
Sweat gland cell,MYO3A,0.10318935
Epithelial cell (alveolar type II),MYO3A,0.09875435
Epithelial cell (cornified keratinocyte),MYO3A,0.09869138
Epithelial cell (alveolar type I),MYO3A,0.089143164
Immune (mast cell),MYO3A,0.08908948
Epithelial cell (suprabasal),MYO3A,0.08389755
Myocyte (cardiac),MYO3A,0.08005907
Sebaceous gland cell,MYO3A,0.07300447
Epithelial cell (basal keratinocyte),MYO3A,0.071170345
Epithelial cell (basal),MYO3A,0.06817603
Myocyte (NMJ-rich),MYO3A,0.06363652
Myofibroblast,MYO3A,0.06214136
Satellite cell,MYO3A,0.061401192
Epithelial cell (mature keratinocyte),MYO3A,0.06114933
Melanocyte,MYO3A,0.0578118
Myocyte (smooth muscle),MYO3A,0.05642157
Myoepithelial (basal),MYO3A,0.055229135
Myocyte (sk. muscle),MYO3A,0.053706016
Epithelial cell (luminal),MYO3A,0.053030804
Adipocyte,MYO3A,0.052864853
Endothelial cell (vascular),MYO3A,0.050401032
Schwann cell,MYO3A,0.04946388
Epithelial cell (Hillock),MYO3A,0.048732974
Neuroendocrine,MYO3A,0.048242893
Fibroblast,MYO3A,0.0446009
Endothelial cell (lymphatic),MYO3A,0.041633587
Epithelial cell (squamous),MYO3A,0.03925744
Immune (DC/macrophage),MYO3A,0.036344346
Immune (T cell),MYO3A,0.03485285
Mucous cell,MYO3A,0.03053648
Immune (DC),MYO3A,0.029563246
Immune (B cell),MYO3A,0.028750032
ICCs,MYO3A,0.028249403
Epithelial cell (suprabasal keratinocyte),MYO3A,0.027082564
"Myocyte (sk. muscle, cytoplasmic)",MYO3A,0.025089027
Immune (NK cell),MYO3A,0.023802904
"Myocyte (cardiac, cytoplasmic)",MYO3A,0.009425438
Immune (Langerhans),MYO3A,0.0
Neuronal,MYO3A,0.0
