cell_type,gene_name,expression
Neuroendocrine,PDIK1L,0.21279943
Myocyte (cardiac),PDIK1L,0.13187234
Mucous cell,PDIK1L,0.12278361
Epithelial cell (alveolar type II),PDIK1L,0.10058952
Immune (alveolar macrophage),PDIK1L,0.07925885
Immune (Langerhans),PDIK1L,0.072648
Epithelial cell (ciliated),PDIK1L,0.071370706
Epithelial cell (suprabasal),PDIK1L,0.07042006
Epithelial cell (basal keratinocyte),PDIK1L,0.06852623
Epithelial cell (alveolar type I),PDIK1L,0.064350694
"Myocyte (sk. muscle, cytoplasmic)",PDIK1L,0.063884154
Adipocyte,PDIK1L,0.05644274
ICCs,PDIK1L,0.05426133
Epithelial cell (club),PDIK1L,0.05194689
Myocyte (sk. muscle),PDIK1L,0.05121575
Epithelial cell (basal),PDIK1L,0.04933342
Epithelial cell (suprabasal keratinocyte),PDIK1L,0.048572015
Myocyte (NMJ-rich),PDIK1L,0.04515006
Epithelial cell (Hillock),PDIK1L,0.044432644
Neuronal,PDIK1L,0.04330386
Myofibroblast,PDIK1L,0.04224367
Immune (DC/macrophage),PDIK1L,0.04040127
Immune (mast cell),PDIK1L,0.039402205
Schwann cell,PDIK1L,0.037420604
Satellite cell,PDIK1L,0.03491144
Endothelial cell (vascular),PDIK1L,0.03450883
"Myocyte (cardiac, cytoplasmic)",PDIK1L,0.032403287
Melanocyte,PDIK1L,0.030963091
Myocyte (smooth muscle),PDIK1L,0.03087438
Immune (T cell),PDIK1L,0.03041288
Epithelial cell (luminal),PDIK1L,0.029414458
Immune (NK cell),PDIK1L,0.029389856
Fibroblast,PDIK1L,0.028100649
Pericyte/SMC,PDIK1L,0.028021544
Epithelial cell (mature keratinocyte),PDIK1L,0.026921704
Endothelial cell (lymphatic),PDIK1L,0.024896165
Sweat gland cell,PDIK1L,0.024299499
Myoepithelial (basal),PDIK1L,0.01026191
Epithelial cell (squamous),PDIK1L,0.01021068
Immune (B cell),PDIK1L,0.010138613
Sebaceous gland cell,PDIK1L,0.0067635053
Epithelial cell (cornified keratinocyte),PDIK1L,0.0
Immune (DC),PDIK1L,0.0
