cell_type,gene_name,expression
Epithelial cell (cornified keratinocyte),PSKH2,0.060383584
Immune (alveolar macrophage),PSKH2,0.011711477
Epithelial cell (alveolar type II),PSKH2,0.0071617826
Epithelial cell (ciliated),PSKH2,0.0070524258
Epithelial cell (club),PSKH2,0.0068942797
Epithelial cell (alveolar type I),PSKH2,0.005372868
Endothelial cell (vascular),PSKH2,0.0031510622
Myocyte (cardiac),PSKH2,0.0025552898
Epithelial cell (luminal),PSKH2,0.0019099783
Myocyte (smooth muscle),PSKH2,0.0017547033
Myocyte (sk. muscle),PSKH2,0.0017514398
Schwann cell,PSKH2,0.0014396362
Fibroblast,PSKH2,0.0013085384
Adipocyte,PSKH2,0.001229324
Pericyte/SMC,PSKH2,0.00066490367
Endothelial cell (lymphatic),PSKH2,0.0005739639
Epithelial cell (squamous),PSKH2,0.00056536816
Epithelial cell (basal),PSKH2,0.0004878323
Immune (DC/macrophage),PSKH2,0.00041854507
Epithelial cell (Hillock),PSKH2,0.0
Epithelial cell (basal keratinocyte),PSKH2,0.0
Immune (Langerhans),PSKH2,0.0
ICCs,PSKH2,0.0
Immune (B cell),PSKH2,0.0
Epithelial cell (suprabasal),PSKH2,0.0
Epithelial cell (suprabasal keratinocyte),PSKH2,0.0
Epithelial cell (mature keratinocyte),PSKH2,0.0
Melanocyte,PSKH2,0.0
Immune (mast cell),PSKH2,0.0
Immune (T cell),PSKH2,0.0
Immune (NK cell),PSKH2,0.0
Immune (DC),PSKH2,0.0
Myocyte (NMJ-rich),PSKH2,0.0
"Myocyte (cardiac, cytoplasmic)",PSKH2,0.0
Mucous cell,PSKH2,0.0
Myoepithelial (basal),PSKH2,0.0
"Myocyte (sk. muscle, cytoplasmic)",PSKH2,0.0
Neuroendocrine,PSKH2,0.0
Myofibroblast,PSKH2,0.0
Neuronal,PSKH2,0.0
Satellite cell,PSKH2,0.0
Sebaceous gland cell,PSKH2,0.0
Sweat gland cell,PSKH2,0.0
