tissue,cell_type,gene_name,mean_expression,pct_expressing
breast,Muscle,PRKG1,4.338028,93.42105263157896
breast,Muscle,SIK3,1.9,46.05263157894737
breast,Muscle,ROCK2,1.6461538,42.76315789473684
breast,Muscle,PTK2,1.734375,42.10526315789473
breast,Muscle,KALRN,1.5,40.78947368421053
breast,Muscle,HIPK2,1.5081967,40.131578947368425
breast,Muscle,AKT3,1.7868853,40.131578947368425
breast,Muscle,GRK5,1.4067796,38.81578947368421
breast,Muscle,ROCK1,1.3728814,38.81578947368421
breast,Muscle,TRIO,1.6153846,34.21052631578947
breast,Muscle,STK3,1.4705882,33.55263157894737
breast,Muscle,CAMK2D,1.5833334,31.57894736842105
breast,Muscle,CDC42BPA,1.3191489,30.92105263157895
breast,Muscle,IGF1R,1.6363636,28.947368421052637
breast,Muscle,PDK4,1.9318181,28.947368421052637
breast,Muscle,MAP4K3,1.2325581,28.289473684210524
breast,Muscle,BMPR2,1.4878049,26.973684210526315
breast,Muscle,NTRK3,1.6829268,26.973684210526315
breast,Muscle,PDGFRB,1.6341463,26.973684210526315
breast,Muscle,MARK3,1.175,26.31578947368421
breast,Muscle,HIPK3,1.3,26.31578947368421
breast,Muscle,BRAF,1.25,26.31578947368421
breast,Muscle,CSNK1A1,1.5,26.31578947368421
breast,Muscle,STK38L,1.5641025,25.657894736842103
breast,Muscle,MAP4K4,1.4102564,25.657894736842103
breast,Muscle,PRKCE,1.2972972,24.34210526315789
breast,Muscle,MAP3K5,1.7837838,24.34210526315789
breast,Muscle,MAST4,1.4722222,23.684210526315788
breast,Muscle,INSR,1.2777778,23.684210526315788
breast,Muscle,EPHA3,1.2571429,23.026315789473685
breast,Muscle,SPEG,1.9142857,23.026315789473685
breast,Muscle,FER,1.4571428,23.026315789473685
breast,Muscle,CDK13,1.3529412,22.36842105263158
breast,Muscle,AAK1,1.2058823,22.36842105263158
breast,Muscle,ABL1,1.1515151,21.71052631578948
breast,Muscle,ABL2,1.3333334,21.71052631578948
breast,Muscle,PIP4K2A,1.3225807,20.394736842105264
breast,Muscle,PKN2,1.3870968,20.394736842105264
breast,Muscle,SRPK2,1.2580645,20.394736842105264
breast,Muscle,CAMK2G,1.0967742,20.394736842105264
breast,Muscle,BRD4,1.1333333,19.73684210526316
