tissue,cell_type,gene_name,mean_expression,pct_expressing
esophagusmucosa,Fibroblast,DCLK1,2.8489208,59.25399644760213
esophagusmucosa,Fibroblast,AKT3,1.6886058,50.19538188277088
esophagusmucosa,Fibroblast,DDR2,1.7236071,48.45470692717584
esophagusmucosa,Fibroblast,PRKG1,2.6034613,47.2113676731794
esophagusmucosa,Fibroblast,PIK3R1,1.8579109,46.252220248667854
esophagusmucosa,Fibroblast,GRK5,1.8040886,41.705150976909415
esophagusmucosa,Fibroblast,STK3,1.4846356,40.46181172291297
esophagusmucosa,Fibroblast,TRIO,1.5136805,40.24866785079929
esophagusmucosa,Fibroblast,SIK3,1.6410257,38.792184724689164
esophagusmucosa,Fibroblast,FYN,1.4104683,38.685612788632326
esophagusmucosa,Fibroblast,ABL1,1.44294,36.731793960923625
esophagusmucosa,Fibroblast,IGF1R,1.4574257,35.879218472468914
esophagusmucosa,Fibroblast,PTK2,1.4132653,34.81349911190053
esophagusmucosa,Fibroblast,TGFBR2,1.6943277,33.818827708703374
esophagusmucosa,Fibroblast,EGFR,1.451001,33.712255772646536
esophagusmucosa,Fibroblast,FGFR1,1.3741722,32.184724689165186
esophagusmucosa,Fibroblast,MAP3K5,1.4841269,31.33214920071048
esophagusmucosa,Fibroblast,FER,1.3237658,30.94138543516874
esophagusmucosa,Fibroblast,MAPK10,1.3876338,29.875666074600357
esophagusmucosa,Fibroblast,CAMK2D,1.433121,27.88632326820604
esophagusmucosa,Fibroblast,CDC42BPA,1.3440722,27.566607460035524
esophagusmucosa,Fibroblast,ROR2,1.5163399,27.175843694493786
esophagusmucosa,Fibroblast,MARK3,1.2526455,26.856127886323268
esophagusmucosa,Fibroblast,SRPK2,1.2874172,26.820603907637658
esophagusmucosa,Fibroblast,BMPR2,1.2794118,26.571936056838364
esophagusmucosa,Fibroblast,INSR,1.2772543,26.394316163410306
esophagusmucosa,Fibroblast,EEF2K,1.3328786,26.039076376554178
esophagusmucosa,Fibroblast,PRKAG2,1.3291667,25.57726465364121
esophagusmucosa,Fibroblast,PRKD1,1.4545455,25.399644760213143
esophagusmucosa,Fibroblast,ROR1,1.5692308,25.399644760213143
esophagusmucosa,Fibroblast,BRAF,1.2603719,24.831261101243346
esophagusmucosa,Fibroblast,CSNK1A1,1.3124088,24.33392539964476
esophagusmucosa,Fibroblast,PDGFRB,1.2985294,24.156305506216697
esophagusmucosa,Fibroblast,CDK13,1.2480974,23.3392539964476
esophagusmucosa,Fibroblast,IRAK3,1.2532258,22.02486678507993
esophagusmucosa,Fibroblast,WNK1,1.2213247,21.989342806394315
esophagusmucosa,Fibroblast,STK38,1.2262522,20.568383658969804
esophagusmucosa,Fibroblast,MAP4K4,1.328152,20.568383658969804
esophagusmucosa,Fibroblast,STK24,1.2469136,20.14209591474245
esophagusmucosa,Fibroblast,HIPK3,1.2082585,19.786856127886324
esophagusmucosa,Fibroblast,PRKCA,1.2392086,19.75133214920071
esophagusmucosa,Fibroblast,SIK2,1.2710623,19.396092362344582
esophagusmucosa,Fibroblast,MAP4K3,1.257353,19.32504440497336
esophagusmucosa,Fibroblast,TAOK1,1.1915286,19.289520426287744
esophagusmucosa,Fibroblast,ADK,1.3139098,18.898756660746
esophagusmucosa,Fibroblast,PRKCE,1.2087287,18.72113676731794
esophagusmucosa,Fibroblast,GSK3B,1.1539924,18.685612788632326
esophagusmucosa,Fibroblast,PAPSS2,1.484252,18.0461811722913
esophagusmucosa,Fibroblast,CLK1,1.1755424,18.010657193605685
esophagusmucosa,Fibroblast,MAP2K5,1.1626506,17.69094138543517
esophagusmucosa,Fibroblast,TRPM7,1.2012073,17.655417406749557
esophagusmucosa,Fibroblast,PKN2,1.1587629,17.2291296625222
esophagusmucosa,Fibroblast,DYRK1A,1.1431535,17.122557726465367
esophagusmucosa,Fibroblast,MAST2,1.217484,16.660746003552397
esophagusmucosa,Fibroblast,BMPR1A,1.1709957,16.41207815275311
esophagusmucosa,Fibroblast,MAPK8,1.1754386,16.19893428063943
esophagusmucosa,Fibroblast,TAOK3,1.1736264,16.163410301953817
esophagusmucosa,Fibroblast,ABL2,1.19163,16.127886323268207
esophagusmucosa,Fibroblast,PI4KA,1.1633554,16.092362344582593
esophagusmucosa,Fibroblast,CASK,1.2179775,15.808170515097691
esophagusmucosa,Fibroblast,SMG1,1.1393259,15.808170515097691
esophagusmucosa,Fibroblast,AAK1,1.1431818,15.630550621669627
esophagusmucosa,Fibroblast,ROCK1,1.1640091,15.595026642984012
esophagusmucosa,Fibroblast,MAPK14,1.1775701,15.204262877442272
esophagusmucosa,Fibroblast,ATM,1.1451991,15.16873889875666
esophagusmucosa,Fibroblast,MAP3K3,1.1642857,14.92007104795737
esophagusmucosa,Fibroblast,ROCK2,1.2211539,14.77797513321492
esophagusmucosa,Fibroblast,ACVR2A,1.2024096,14.742451154529308
esophagusmucosa,Fibroblast,CDK14,1.2240964,14.742451154529308
esophagusmucosa,Fibroblast,BRD4,1.1213592,14.63587921847247
esophagusmucosa,Fibroblast,JAK1,1.2216749,14.422735346358792
esophagusmucosa,Fibroblast,SGMS1,1.1446384,14.24511545293073
esophagusmucosa,Fibroblast,HIPK2,1.273183,14.174067495559504
esophagusmucosa,Fibroblast,CSNK1E,1.1256281,14.138543516873888
esophagusmucosa,Fibroblast,NEK7,1.1385391,14.103019538188278
esophagusmucosa,Fibroblast,TLK1,1.1556122,13.925399644760214
esophagusmucosa,Fibroblast,MAST4,1.3098959,13.64120781527531
esophagusmucosa,Fibroblast,TLK2,1.1485411,13.392539964476022
esophagusmucosa,Fibroblast,MAP4K5,1.1333333,13.321492007104796
esophagusmucosa,Fibroblast,MUSK,1.5053476,13.285968028419182
