tissue,cell_type,gene_name,mean_expression,pct_expressing
esophagusmucosa,Muscle,PRKG1,5.544872,93.4131736526946
esophagusmucosa,Muscle,AKT3,1.7137932,57.884231536926144
esophagusmucosa,Muscle,PTK2,1.6679105,53.49301397205589
esophagusmucosa,Muscle,KALRN,1.9752066,48.30339321357285
esophagusmucosa,Muscle,PDGFRB,1.8712447,46.50698602794412
esophagusmucosa,Muscle,GRK5,1.6550218,45.70858283433134
esophagusmucosa,Muscle,SIK3,1.4672897,42.71457085828344
esophagusmucosa,Muscle,ROCK1,1.5279188,39.32135728542914
esophagusmucosa,Muscle,ROCK2,1.3969072,38.72255489021956
esophagusmucosa,Muscle,BMPR2,1.443787,33.73253493013972
esophagusmucosa,Muscle,MAP3K5,1.6024096,33.13373253493014
esophagusmucosa,Muscle,FER,1.4879518,33.13373253493014
esophagusmucosa,Muscle,MAP4K3,1.3726708,32.13572854291417
esophagusmucosa,Muscle,CAMK2D,1.3734177,31.53692614770459
esophagusmucosa,Muscle,NTRK3,1.5855263,30.33932135728543
esophagusmucosa,Muscle,STK3,1.3881578,30.33932135728543
esophagusmucosa,Muscle,TRIO,1.4266666,29.94011976047904
esophagusmucosa,Muscle,IGF1R,1.4161074,29.740518962075846
esophagusmucosa,Muscle,SRPK2,1.4726027,29.141716566866265
esophagusmucosa,Muscle,BRAF,1.3517241,28.942115768463072
esophagusmucosa,Muscle,MAP4K4,1.2553191,28.143712574850294
esophagusmucosa,Muscle,CSNK1A1,1.3900709,28.143712574850294
esophagusmucosa,Muscle,CDC42BPA,1.3428571,27.944111776447105
esophagusmucosa,Muscle,MARK3,1.3071429,27.944111776447105
esophagusmucosa,Muscle,HIPK2,1.2826087,27.54491017964072
esophagusmucosa,Muscle,MYLK,1.2442749,26.147704590818364
esophagusmucosa,Muscle,SPEG,1.504,24.9500998003992
esophagusmucosa,Muscle,ROR1,1.3145162,24.75049900199601
esophagusmucosa,Muscle,INSR,1.3865546,23.75249500998004
esophagusmucosa,Muscle,PRKCA,1.2844827,23.15369261477046
esophagusmucosa,Muscle,MAP2K5,1.1304348,22.954091816367264
esophagusmucosa,Muscle,EGFR,1.3913044,22.954091816367264
esophagusmucosa,Muscle,STK39,1.2894737,22.75449101796407
esophagusmucosa,Muscle,CDK13,1.2280701,22.75449101796407
esophagusmucosa,Muscle,ADK,1.3873874,22.15568862275449
esophagusmucosa,Muscle,CAMK2G,1.3783784,22.15568862275449
esophagusmucosa,Muscle,BMPR1A,1.2522522,22.15568862275449
esophagusmucosa,Muscle,CSNK1E,1.2342342,22.15568862275449
esophagusmucosa,Muscle,MAPK10,1.3363637,21.956087824351297
esophagusmucosa,Muscle,JAK2,1.4770643,21.756487025948104
esophagusmucosa,Muscle,EPHA3,1.4485981,21.35728542914172
esophagusmucosa,Muscle,DMPK,1.235849,21.15768463073852
esophagusmucosa,Muscle,AAK1,1.247619,20.958083832335326
esophagusmucosa,Muscle,MARK1,1.2692307,20.758483033932134
esophagusmucosa,Muscle,HIPK3,1.1826923,20.758483033932134
esophagusmucosa,Muscle,PIP4K2A,1.2621359,20.55888223552894
esophagusmucosa,Muscle,PRKCE,1.2277228,20.15968063872256
esophagusmucosa,Muscle,ABL1,1.32,19.960079840319363
esophagusmucosa,Muscle,DYRK1A,1.17,19.960079840319363
esophagusmucosa,Muscle,CDK6,1.24,19.960079840319363
esophagusmucosa,Muscle,TAOK3,1.3131313,19.760479041916167
esophagusmucosa,Muscle,PIK3R1,1.2105263,18.962075848303392
esophagusmucosa,Muscle,PKN2,1.1808511,18.7624750499002
esophagusmucosa,Muscle,SMG1,1.1595745,18.7624750499002
esophagusmucosa,Muscle,GSK3B,1.3118279,18.562874251497004
esophagusmucosa,Muscle,CASK,1.1182796,18.562874251497004
esophagusmucosa,Muscle,SGMS1,1.173913,18.36327345309381
esophagusmucosa,Muscle,MAST4,1.5108696,18.36327345309381
esophagusmucosa,Muscle,TAOK1,1.2888889,17.964071856287426
esophagusmucosa,Muscle,PRKD1,1.4111111,17.964071856287426
esophagusmucosa,Muscle,SNRK,1.235955,17.764471057884233
esophagusmucosa,Muscle,PIK3C2A,1.2022471,17.764471057884233
esophagusmucosa,Muscle,PIK3CA,1.1477273,17.56487025948104
esophagusmucosa,Muscle,TAF1,1.2,16.966067864271455
esophagusmucosa,Muscle,BRD4,1.1882353,16.966067864271455
esophagusmucosa,Muscle,NEK7,1.0714285,16.766467065868262
esophagusmucosa,Muscle,DDR2,1.2380953,16.766467065868262
esophagusmucosa,Muscle,NTRK2,1.2409638,16.56686626746507
esophagusmucosa,Muscle,NME3,1.1097561,16.367265469061877
esophagusmucosa,Muscle,PI4KA,1.1728395,16.16766467065868
esophagusmucosa,Muscle,CLK1,1.1,15.968063872255488
esophagusmucosa,Muscle,MAPK8,1.1875,15.968063872255488
esophagusmucosa,Muscle,ABL2,1.1772152,15.768463073852296
esophagusmucosa,Muscle,MAPK1,1.2151898,15.768463073852296
esophagusmucosa,Muscle,PIP5K1B,1.2564102,15.568862275449105
esophagusmucosa,Muscle,STK38L,1.4210526,15.169660678642716
esophagusmucosa,Muscle,EEF2K,1.1710526,15.169660678642716
esophagusmucosa,Muscle,JAK1,1.2533333,14.97005988023952
esophagusmucosa,Muscle,MAP3K8,1.2266667,14.97005988023952
esophagusmucosa,Muscle,TRPM7,1.12,14.97005988023952
esophagusmucosa,Muscle,TGFBR2,1.2027028,14.770459081836329
esophagusmucosa,Muscle,PRKAG2,1.2739726,14.570858283433132
esophagusmucosa,Muscle,WNK1,1.1805556,14.37125748502994
esophagusmucosa,Muscle,NLK,1.1408451,14.171656686626749
esophagusmucosa,Muscle,MAP3K2,1.1428572,13.972055888223553
esophagusmucosa,Muscle,RYK,1.2173913,13.77245508982036
esophagusmucosa,Muscle,ATM,1.117647,13.572854291417164
esophagusmucosa,Muscle,MAP3K3,1.2941177,13.572854291417164
esophagusmucosa,Muscle,DCLK1,1.4558823,13.572854291417164
esophagusmucosa,Muscle,PDK3,1.3181819,13.17365269461078
esophagusmucosa,Muscle,CSNK2A1,1.060606,13.17365269461078
esophagusmucosa,Muscle,ERBB4,1.7272727,13.17365269461078
esophagusmucosa,Muscle,SIK2,1.1363636,13.17365269461078
esophagusmucosa,Muscle,PRKDC,1.1515151,13.17365269461078
esophagusmucosa,Muscle,DCLK2,1.1538461,12.974051896207584
esophagusmucosa,Muscle,TLK2,1.171875,12.77445109780439
esophagusmucosa,Muscle,TNIK,1.25,12.77445109780439
esophagusmucosa,Muscle,STK24,1.15625,12.77445109780439
esophagusmucosa,Muscle,MAP4K5,1.1746032,12.574850299401197
esophagusmucosa,Muscle,STK38,1.1451613,12.375249500998004
esophagusmucosa,Muscle,MAPK14,1.1935484,12.375249500998004
esophagusmucosa,Muscle,PRKAA1,1.1129032,12.375249500998004
esophagusmucosa,Muscle,PIP5K1A,1.1147541,12.17564870259481
esophagusmucosa,Muscle,TLK1,1.1864407,11.776447105788424
esophagusmucosa,Muscle,PDK4,1.7457627,11.776447105788424
esophagusmucosa,Muscle,PRKACB,1.2241379,11.57684630738523
esophagusmucosa,Muscle,NEK1,1.1551725,11.57684630738523
esophagusmucosa,Muscle,TTBK2,1.0689656,11.57684630738523
esophagusmucosa,Muscle,MAP2K4,1.0862069,11.57684630738523
esophagusmucosa,Muscle,MAST2,1.0862069,11.57684630738523
esophagusmucosa,Muscle,VRK2,1.1578947,11.377245508982035
esophagusmucosa,Muscle,CDK8,1.1403508,11.377245508982035
esophagusmucosa,Muscle,PAK2,1.1964285,11.177644710578845
esophagusmucosa,Muscle,MERTK,1.1428572,11.177644710578845
esophagusmucosa,Muscle,BAZ1B,1.0727273,10.978043912175648
esophagusmucosa,Muscle,PRKCH,1.4444444,10.778443113772456
esophagusmucosa,Muscle,CDC42BPB,1.1509434,10.57884231536926
esophagusmucosa,Muscle,FYN,1.0961539,10.379241516966069
esophagusmucosa,Muscle,MKNK1,1.0961539,10.379241516966069
esophagusmucosa,Muscle,IKBKB,1.1568627,10.179640718562874
esophagusmucosa,Muscle,ATR,1.14,9.98003992015968
esophagusmucosa,Muscle,CDK14,1.14,9.98003992015968
esophagusmucosa,Muscle,CDK18,1.0408163,9.780439121756489
esophagusmucosa,Muscle,CDK19,1.1428572,9.780439121756489
esophagusmucosa,Muscle,PIK3CB,1.1224489,9.780439121756489
esophagusmucosa,Muscle,AK3,1.1224489,9.780439121756489
esophagusmucosa,Muscle,CDK17,1.1041666,9.580838323353294
esophagusmucosa,Muscle,PDPK1,1.0208334,9.580838323353294
esophagusmucosa,Muscle,NME7,1.1276596,9.3812375249501
