tissue,cell_type,gene_name,mean_expression,pct_expressing
esophagusmuscularis,Fibroblast,DCLK1,2.7411072,62.119319819387066
esophagusmuscularis,Fibroblast,PRKG1,2.314333,52.41617830723413
esophagusmuscularis,Fibroblast,AKT3,1.4689388,39.74445191661062
esophagusmuscularis,Fibroblast,TGFBR2,1.594358,39.50427514650783
esophagusmuscularis,Fibroblast,PIK3R1,1.7574468,38.38024786242675
esophagusmuscularis,Fibroblast,ABL1,1.474674,38.31299836679796
esophagusmuscularis,Fibroblast,DDR2,1.5701312,38.08242866749928
esophagusmuscularis,Fibroblast,EGFR,1.4800231,33.18282255740225
esophagusmuscularis,Fibroblast,MAP3K5,1.6356522,33.1443942741858
esophagusmuscularis,Fibroblast,CSNK1A1,1.3228027,30.71380536074551
esophagusmuscularis,Fibroblast,GRK5,1.6036967,30.66577000672495
esophagusmuscularis,Fibroblast,FYN,1.4589695,30.20463060812758
esophagusmuscularis,Fibroblast,PTK2,1.2641143,29.60899221827265
esophagusmuscularis,Fibroblast,STK3,1.3315824,29.263137669324625
esophagusmuscularis,Fibroblast,TRIO,1.4118434,28.715534633490247
esophagusmuscularis,Fibroblast,BRAF,1.2533904,26.91901239312134
esophagusmuscularis,Fibroblast,MARK3,1.2372514,26.5635507733692
esophagusmuscularis,Fibroblast,BMPR2,1.4380665,25.43952348928812
esophagusmuscularis,Fibroblast,FGFR1,1.3214705,24.56528004611394
esophagusmuscularis,Fibroblast,INSR,1.3032916,24.51724469209338
esophagusmuscularis,Fibroblast,FER,1.2353405,24.41156691324815
esophagusmuscularis,Fibroblast,SIK3,1.9873066,24.219425497165915
esophagusmuscularis,Fibroblast,PDK4,2.956293,23.739071956960323
esophagusmuscularis,Fibroblast,HIPK3,1.301735,22.70150831011625
esophagusmuscularis,Fibroblast,PDGFRB,1.297073,21.99058507061197
esophagusmuscularis,Fibroblast,CDK13,1.2006133,21.9329426457873
esophagusmuscularis,Fibroblast,CDC42BPA,1.2227678,21.51983860121049
esophagusmuscularis,Fibroblast,CAMK2D,1.4631627,21.38533960995293
esophagusmuscularis,Fibroblast,ROR2,1.5092134,21.375732539148814
esophagusmuscularis,Fibroblast,SRPK2,1.2127659,19.867422422903257
esophagusmuscularis,Fibroblast,SIK2,1.2675439,19.713709290037468
esophagusmuscularis,Fibroblast,PRKAG2,1.2379258,18.89710827168796
esophagusmuscularis,Fibroblast,IGF1R,1.2980132,18.858679988471515
esophagusmuscularis,Fibroblast,MAPK10,1.2528148,18.77221635123451
esophagusmuscularis,Fibroblast,ABL2,1.2442708,18.445575943894703
esophagusmuscularis,Fibroblast,CDK17,1.2937764,18.215006244596022
esophagusmuscularis,Fibroblast,PRKCE,1.2326465,17.715438562782207
esophagusmuscularis,Fibroblast,MAP4K4,1.2486157,17.350369872225958
esophagusmuscularis,Fibroblast,PRKCA,1.2933631,17.225477951772504
esophagusmuscularis,Fibroblast,PDGFRA,1.2788405,16.5721971370929
esophagusmuscularis,Fibroblast,CLK1,1.155728,16.101450667691424
esophagusmuscularis,Fibroblast,MAK,1.2821752,15.899702180805072
esophagusmuscularis,Fibroblast,SGMS1,1.175169,15.63070419828994
esophagusmuscularis,Fibroblast,TAOK1,1.1501855,15.544240561052936
esophagusmuscularis,Fibroblast,AAK1,1.1594293,15.486598136228263
esophagusmuscularis,Fibroblast,TRPM7,1.1352535,15.342492074166586
esophagusmuscularis,Fibroblast,IRAK3,1.1741855,15.332885003362476
