tissue,cell_type,gene_name,mean_expression,pct_expressing
esophagusmuscularis,Immune (myeloid),FER,1.6363636,37.86702666216672
esophagusmuscularis,Immune (myeloid),SYK,1.5675676,37.46203172460344
esophagusmuscularis,Immune (myeloid),TAOK3,1.4137255,34.42456969287883
esophagusmuscularis,Immune (myeloid),STK17B,1.6190945,34.28957138035775
esophagusmuscularis,Immune (myeloid),BMP2K,1.5918164,33.81707728653392
esophagusmuscularis,Immune (myeloid),IRAK3,1.396728,33.00708741140736
esophagusmuscularis,Immune (myeloid),AAK1,1.3381592,32.63584205197435
esophagusmuscularis,Immune (myeloid),TRIO,1.4170125,32.534593317583536
esophagusmuscularis,Immune (myeloid),ROCK1,1.3060573,31.758353020587244
esophagusmuscularis,Immune (myeloid),MERTK,1.4978307,31.11711103611205
esophagusmuscularis,Immune (myeloid),CSNK1A1,1.3333334,29.26088423894701
esophagusmuscularis,Immune (myeloid),MAP2K1,1.434732,28.957138035774555
esophagusmuscularis,Immune (myeloid),SGMS1,1.3447461,28.585892676341544
esophagusmuscularis,Immune (myeloid),PRKAG2,1.3557919,28.552143098211275
esophagusmuscularis,Immune (myeloid),LYN,1.4475956,27.370907863651706
esophagusmuscularis,Immune (myeloid),AKT3,1.3576733,27.269659129260887
esophagusmuscularis,Immune (myeloid),PRKCA,1.4289277,27.067161660479243
esophagusmuscularis,Immune (myeloid),SRPK2,1.2680798,27.067161660479243
esophagusmuscularis,Immune (myeloid),PTK2,1.34375,25.91967600404995
esophagusmuscularis,Immune (myeloid),ATM,1.2522995,25.68342895713804
esophagusmuscularis,Immune (myeloid),STK3,1.3083004,25.61592980087749
esophagusmuscularis,Immune (myeloid),BRAF,1.302139,25.24468444144448
esophagusmuscularis,Immune (myeloid),PRKCE,1.2916666,25.109686128923386
esophagusmuscularis,Immune (myeloid),MARK3,1.1845319,24.87343908201148
esophagusmuscularis,Immune (myeloid),MKNK1,1.3550624,24.3334458319271
esophagusmuscularis,Immune (myeloid),PIP4K2A,1.2503496,24.13094836314546
esophagusmuscularis,Immune (myeloid),TGFBR2,1.2626996,23.253459331758357
esophagusmuscularis,Immune (myeloid),DAPK1,1.2821637,23.084711441106982
esophagusmuscularis,Immune (myeloid),ADK,1.2148148,22.780965237934524
esophagusmuscularis,Immune (myeloid),NLK,1.2410715,22.679716503543705
esophagusmuscularis,Immune (myeloid),STK4,1.2223903,22.308471144110698
esophagusmuscularis,Immune (myeloid),CDK13,1.1645768,21.532230847114413
esophagusmuscularis,Immune (myeloid),PRKCB,1.3170347,21.39723253459332
esophagusmuscularis,Immune (myeloid),HCK,1.3253205,21.059736753290583
esophagusmuscularis,Immune (myeloid),GSK3B,1.1609756,20.755990550118124
esophagusmuscularis,Immune (myeloid),ABL1,1.2833877,20.72224097198785
esophagusmuscularis,Immune (myeloid),WNK1,1.1926445,19.271009112386096
esophagusmuscularis,Immune (myeloid),MAP3K8,1.4150614,19.271009112386096
esophagusmuscularis,Immune (myeloid),DYRK1A,1.1681261,19.271009112386096
esophagusmuscularis,Immune (myeloid),PKN2,1.1843972,19.03476206547418
esophagusmuscularis,Immune (myeloid),PAPSS2,1.4132379,18.866014174822816
esophagusmuscularis,Immune (myeloid),MAP3K5,1.2867514,18.596017549780623
esophagusmuscularis,Immune (myeloid),MAP3K1,1.295082,18.52851839352008
esophagusmuscularis,Immune (myeloid),TAOK1,1.1861314,18.494768815389808
esophagusmuscularis,Immune (myeloid),TNIK,1.4578755,18.427269659129266
esophagusmuscularis,Immune (myeloid),BMPR2,1.3357798,18.393520080998982
esophagusmuscularis,Immune (myeloid),ABL2,1.2854512,18.32602092473844
esophagusmuscularis,Immune (myeloid),PIK3C2A,1.16141,18.19102261221735
esophagusmuscularis,Immune (myeloid),PTK2B,1.1682243,18.05602429969625
esophagusmuscularis,Immune (myeloid),STK10,1.1909263,17.85352683091461
