tissue,cell_type,gene_name,mean_expression,pct_expressing
esophagusmuscularis,Muscle,PRKG1,3.0210261,66.85049431703544
esophagusmuscularis,Muscle,MYLK,3.1098328,50.27237877463179
esophagusmuscularis,Muscle,TRIO,2.6527119,46.74826820902549
esophagusmuscularis,Muscle,SIK3,3.135514,43.17707983051987
esophagusmuscularis,Muscle,CSNK1A1,1.6931437,42.08083933014998
esophagusmuscularis,Muscle,BMPR2,2.4717898,40.17082520680611
esophagusmuscularis,Muscle,AKT3,1.5269679,36.90900531306745
esophagusmuscularis,Muscle,ROR2,2.0655951,35.98762526060932
esophagusmuscularis,Muscle,STK38L,1.8831757,34.1381397538503
esophagusmuscularis,Muscle,CDK17,1.9448234,33.51940278431636
esophagusmuscularis,Muscle,DDR2,2.0201766,31.99946196785258
esophagusmuscularis,Muscle,STK3,1.5590346,30.93012307485372
esophagusmuscularis,Muscle,CKB,2.7194023,30.60730378640124
esophagusmuscularis,Muscle,EPHA7,1.7116206,29.921312798439708
esophagusmuscularis,Muscle,PTK2,1.406795,29.692649135785864
esophagusmuscularis,Muscle,KALRN,2.4432285,29.49761248234582
esophagusmuscularis,Muscle,BRAF,1.370328,29.329477436276814
esophagusmuscularis,Muscle,INSR,1.3926028,29.275674221534736
esophagusmuscularis,Muscle,ABL1,1.5110753,29.14789158652229
esophagusmuscularis,Muscle,PRKCE,1.5573771,29.12771538099401
esophagusmuscularis,Muscle,MAP4K3,1.5274469,28.79144528885601
esophagusmuscularis,Muscle,BMPR1A,1.3626089,28.562781626202167
esophagusmuscularis,Muscle,HIPK3,1.4522067,28.49552760777456
esophagusmuscularis,Muscle,CAMK2D,1.8624852,28.414822785661443
esophagusmuscularis,Muscle,CDC42BPA,1.3697072,27.796085816127515
esophagusmuscularis,Muscle,MARK3,1.3188832,27.459815723989507
esophagusmuscularis,Muscle,PRKD1,2.5405405,27.372385500033623
esophagusmuscularis,Muscle,PDK4,5.4218283,26.928508978411458
esophagusmuscularis,Muscle,SRPK2,1.3503338,25.18662990113659
esophagusmuscularis,Muscle,IGF1R,1.424137,25.13282668639451
esophagusmuscularis,Muscle,ILK,1.411591,25.06557266796691
esophagusmuscularis,Muscle,PIK3R1,1.5111051,24.527540520546104
esophagusmuscularis,Muscle,PRKCA,1.4700831,24.27870065236398
esophagusmuscularis,Muscle,SPEG,1.270551,23.316968188849284
esophagusmuscularis,Muscle,ROCK1,1.2626086,23.20263635752236
esophagusmuscularis,Muscle,FER,1.3133531,22.664604210101555
esophagusmuscularis,Muscle,MAPK14,1.688038,22.657878808258797
esophagusmuscularis,Muscle,BMPR1B,1.4735259,22.355235725334587
esophagusmuscularis,Muscle,CDK13,1.2759936,21.15138879548053
esophagusmuscularis,Muscle,TNIK,1.3487031,21.003429954939808
esophagusmuscularis,Muscle,AAK1,1.2427689,20.69406147017284
esophagusmuscularis,Muscle,ADK,1.3261528,19.98116887484027
esophagusmuscularis,Muscle,ROCK2,1.2940384,19.967718071154756
esophagusmuscularis,Muscle,CAMK2G,1.2555442,19.712152801129868
esophagusmuscularis,Muscle,MAST4,1.4407243,19.685251193758827
esophagusmuscularis,Muscle,DAPK1,1.4581755,19.537292353218103
esophagusmuscularis,Muscle,DCLK2,1.5263339,19.537292353218103
esophagusmuscularis,Muscle,EGFR,1.358497,19.510390745847065
esophagusmuscularis,Muscle,FGFR1,1.2545768,19.470038334790505
esophagusmuscularis,Muscle,TGFBR2,1.2892157,19.20774766292286
esophagusmuscularis,Muscle,PGK1,1.3679483,18.716793328401373
esophagusmuscularis,Muscle,MAP3K8,1.423785,18.266191404936443
esophagusmuscularis,Muscle,ACVR2A,1.3356904,18.0711547514964
esophagusmuscularis,Muscle,CDK8,1.486852,17.9030197054274
esophagusmuscularis,Muscle,MAP3K5,1.4994273,17.613827426188713
esophagusmuscularis,Muscle,SMG1,1.1933511,17.600376622503195
esophagusmuscularis,Muscle,DYRK1A,1.2032584,17.338085950635552
esophagusmuscularis,Muscle,ITPKB,1.3978707,17.055619073239626
esophagusmuscularis,Muscle,PIP4K2A,1.4276054,16.907660232698905
esophagusmuscularis,Muscle,CLK1,1.1771041,16.860582419799584
esophagusmuscularis,Muscle,MAP4K4,1.2564205,16.75970139215818
esophagusmuscularis,Muscle,TLK1,1.1848265,16.66554576635954
