tissue,cell_type,gene_name,mean_expression,pct_expressing
heart,Fibroblast,PRKG1,4.1800847,86.40034456767525
heart,Fibroblast,AKT3,2.4639175,73.11295359104125
heart,Fibroblast,DCLK1,2.1753545,51.64208032733929
heart,Fibroblast,GRK5,1.9058201,50.877570797889526
heart,Fibroblast,IGF1R,1.6325766,48.85323570582535
heart,Fibroblast,EGFR,1.7052187,45.80596532787768
heart,Fibroblast,TGFBR2,1.6438524,44.05082373209864
heart,Fibroblast,DDR2,1.6203113,42.19877247765694
heart,Fibroblast,INSR,1.4599844,41.57424356627544
heart,Fibroblast,MAPK10,1.6966084,40.63745019920319
heart,Fibroblast,CAMK2D,1.559527,40.06675998707871
heart,Fibroblast,PTK2,1.5257592,39.71142457198234
heart,Fibroblast,STK3,1.4724972,39.15150209970928
heart,Fibroblast,CSNK1A1,1.3954719,36.621083234629054
heart,Fibroblast,PDGFRB,1.5386896,36.319586518789706
heart,Fibroblast,MARK3,1.4376484,36.26574781953268
heart,Fibroblast,FYN,1.3835872,34.639819101970495
heart,Fibroblast,TRIO,1.7531095,34.62905136211909
heart,Fibroblast,FER,1.4434403,34.55367718315925
heart,Fibroblast,SIK3,1.5148762,34.38139334553677
heart,Fibroblast,PDK4,2.2162077,34.01529019058899
heart,Fibroblast,CDC42BPA,1.3581232,33.735328954452456
heart,Fibroblast,BRAF,1.3582729,32.669322709163346
heart,Fibroblast,CDK14,1.3945835,31.409497146548937
heart,Fibroblast,BMPR2,1.4301953,30.311187681705608
heart,Fibroblast,CDK13,1.3308351,30.171207063637347
heart,Fibroblast,ABL1,1.3629205,30.0850651448261
heart,Fibroblast,MUSK,1.5250993,29.81587164854097
heart,Fibroblast,MAST4,1.4200435,29.762032949283945
heart,Fibroblast,EPHA3,1.5059761,29.72972972972973
heart,Fibroblast,HIPK3,1.3330868,29.12673629805104
heart,Fibroblast,PRKCA,1.3885201,27.57618175944869
heart,Fibroblast,FGFR1,1.3033398,27.40389792182621
heart,Fibroblast,PRKD1,1.428115,26.962420587918597
heart,Fibroblast,PIK3R1,1.3540996,26.790136750296117
heart,Fibroblast,SRPK2,1.3762575,26.757833530741895
heart,Fibroblast,PIK3CA,1.318888,26.33789167653709
heart,Fibroblast,MAP4K3,1.2989604,25.89641434262948
