tissue,cell_type,gene_name,mean_expression,pct_expressing
prostate,Immune (myeloid),TRIO,1.8844621,48.83268482490272
prostate,Immune (myeloid),MERTK,2.238,48.63813229571984
prostate,Immune (myeloid),SYK,1.7082494,48.34630350194553
prostate,Immune (myeloid),TAOK3,1.8350306,47.76264591439689
prostate,Immune (myeloid),LYN,1.7367303,45.81712062256809
prostate,Immune (myeloid),IRAK3,1.6651785,43.57976653696498
prostate,Immune (myeloid),PIP4K2A,1.5968468,43.190661478599225
prostate,Immune (myeloid),PRKCA,2.0642202,42.4124513618677
prostate,Immune (myeloid),BMP2K,1.6013986,41.73151750972763
prostate,Immune (myeloid),PRKAG2,1.7400469,41.53696498054475
prostate,Immune (myeloid),PRKCE,1.75,40.46692607003891
prostate,Immune (myeloid),CSNK1A1,1.5062035,39.202334630350194
prostate,Immune (myeloid),HIPK2,1.641791,39.10505836575876
prostate,Immune (myeloid),PIK3R1,1.7117347,38.13229571984436
prostate,Immune (myeloid),ROCK1,1.4571428,37.45136186770428
prostate,Immune (myeloid),PKM,1.6073298,37.15953307392997
prostate,Immune (myeloid),DAPK1,1.5308311,36.284046692607
prostate,Immune (myeloid),MAP3K5,1.5054348,35.797665369649806
prostate,Immune (myeloid),PRKCB,1.6621253,35.70038910505836
prostate,Immune (myeloid),CSF1R,1.4107648,34.33852140077821
prostate,Immune (myeloid),CAMK2D,1.573487,33.754863813229576
prostate,Immune (myeloid),AAK1,1.4411764,33.07392996108949
prostate,Immune (myeloid),STK3,1.3900928,31.420233463035014
prostate,Immune (myeloid),LRRK2,1.637224,30.836575875486385
prostate,Immune (myeloid),PTK2B,1.4647436,30.35019455252918
prostate,Immune (myeloid),SIK3,2.1350482,30.252918287937742
prostate,Immune (myeloid),STK17B,1.9223301,30.058365758754864
prostate,Immune (myeloid),MAP2K1,1.4675325,29.961089494163424
prostate,Immune (myeloid),MAP3K2,1.3571428,29.961089494163424
prostate,Immune (myeloid),ADK,1.3876221,29.863813229571985
prostate,Immune (myeloid),WNK1,1.3071896,29.766536964980546
prostate,Immune (myeloid),GK,1.7774086,29.28015564202335
prostate,Immune (myeloid),PKN2,1.3712375,29.08560311284047
prostate,Immune (myeloid),HCK,1.3344482,29.08560311284047
prostate,Immune (myeloid),MARK3,1.2979453,28.404669260700388
prostate,Immune (myeloid),TGFBR1,1.5620689,28.21011673151751
prostate,Immune (myeloid),ATM,1.2972028,27.82101167315175
prostate,Immune (myeloid),TAOK1,1.2972028,27.82101167315175
prostate,Immune (myeloid),TGFBR2,1.3496504,27.82101167315175
prostate,Immune (myeloid),BRAF,1.3204225,27.626459143968876
prostate,Immune (myeloid),DYRK1A,1.204947,27.529182879377437
prostate,Immune (myeloid),SRPK2,1.4021353,27.33463035019455
prostate,Immune (myeloid),STK4,1.3405797,26.848249027237355
prostate,Immune (myeloid),GSK3B,1.2945454,26.750972762645915
prostate,Immune (myeloid),TRPM7,1.3284132,26.36186770428016
prostate,Immune (myeloid),MKNK1,1.2814815,26.26459143968872
prostate,Immune (myeloid),AKT3,1.5762082,26.16731517509728
prostate,Immune (myeloid),CDK13,1.3071162,25.9727626459144
prostate,Immune (myeloid),MAP3K8,1.6174242,25.680933852140075
prostate,Immune (myeloid),JAK2,1.3346153,25.29182879377432
prostate,Immune (myeloid),FGR,1.281746,24.5136186770428
