tissue,cell_type,gene_name,mean_expression,pct_expressing
prostate,Muscle,MYLK,4.093481,72.4921979491752
prostate,Muscle,PRKG1,3.9332416,64.77931341952741
prostate,Muscle,AKT3,2.4488373,57.51226036558181
prostate,Muscle,TRIO,2.477612,50.78020508247882
prostate,Muscle,CDC42BPA,1.9892377,49.71020954079359
prostate,Muscle,PRKD1,3.3633094,49.576460098082926
prostate,Muscle,SIK3,2.4164383,48.818546589389214
prostate,Muscle,CSNK1A1,2.088991,48.59563085153812
prostate,Muscle,STK3,1.8575445,47.57021845742309
prostate,Muscle,MAPK10,2.138833,44.31564868479715
prostate,Muscle,PRKCA,1.8978329,43.20106999554169
prostate,Muscle,CKB,1.9792746,43.02273740526081
prostate,Muscle,PTK2,1.6939427,41.95274186357557
prostate,Muscle,IGF1R,1.9291428,39.01025412394115
prostate,Muscle,EPHA3,1.8800931,38.296923762817656
prostate,Muscle,CAMK2D,1.7707839,37.53901025412394
prostate,Muscle,BMPR1A,1.6987654,36.11234953187695
prostate,Muscle,ILK,1.6232961,35.9786000891663
prostate,Muscle,MAP4K3,1.5349127,35.7556843513152
prostate,Muscle,BMPR2,1.8022814,35.17610343290236
prostate,Muscle,ROCK2,1.6023778,33.74944271065537
prostate,Muscle,INSR,1.9241012,33.48194382523406
prostate,Muscle,PDK4,4.497992,33.30361123495319
prostate,Muscle,BRAF,1.549435,31.56486847971467
prostate,Muscle,SRPK2,1.5325779,31.475702184574235
prostate,Muscle,ROR2,1.8512161,31.1636201515827
prostate,Muscle,SPEG,1.4067547,30.36112349531877
prostate,Muscle,PKM,1.5367316,29.736959429335712
prostate,Muscle,CDK13,1.4857143,29.647793134195272
prostate,Muscle,FER,1.4977443,29.647793134195272
prostate,Muscle,MAP4K5,1.472561,29.24654480606331
prostate,Muscle,MARK3,1.4305556,28.88987962550156
prostate,Muscle,DDR2,1.5032468,27.46321890325457
prostate,Muscle,MAST4,1.7414966,26.21489077128845
prostate,Muscle,MAP3K5,2.0601375,25.947391885867145
prostate,Muscle,ROR1,1.5423143,25.813642443156485
prostate,Muscle,WNK1,1.3655536,25.3678109674543
prostate,Muscle,ROCK1,1.4471831,25.323227819884085
prostate,Muscle,PIK3R1,1.547237,25.011145786892552
prostate,Muscle,CDK14,1.4438503,25.011145786892552
prostate,Muscle,HIPK3,1.4738739,24.743646901471244
prostate,Muscle,ABL1,1.3679417,24.476148016049933
prostate,Muscle,PRKAG2,1.4235728,24.208649130628626
prostate,Muscle,EEF2K,1.3555555,24.074899687917966
prostate,Muscle,ADK,1.5217391,23.584485064645563
prostate,Muscle,MAP2K5,1.3410405,23.138653588943377
prostate,Muscle,DYRK1A,1.3145632,22.960320998662507
prostate,Muscle,TAOK1,1.3392156,22.73740526081141
prostate,Muscle,PKN2,1.3804781,22.380740080249662
prostate,Muscle,AAK1,1.4887064,21.711992866696388
prostate,Muscle,PRKACB,1.3991684,21.44449398127508
prostate,Muscle,CASK,1.3206751,21.13241194828355
prostate,Muscle,STK38L,1.448203,21.08782880071333
prostate,Muscle,MAP2K4,1.2642707,21.08782880071333
prostate,Muscle,TGM2,1.6047008,20.86491306286224
prostate,Muscle,CAMK2G,1.2709677,20.731163620151584
prostate,Muscle,TRPM7,1.3836207,20.686580472581365
prostate,Muscle,MAPK8,1.3484849,20.59741417744093
prostate,Muscle,PRKDC,1.2543478,20.50824788230049
prostate,Muscle,PI4KA,1.2175825,20.2853321444494
prostate,Muscle,TLK1,1.2444934,20.24074899687918
prostate,Muscle,EGFR,1.6799117,20.19616584930896
prostate,Muscle,SIK2,1.4190687,20.106999554168524
prostate,Muscle,MAPK1,1.2908278,19.92866696388765
prostate,Muscle,SMG1,1.2757847,19.884083816317432
prostate,Muscle,FGFR1,1.2873303,19.70575122603656
prostate,Muscle,BRD4,1.2522936,19.438252340615247
prostate,Muscle,TNIK,1.3596288,19.215336602764157
prostate,Muscle,STK38,1.2482599,19.215336602764157
prostate,Muscle,GRK5,1.4600939,18.99242086491306
prostate,Muscle,PRKCE,1.4917258,18.85867142220241
prostate,Muscle,TAOK3,1.397619,18.72492197949175
prostate,Muscle,HIPK2,1.45,18.72492197949175
prostate,Muscle,CSNK1E,1.2482101,18.68033883192153
prostate,Muscle,FGFR2,1.4892602,18.68033883192153
prostate,Muscle,GSK3B,1.2679425,18.63575568435132
prostate,Muscle,CDK8,1.4258373,18.63575568435132
prostate,Muscle,STK33,1.2853717,18.591172536781094
prostate,Muscle,SGMS1,1.3189448,18.591172536781094
prostate,Muscle,ATM,1.2058111,18.412839946500224
prostate,Muscle,PIK3CA,1.230198,18.011591618368257
prostate,Muscle,PIK3C2A,1.2630273,17.96700847079804
prostate,Muscle,TLK2,1.2325,17.833259028087383
prostate,Muscle,PAK3,1.4824121,17.744092732946946
prostate,Muscle,TGFBR2,1.4101266,17.61034329023629
prostate,Muscle,MAP4K4,1.2461929,17.565760142666072
prostate,Muscle,ATR,1.3120204,17.432010699955416
prostate,Muscle,NEK7,1.2005142,17.34284440481498
prostate,Muscle,JAK1,1.2802056,17.34284440481498
prostate,Muscle,STK39,1.6347151,17.209094962104324
prostate,Muscle,TAF1,1.2020725,17.209094962104324
prostate,Muscle,KALRN,1.6256545,17.030762371823453
