tissue,cell_type,gene_name,mean_expression,pct_expressing
skeletalmuscle,Endothelial cell,AKT3,2.7669902,69.64688204357627
skeletalmuscle,Endothelial cell,PTK2,1.8608695,51.84072126220887
skeletalmuscle,Endothelial cell,FLT1,3.4728916,49.88730277986476
skeletalmuscle,Endothelial cell,WNK1,1.9688524,45.83020285499624
skeletalmuscle,Endothelial cell,CDC42BPA,1.8668885,45.154019534184826
skeletalmuscle,Endothelial cell,PRKCH,1.548913,41.47257700976709
skeletalmuscle,Endothelial cell,KALRN,1.852071,38.09166040571
skeletalmuscle,Endothelial cell,BMPR2,1.8141414,37.1900826446281
skeletalmuscle,Endothelial cell,PIK3C2A,1.4957983,35.762584522915105
skeletalmuscle,Endothelial cell,TRIO,1.4696629,33.433508640120216
skeletalmuscle,Endothelial cell,CSNK1A1,1.4824356,32.08114199849737
skeletalmuscle,Endothelial cell,TIE1,1.3785714,31.555221637866264
skeletalmuscle,Endothelial cell,TGFBR2,1.7398568,31.480090157776107
skeletalmuscle,Endothelial cell,BRAF,1.3955224,30.202854996243428
skeletalmuscle,Endothelial cell,MAST4,1.6826197,29.82719759579264
skeletalmuscle,Endothelial cell,MARK3,1.398977,29.37640871525169
skeletalmuscle,Endothelial cell,HIPK3,1.6839378,29.000751314800898
skeletalmuscle,Endothelial cell,IRAK3,1.3377309,28.4748309541698
skeletalmuscle,Endothelial cell,IGF1R,1.6229947,28.09917355371901
skeletalmuscle,Endothelial cell,AAK1,1.4986376,27.573253193087904
skeletalmuscle,Endothelial cell,INSR,1.5961539,27.347858752817427
skeletalmuscle,Endothelial cell,STK3,1.3268698,27.12246431254696
skeletalmuscle,Endothelial cell,FER,1.4719101,26.746806912096165
skeletalmuscle,Endothelial cell,GRK5,1.684507,26.67167543200601
skeletalmuscle,Endothelial cell,CDK17,1.4730878,26.52141247182569
skeletalmuscle,Endothelial cell,SIK3,3.017291,26.070623591284747
skeletalmuscle,Endothelial cell,CAMK2D,1.6130953,25.24417731029301
skeletalmuscle,Endothelial cell,EPHA4,1.7185628,25.09391435011269
skeletalmuscle,Endothelial cell,HIPK2,1.3801917,23.516153268219384
skeletalmuscle,Endothelial cell,CDK13,1.2129033,23.29075882794891
skeletalmuscle,Endothelial cell,MAP4K3,1.3562092,22.99023290758828
skeletalmuscle,Endothelial cell,SRPK2,1.3180327,22.91510142749812
skeletalmuscle,Endothelial cell,SIK2,1.5066226,22.68970698722765
skeletalmuscle,Endothelial cell,PRKCE,1.2214533,21.7129977460556
skeletalmuscle,Endothelial cell,CSNK1E,1.3006994,21.487603305785125
skeletalmuscle,Endothelial cell,TEK,1.5387324,21.337340345604808
skeletalmuscle,Endothelial cell,STK38L,1.5362319,20.736288504883547
skeletalmuscle,Endothelial cell,TAOK1,1.2398524,20.36063110443276
skeletalmuscle,Endothelial cell,STK38,1.2813689,19.759579263711498
skeletalmuscle,Endothelial cell,ROCK2,1.2671756,19.684447783621337
skeletalmuscle,Endothelial cell,EGFR,1.5153847,19.534184823441024
skeletalmuscle,Endothelial cell,TGM2,2.1162791,19.383921863260703
skeletalmuscle,Endothelial cell,PKN2,1.2549801,18.8580015026296
skeletalmuscle,Endothelial cell,DYRK1A,1.2771084,18.707738542449288
skeletalmuscle,Endothelial cell,YES1,1.2263374,18.25694966190834
skeletalmuscle,Endothelial cell,NUAK1,1.5767635,18.106686701728027
skeletalmuscle,Endothelial cell,PRKD1,1.4364407,17.731029301277236
skeletalmuscle,Endothelial cell,GUK1,1.5964912,17.129977460555974
skeletalmuscle,Endothelial cell,IKBKB,1.2123893,16.979714500375657
skeletalmuscle,Endothelial cell,PDK4,4.509346,16.078136739293765
skeletalmuscle,Endothelial cell,PRKX,1.3971963,16.078136739293765
skeletalmuscle,Endothelial cell,MAP2K5,1.2803738,16.078136739293765
skeletalmuscle,Endothelial cell,NLK,1.2159624,16.003005259203608
skeletalmuscle,Endothelial cell,MAP4K4,1.231132,15.92787377911345
skeletalmuscle,Endothelial cell,TAOK3,1.2169812,15.92787377911345
skeletalmuscle,Endothelial cell,GSK3B,1.2105263,15.702479338842975
skeletalmuscle,Endothelial cell,PRKD3,1.1674641,15.702479338842975
skeletalmuscle,Endothelial cell,FYN,1.2836539,15.62734785875282
skeletalmuscle,Endothelial cell,TAF1,1.132353,15.326821938392184
skeletalmuscle,Endothelial cell,ROCK1,1.1576355,15.251690458302027
skeletalmuscle,Endothelial cell,SMG1,1.174359,14.650638617580766
skeletalmuscle,Endothelial cell,CDK14,1.3762887,14.575507137490607
skeletalmuscle,Endothelial cell,ADK,1.2590674,14.500375657400449
skeletalmuscle,Endothelial cell,MAP3K3,1.1450777,14.500375657400449
skeletalmuscle,Endothelial cell,TRPM7,1.1827956,13.974455296769348
skeletalmuscle,Endothelial cell,FGFR1,1.3043479,13.82419233658903
skeletalmuscle,Endothelial cell,SNRK,1.2021858,13.749060856498874
skeletalmuscle,Endothelial cell,BCR,1.2637362,13.673929376408712
skeletalmuscle,Endothelial cell,MAP4K5,1.1777778,13.5236664162284
skeletalmuscle,Endothelial cell,PRKAG2,1.4915254,13.298271975957926
skeletalmuscle,Endothelial cell,CLK1,1.2325581,12.922614575507138
skeletalmuscle,Endothelial cell,PIK3CB,1.189349,12.697220135236664
skeletalmuscle,Endothelial cell,PAK2,1.126506,12.47182569496619
skeletalmuscle,Endothelial cell,STK24,1.3454546,12.396694214876034
skeletalmuscle,Endothelial cell,MET,1.4878049,12.321562734785877
skeletalmuscle,Endothelial cell,PIP4K2A,1.152439,12.321562734785877
skeletalmuscle,Endothelial cell,TLK2,1.1533742,12.246431254695718
skeletalmuscle,Endothelial cell,PIK3C2B,1.196319,12.246431254695718
skeletalmuscle,Endothelial cell,PIK3CA,1.1790123,12.17129977460556
skeletalmuscle,Endothelial cell,PKN3,1.1172839,12.17129977460556
skeletalmuscle,Endothelial cell,PRKDC,1.1677018,12.096168294515405
skeletalmuscle,Endothelial cell,PRKG1,1.6603774,11.945905334335086
skeletalmuscle,Endothelial cell,VRK2,1.163522,11.945905334335086
skeletalmuscle,Endothelial cell,ATR,1.227848,11.870773854244929
skeletalmuscle,Endothelial cell,ABL1,1.221519,11.870773854244929
skeletalmuscle,Endothelial cell,MAP3K1,1.1858975,11.720510894064612
skeletalmuscle,Endothelial cell,CASK,1.1806451,11.645379413974457
skeletalmuscle,Endothelial cell,MAP3K8,1.2091503,11.49511645379414
skeletalmuscle,Endothelial cell,TLK1,1.168919,11.119459053343352
skeletalmuscle,Endothelial cell,SGMS1,1.1496599,11.044327573253192
skeletalmuscle,Endothelial cell,MAPK8,1.2244898,11.044327573253192
skeletalmuscle,Endothelial cell,BMX,1.7006803,11.044327573253192
skeletalmuscle,Endothelial cell,MAP2K1,1.1111112,10.81893313298272
skeletalmuscle,Endothelial cell,LIMK2,1.084507,10.668670172802404
skeletalmuscle,Endothelial cell,MAK,1.2042253,10.668670172802404
skeletalmuscle,Endothelial cell,ATM,1.0780141,10.593538692712247
skeletalmuscle,Endothelial cell,CDK19,1.2553191,10.593538692712247
skeletalmuscle,Endothelial cell,CDK6,1.1666666,10.368144252441772
skeletalmuscle,Endothelial cell,PRKCA,1.2043796,10.293012772351616
skeletalmuscle,Endothelial cell,ABL2,1.160584,10.293012772351616
skeletalmuscle,Endothelial cell,CDC42BPB,1.1029412,10.217881292261458
skeletalmuscle,Endothelial cell,JAK1,1.1333333,10.1427498121713
skeletalmuscle,Endothelial cell,PI4KA,1.037037,10.1427498121713
skeletalmuscle,Endothelial cell,NEK7,1.119403,10.067618332081144
skeletalmuscle,Endothelial cell,PIK3C3,1.1060606,9.917355371900827
skeletalmuscle,Endothelial cell,TTBK2,1.1666666,9.917355371900827
skeletalmuscle,Endothelial cell,BRD4,1.1461538,9.767092411720512
skeletalmuscle,Endothelial cell,MAPK1,1.1171875,9.616829451540196
skeletalmuscle,Endothelial cell,MAP2K4,1.1953125,9.616829451540196
skeletalmuscle,Endothelial cell,STK10,1.0944881,9.541697971450038
skeletalmuscle,Endothelial cell,DAPK1,1.6614174,9.541697971450038
skeletalmuscle,Endothelial cell,TBK1,1.1587301,9.46656649135988
skeletalmuscle,Endothelial cell,PRKD2,1.072,9.391435011269722
skeletalmuscle,Endothelial cell,SCYL2,1.1209677,9.316303531179564
skeletalmuscle,Endothelial cell,ERBB4,1.3495935,9.241172051089409
skeletalmuscle,Endothelial cell,EEF2K,1.090164,9.166040570999249
skeletalmuscle,Endothelial cell,PRKAA1,1.1065574,9.166040570999249
skeletalmuscle,Endothelial cell,PIP5K1A,1.1322314,9.090909090909092
skeletalmuscle,Endothelial cell,MAST2,1.3421053,8.564988730277987
skeletalmuscle,Endothelial cell,MAP3K2,1.1607143,8.414725770097672
skeletalmuscle,Endothelial cell,ILK,1.125,8.414725770097672
skeletalmuscle,Endothelial cell,TTN,3.0089285,8.414725770097672
skeletalmuscle,Endothelial cell,EIF2AK2,1.1559633,8.189331329827198
skeletalmuscle,Endothelial cell,JAK2,1.0943396,7.963936889556725
skeletalmuscle,Endothelial cell,CDK8,1.1904762,7.888805409466566
skeletalmuscle,Endothelial cell,SRPK1,1.2115384,7.813673929376409
skeletalmuscle,Endothelial cell,CSNK1D,1.0388349,7.738542449286251
skeletalmuscle,Endothelial cell,RIOK3,1.0882353,7.663410969196092
skeletalmuscle,Endothelial cell,MAP3K13,1.1862745,7.663410969196092
skeletalmuscle,Endothelial cell,RYK,1.1386138,7.588279489105935
skeletalmuscle,Endothelial cell,MAPK14,1.0990099,7.588279489105935
skeletalmuscle,Endothelial cell,NEK1,1.09,7.513148009015777
skeletalmuscle,Endothelial cell,ITPKB,1.2525252,7.43801652892562
skeletalmuscle,Endothelial cell,MAPK6,1.0520834,7.212622088655146
skeletalmuscle,Endothelial cell,AK2,1.0736842,7.137490608564989
skeletalmuscle,Endothelial cell,PAPSS2,1.3118279,6.987227648384674
skeletalmuscle,Endothelial cell,AK3,1.172043,6.987227648384674
skeletalmuscle,Endothelial cell,CDK12,1.0537634,6.987227648384674
skeletalmuscle,Endothelial cell,ETNK1,1.1304348,6.912096168294515
skeletalmuscle,Endothelial cell,MAP3K11,1.1208792,6.836964688204357
skeletalmuscle,Endothelial cell,MTOR,1.0769231,6.836964688204357
skeletalmuscle,Endothelial cell,ACVRL1,1.1758242,6.836964688204357
skeletalmuscle,Endothelial cell,PRKCI,1.0659341,6.836964688204357
skeletalmuscle,Endothelial cell,CMPK1,1.1758242,6.836964688204357
skeletalmuscle,Endothelial cell,BAZ1B,1.1318681,6.836964688204357
skeletalmuscle,Endothelial cell,CDKL1,1.2197802,6.836964688204357
skeletalmuscle,Endothelial cell,NME3,1.0444444,6.7618332081142
skeletalmuscle,Endothelial cell,STK4,1.0786517,6.686701728024041
skeletalmuscle,Endothelial cell,MKNK1,1.0568181,6.6115702479338845
skeletalmuscle,Endothelial cell,STK32B,1.5747126,6.536438767843726
skeletalmuscle,Endothelial cell,FGGY,1.2183908,6.536438767843726
skeletalmuscle,Endothelial cell,PGK1,1.1279069,6.461307287753569
skeletalmuscle,Endothelial cell,LATS2,1.1511627,6.461307287753569
skeletalmuscle,Endothelial cell,CSNK1G3,1.0705882,6.3861758076634105
skeletalmuscle,Endothelial cell,MARK4,1.0705882,6.3861758076634105
skeletalmuscle,Endothelial cell,MAP3K14,1.0705882,6.3861758076634105
skeletalmuscle,Endothelial cell,NEK9,1.1411765,6.3861758076634105
skeletalmuscle,Endothelial cell,ITPKC,1.1058824,6.3861758076634105
skeletalmuscle,Endothelial cell,LYN,1.0476191,6.311044327573254
skeletalmuscle,Endothelial cell,SLK,1.0476191,6.311044327573254
skeletalmuscle,Endothelial cell,CSNK2A1,1.0714285,6.311044327573254
skeletalmuscle,Endothelial cell,MAPKAPK2,1.0246913,6.08564988730278
skeletalmuscle,Endothelial cell,NME7,1.2125,6.010518407212622
skeletalmuscle,Endothelial cell,EPHB4,1.0641025,5.860255447032307
skeletalmuscle,Endothelial cell,KDR,1.1818181,5.785123966942149
skeletalmuscle,Endothelial cell,MAP3K5,1.2987013,5.785123966942149
skeletalmuscle,Endothelial cell,PKN1,1.0909091,5.785123966942149
skeletalmuscle,Endothelial cell,MKNK2,1.1578947,5.709992486851991
skeletalmuscle,Endothelial cell,CDKL5,1.1351352,5.559729526671676
skeletalmuscle,Endothelial cell,EPHA3,1.4324324,5.559729526671676
skeletalmuscle,Endothelial cell,PDPK1,1.081081,5.559729526671676
skeletalmuscle,Endothelial cell,ALPK1,1.1081082,5.559729526671676
skeletalmuscle,Endothelial cell,PIP5K1C,1.1081082,5.559729526671676
skeletalmuscle,Endothelial cell,MAP3K4,1.1232877,5.484598046581517
skeletalmuscle,Endothelial cell,PIKFYVE,1.1111112,5.40946656649136
skeletalmuscle,Endothelial cell,MINK1,1.125,5.40946656649136
skeletalmuscle,Endothelial cell,SGK1,1.1111112,5.40946656649136
skeletalmuscle,Endothelial cell,MAP3K7,1.1267606,5.334335086401202
skeletalmuscle,Endothelial cell,OBSCN,1.8732394,5.334335086401202
skeletalmuscle,Endothelial cell,ACVR2A,1.084507,5.334335086401202
skeletalmuscle,Endothelial cell,PPIP5K2,1.084507,5.334335086401202
skeletalmuscle,Endothelial cell,LMTK2,1.1142857,5.259203606311044
skeletalmuscle,Endothelial cell,MAP3K6,1.0714285,5.259203606311044
skeletalmuscle,Endothelial cell,STK40,1.0571429,5.259203606311044
skeletalmuscle,Endothelial cell,LRRK2,1.0571429,5.259203606311044
skeletalmuscle,Endothelial cell,PI4KB,1.0724638,5.184072126220887
skeletalmuscle,Endothelial cell,AGK,1.0735294,5.108940646130729
skeletalmuscle,Endothelial cell,FGR,1.1470588,5.108940646130729
skeletalmuscle,Endothelial cell,EIF2AK3,1.2537314,5.033809166040571
skeletalmuscle,Endothelial cell,MAPKAPK5,1.030303,4.958677685950414
skeletalmuscle,Endothelial cell,DCLK2,1.0615385,4.883546205860256
skeletalmuscle,Endothelial cell,BMP2K,1.1692308,4.883546205860256
skeletalmuscle,Endothelial cell,PIM3,1.1904762,4.7332832456799405
skeletalmuscle,Endothelial cell,CLK4,1.031746,4.7332832456799405
skeletalmuscle,Endothelial cell,RIPK1,1.0793651,4.7332832456799405
skeletalmuscle,Endothelial cell,DSTYK,1.016129,4.658151765589782
skeletalmuscle,Endothelial cell,PANK2,1.0327868,4.583020285499624
skeletalmuscle,Endothelial cell,ROR1,1.2131147,4.583020285499624
skeletalmuscle,Endothelial cell,PHKA1,1.2,4.507888805409467
skeletalmuscle,Endothelial cell,TESK2,1.1166667,4.507888805409467
skeletalmuscle,Endothelial cell,PRKAA2,1.1333333,4.507888805409467
skeletalmuscle,Endothelial cell,NPR1,1.15,4.507888805409467
