tissue,cell_type,gene_name,mean_expression,pct_expressing
skeletalmuscle,Immune (lymphocyte),FYN,1.8813559,59.0
skeletalmuscle,Immune (lymphocyte),PRKCH,1.6140351,56.99999999999999
skeletalmuscle,Immune (lymphocyte),PIP4K2A,1.6785715,56.00000000000001
skeletalmuscle,Immune (lymphocyte),STK4,1.7321428,56.00000000000001
skeletalmuscle,Immune (lymphocyte),AKT3,1.7843137,51.0
skeletalmuscle,Immune (lymphocyte),ITK,1.531915,47.0
skeletalmuscle,Immune (lymphocyte),AAK1,1.45,40.0
skeletalmuscle,Immune (lymphocyte),TXK,2.0,40.0
skeletalmuscle,Immune (lymphocyte),PRKCB,1.3333334,39.0
skeletalmuscle,Immune (lymphocyte),STK17B,1.7142857,35.0
skeletalmuscle,Immune (lymphocyte),STK38,1.382353,34.0
skeletalmuscle,Immune (lymphocyte),PRKCQ,1.2058823,34.0
skeletalmuscle,Immune (lymphocyte),ATM,1.2121212,33.0
skeletalmuscle,Immune (lymphocyte),SRPK2,1.2258065,31.0
skeletalmuscle,Immune (lymphocyte),TAOK3,1.6551725,29.0
skeletalmuscle,Immune (lymphocyte),MAP3K5,1.2142857,28.000000000000004
skeletalmuscle,Immune (lymphocyte),CDK13,1.3214285,28.000000000000004
skeletalmuscle,Immune (lymphocyte),STK10,1.2857143,28.000000000000004
skeletalmuscle,Immune (lymphocyte),ERN1,1.2857143,28.000000000000004
skeletalmuscle,Immune (lymphocyte),WNK1,1.1481482,27.0
skeletalmuscle,Immune (lymphocyte),CAMK4,1.4074074,27.0
skeletalmuscle,Immune (lymphocyte),CASK,1.6538461,26.0
skeletalmuscle,Immune (lymphocyte),JAK1,1.36,25.0
skeletalmuscle,Immune (lymphocyte),TNIK,1.36,25.0
skeletalmuscle,Immune (lymphocyte),TGFBR2,1.2,25.0
skeletalmuscle,Immune (lymphocyte),PRKCA,1.3478261,23.0
skeletalmuscle,Immune (lymphocyte),PKN2,1.2173913,23.0
skeletalmuscle,Immune (lymphocyte),MAPK1,1.2272727,22.0
skeletalmuscle,Immune (lymphocyte),MARK3,1.2272727,22.0
skeletalmuscle,Immune (lymphocyte),LCK,1.1428572,21.0
skeletalmuscle,Immune (lymphocyte),SIK3,1.4761904,21.0
skeletalmuscle,Immune (lymphocyte),DYRK1A,1.2,20.0
skeletalmuscle,Immune (lymphocyte),PIK3R1,1.2,20.0
skeletalmuscle,Immune (lymphocyte),STK3,1.0526316,19.0
skeletalmuscle,Immune (lymphocyte),ADK,1.3157895,19.0
skeletalmuscle,Immune (lymphocyte),MAP2K1,1.1052631,19.0
skeletalmuscle,Immune (lymphocyte),CAMK2D,1.4444444,18.0
skeletalmuscle,Immune (lymphocyte),BRAF,1.1764706,17.0
skeletalmuscle,Immune (lymphocyte),PRKX,1.0,16.0
skeletalmuscle,Immune (lymphocyte),MAP4K4,1.1875,16.0
skeletalmuscle,Immune (lymphocyte),HIPK2,1.375,16.0
skeletalmuscle,Immune (lymphocyte),TRPM7,1.2666667,15.0
skeletalmuscle,Immune (lymphocyte),GRK5,1.2,15.0
skeletalmuscle,Immune (lymphocyte),CDK6,1.2666667,15.0
skeletalmuscle,Immune (lymphocyte),TLK1,1.2666667,15.0
skeletalmuscle,Immune (lymphocyte),STK39,1.0666667,15.0
skeletalmuscle,Immune (lymphocyte),PTK2B,1.1428572,14.000000000000002
skeletalmuscle,Immune (lymphocyte),ROCK1,1.0714285,14.000000000000002
skeletalmuscle,Immune (lymphocyte),STK17A,1.1428572,14.000000000000002
