tissue,cell_type,gene_name,mean_expression,pct_expressing
skeletalmuscle,Immune (myeloid),SYK,1.4807122,45.725915875169605
skeletalmuscle,Immune (myeloid),MERTK,1.5285286,45.1831750339213
skeletalmuscle,Immune (myeloid),ROCK1,1.3962264,43.14789687924016
skeletalmuscle,Immune (myeloid),IRAK3,1.4155406,40.16282225237449
skeletalmuscle,Immune (myeloid),TAOK3,1.3933823,36.90637720488466
skeletalmuscle,Immune (myeloid),MAP2K1,1.4416667,32.56445047489824
skeletalmuscle,Immune (myeloid),PIP4K2A,1.3663793,31.47896879240163
skeletalmuscle,Immune (myeloid),FER,1.3482143,30.39348710990502
skeletalmuscle,Immune (myeloid),PRKCE,1.3125,30.39348710990502
skeletalmuscle,Immune (myeloid),AAK1,1.309417,30.257801899592945
skeletalmuscle,Immune (myeloid),STK3,1.1784037,28.900949796472187
skeletalmuscle,Immune (myeloid),TRIO,1.3066038,28.76526458616011
skeletalmuscle,Immune (myeloid),CSNK1A1,1.2095238,28.49389416553596
skeletalmuscle,Immune (myeloid),STK17B,1.8159204,27.27272727272727
skeletalmuscle,Immune (myeloid),SGMS1,1.3654822,26.72998643147897
skeletalmuscle,Immune (myeloid),ATM,1.1989796,26.59430122116689
skeletalmuscle,Immune (myeloid),LYN,1.3526316,25.78018995929444
skeletalmuscle,Immune (myeloid),STK4,1.2741935,25.237449118046136
skeletalmuscle,Immune (myeloid),PRKAG2,1.3243244,25.10176390773406
skeletalmuscle,Immune (myeloid),PRKCB,1.3387978,24.830393487109905
skeletalmuscle,Immune (myeloid),TGFBR2,1.284153,24.830393487109905
skeletalmuscle,Immune (myeloid),MAP3K8,1.3666667,24.42333785617368
skeletalmuscle,Immune (myeloid),BRAF,1.2960894,24.2876526458616
skeletalmuscle,Immune (myeloid),ADK,1.2625698,24.2876526458616
skeletalmuscle,Immune (myeloid),INSR,1.2146893,24.016282225237447
skeletalmuscle,Immune (myeloid),CSF1R,1.2931035,23.609226594301223
skeletalmuscle,Immune (myeloid),MARK3,1.1896552,23.609226594301223
skeletalmuscle,Immune (myeloid),SRPK2,1.2080925,23.473541383989144
skeletalmuscle,Immune (myeloid),MKNK1,1.186747,22.523744911804613
