tissue,cell_type,gene_name,mean_expression,pct_expressing
skin,Adipocyte,ROCK2,2.52,40.32258064516129
skin,Adipocyte,PFKFB3,2.5,38.70967741935484
skin,Adipocyte,MAP4K3,1.375,38.70967741935484
skin,Adipocyte,PDK4,2.8636363,35.483870967741936
skin,Adipocyte,DDR2,1.1428572,33.87096774193548
skin,Adipocyte,PRKD1,1.5,32.25806451612903
skin,Adipocyte,INSR,1.55,32.25806451612903
skin,Adipocyte,SRPK2,1.3333334,29.03225806451613
skin,Adipocyte,PIK3R1,1.4444444,29.03225806451613
skin,Adipocyte,FGFR1,1.5882353,27.41935483870968
skin,Adipocyte,CLK1,1.1875,25.806451612903224
skin,Adipocyte,ADK,1.2,24.193548387096776
skin,Adipocyte,PCK1,3.2,24.193548387096776
skin,Adipocyte,SIK2,1.9333333,24.193548387096776
skin,Adipocyte,HIPK3,1.4666667,24.193548387096776
skin,Adipocyte,TAOK3,1.2666667,24.193548387096776
skin,Adipocyte,CAMK2D,1.5333333,24.193548387096776
skin,Adipocyte,PDXK,1.2857143,22.58064516129032
skin,Adipocyte,SMG1,1.0,22.58064516129032
skin,Adipocyte,TRIO,1.0714285,22.58064516129032
skin,Adipocyte,MAST4,1.5714285,22.58064516129032
skin,Adipocyte,MKNK2,1.2857143,22.58064516129032
skin,Adipocyte,TAOK1,1.1428572,22.58064516129032
skin,Adipocyte,CSNK1A1,1.2307693,20.967741935483872
skin,Adipocyte,STK3,1.3846154,20.967741935483872
skin,Adipocyte,EGFR,1.7692307,20.967741935483872
skin,Adipocyte,TGFBR2,1.3076923,20.967741935483872
skin,Adipocyte,HIPK2,1.2307693,20.967741935483872
skin,Adipocyte,STK24,1.3076923,20.967741935483872
skin,Adipocyte,MAP3K5,1.4166666,19.35483870967742
skin,Adipocyte,PRKAG2,1.25,19.35483870967742
skin,Adipocyte,MAP4K4,1.75,19.35483870967742
skin,Adipocyte,DYRK1A,1.0,17.741935483870968
skin,Adipocyte,BMPR2,1.1818181,17.741935483870968
skin,Adipocyte,PRKDC,1.0909091,17.741935483870968
skin,Adipocyte,CSNK1E,1.2727273,17.741935483870968
skin,Adipocyte,FLT3,2.090909,17.741935483870968
skin,Adipocyte,TRPM7,1.1,16.129032258064516
skin,Adipocyte,PI4KA,1.0,16.129032258064516
skin,Adipocyte,OXSR1,1.1,16.129032258064516
skin,Adipocyte,GSK3B,1.0,16.129032258064516
skin,Adipocyte,PRKCE,1.4,16.129032258064516
skin,Adipocyte,MAP4K5,1.2,16.129032258064516
skin,Adipocyte,FYN,1.3,16.129032258064516
