tissue,cell_type,gene_name,mean_expression,pct_expressing
skin,Epithelial cell (keratinocyte),ADK,1.9991095,57.678479712378014
skin,Epithelial cell (keratinocyte),EGFR,2.046083,55.72675911658963
skin,Epithelial cell (keratinocyte),JAK2,1.7608696,47.25218284540318
skin,Epithelial cell (keratinocyte),MAST4,1.70229,47.098099640472526
skin,Epithelial cell (keratinocyte),EEF2K,1.6647059,43.65690806368773
skin,Epithelial cell (keratinocyte),PIK3R1,1.8736718,43.50282485875706
skin,Epithelial cell (keratinocyte),WNK1,1.6343195,43.400102722136616
skin,Epithelial cell (keratinocyte),FGFR3,1.6724352,41.55110426296867
skin,Epithelial cell (keratinocyte),FGFR2,1.6208227,39.95891114535182
skin,Epithelial cell (keratinocyte),CSNK1A1,1.55817,39.29121725731895
skin,Epithelial cell (keratinocyte),SRPK2,1.5284553,37.90446841294299
skin,Epithelial cell (keratinocyte),FER,1.5898491,37.442218798151
skin,Epithelial cell (keratinocyte),INSR,1.5200553,37.13405238828968
skin,Epithelial cell (keratinocyte),SIK3,1.5280236,34.82280431432974
skin,Epithelial cell (keratinocyte),PIK3C2G,1.4797508,32.973805855161785
skin,Epithelial cell (keratinocyte),SMG1,1.354452,29.994863893168976
skin,Epithelial cell (keratinocyte),MAP3K1,1.4165232,29.840780688238315
skin,Epithelial cell (keratinocyte),MARK3,1.3095652,29.53261427837699
skin,Epithelial cell (keratinocyte),PTK2,1.3688811,29.37853107344633
skin,Epithelial cell (keratinocyte),RIOK3,1.2679856,28.5567539804828
skin,Epithelial cell (keratinocyte),BRAF,1.3510054,28.09450436569081
skin,Epithelial cell (keratinocyte),RYK,1.2541744,27.68361581920904
skin,Epithelial cell (keratinocyte),ACVR2A,1.4115385,26.70775552131484
skin,Epithelial cell (keratinocyte),MAP4K5,1.3087379,26.450950179763737
skin,Epithelial cell (keratinocyte),TRPM7,1.3957447,24.1397021058038
skin,Epithelial cell (keratinocyte),BMPR2,1.3560767,24.08834103749358
skin,Epithelial cell (keratinocyte),TRIO,1.3119658,24.03697996918336
skin,Epithelial cell (keratinocyte),GUK1,1.2860215,23.882896764252692
skin,Epithelial cell (keratinocyte),NEK7,1.299569,23.83153569594248
skin,Epithelial cell (keratinocyte),CAMK2D,1.3231441,23.52336928608115
skin,Epithelial cell (keratinocyte),CLK1,1.3150985,23.472008217770927
skin,Epithelial cell (keratinocyte),PTK2B,1.367713,22.907036466358495
skin,Epithelial cell (keratinocyte),TESK2,1.3886364,22.598870056497177
skin,Epithelial cell (keratinocyte),STK3,1.23918,22.547508988186955
skin,Epithelial cell (keratinocyte),PKN2,1.2602739,22.496147919876734
skin,Epithelial cell (keratinocyte),MAP4K3,1.3433875,22.136620441705187
skin,Epithelial cell (keratinocyte),MAP2K4,1.2674419,22.085259373394965
skin,Epithelial cell (keratinocyte),ULK1,1.2847059,21.828454031843865
skin,Epithelial cell (keratinocyte),MINK1,1.2037915,21.6743708269132
skin,Epithelial cell (keratinocyte),SNRK,1.3405797,21.263482280431436
skin,Epithelial cell (keratinocyte),TLK1,1.2753624,21.263482280431436
skin,Epithelial cell (keratinocyte),CDK13,1.307317,21.05803800719055
skin,Epithelial cell (keratinocyte),PRKCA,1.2463415,21.05803800719055
skin,Epithelial cell (keratinocyte),IGF1R,1.3002481,20.698510529019003
skin,Epithelial cell (keratinocyte),MAP3K2,1.2160804,20.4417051874679
skin,Epithelial cell (keratinocyte),PIK3C2A,1.2327366,20.082177709296356
skin,Epithelial cell (keratinocyte),CDK19,1.3273196,19.92809450436569
skin,Epithelial cell (keratinocyte),SGMS1,1.2422681,19.92809450436569
