tissue,cell_type,gene_name,mean_expression,pct_expressing
skin,Epithelial cell,STK39,4.012,41.52823920265781
skin,Epithelial cell,PIK3C2G,3.0429184,38.70431893687707
skin,Epithelial cell,MAST4,2.2378855,37.70764119601329
skin,Epithelial cell,EGFR,1.9140271,36.7109634551495
skin,Epithelial cell,SRPK2,1.5627908,35.714285714285715
skin,Epithelial cell,INSR,1.5539906,35.38205980066445
skin,Epithelial cell,ADK,1.8530805,35.04983388704319
skin,Epithelial cell,CSNK1A1,1.5192307,34.55149501661129
skin,Epithelial cell,ERBB4,2.8439023,34.053156146179404
skin,Epithelial cell,STK3,1.575,33.222591362126245
skin,Epithelial cell,WNK2,1.701031,32.22591362126246
skin,Epithelial cell,PTK2,1.5238096,31.3953488372093
skin,Epithelial cell,BRAF,1.6243386,31.3953488372093
skin,Epithelial cell,SIK3,1.6203208,31.06312292358804
skin,Epithelial cell,PI4KA,1.4104047,28.7375415282392
skin,Epithelial cell,GK5,3.9764705,28.23920265780731
skin,Epithelial cell,MAP4K3,1.4142011,28.07308970099668
skin,Epithelial cell,MARK3,1.3772455,27.74086378737541
skin,Epithelial cell,CSNK1E,2.2037036,26.910299003322255
skin,Epithelial cell,CDK13,1.4509804,25.41528239202658
skin,Epithelial cell,TAOK1,1.3472222,23.920265780730897
skin,Epithelial cell,WNK1,1.6643356,23.754152823920265
skin,Epithelial cell,PKN2,1.4,23.25581395348837
skin,Epithelial cell,ATR,1.268116,22.92358803986711
skin,Epithelial cell,CASK,1.4776119,22.259136212624583
skin,Epithelial cell,CAMK2D,1.5263158,22.093023255813957
skin,Epithelial cell,FGFR2,1.6165414,22.093023255813957
skin,Epithelial cell,GSK3B,1.280303,21.92691029900332
skin,Epithelial cell,HIPK2,1.469697,21.92691029900332
skin,Epithelial cell,MAP2K5,1.5390625,21.2624584717608
skin,Epithelial cell,PRKCE,1.584,20.764119601328904
skin,Epithelial cell,PDXK,1.3870968,20.59800664451827
skin,Epithelial cell,PIM3,1.6370968,20.59800664451827
skin,Epithelial cell,TAOK3,1.2764227,20.43189368770764
skin,Epithelial cell,PRKCH,1.3083333,19.93355481727575
skin,Epithelial cell,BMPR2,1.3865546,19.76744186046512
skin,Epithelial cell,TRIO,1.4033613,19.76744186046512
skin,Epithelial cell,MAP3K1,1.2966101,19.601328903654487
skin,Epithelial cell,SIK2,1.6101695,19.601328903654487
skin,Epithelial cell,PIK3CB,1.3247863,19.43521594684385
skin,Epithelial cell,IGF1R,1.4310344,19.269102990033225
skin,Epithelial cell,PIK3C2A,1.254386,18.93687707641196
skin,Epithelial cell,TRPM7,1.1754386,18.93687707641196
skin,Epithelial cell,MAPK8,1.7017543,18.93687707641196
skin,Epithelial cell,SMG1,1.2920353,18.77076411960133
skin,Epithelial cell,BRD4,1.2920353,18.77076411960133
skin,Epithelial cell,DYRK1A,1.1428572,18.6046511627907
skin,Epithelial cell,RYK,1.3035715,18.6046511627907
skin,Epithelial cell,CDK19,1.273585,17.60797342192691
skin,Epithelial cell,MAP2K4,1.1792452,17.60797342192691
skin,Epithelial cell,ERBB2,1.2285714,17.441860465116278
skin,Epithelial cell,FER,1.4857143,17.441860465116278
skin,Epithelial cell,PRKDC,1.2330097,17.109634551495017
skin,Epithelial cell,CDK6,1.446602,17.109634551495017
skin,Epithelial cell,MAP3K13,1.22,16.611295681063122
skin,Epithelial cell,BMPR1A,1.3434343,16.44518272425249
skin,Epithelial cell,DAPK2,1.9591837,16.27906976744186
skin,Epithelial cell,SGK1,2.0204082,16.27906976744186
skin,Epithelial cell,TLK1,1.1443299,16.11295681063123
skin,Epithelial cell,PDK3,2.5625,15.946843853820598
skin,Epithelial cell,MAPK6,1.2105263,15.780730897009969
skin,Epithelial cell,MAP3K4,1.2391304,15.282392026578073
skin,Epithelial cell,TAF1,1.3076923,15.11627906976744
skin,Epithelial cell,MAPK14,1.2197802,15.11627906976744
skin,Epithelial cell,MKNK1,1.2888889,14.950166112956811
skin,Epithelial cell,AAK1,1.1444445,14.950166112956811
skin,Epithelial cell,RIOK3,1.3111111,14.950166112956811
skin,Epithelial cell,MTOR,1.1,14.950166112956811
skin,Epithelial cell,ULK1,1.8888888,14.950166112956811
skin,Epithelial cell,EEF2K,1.4444444,14.950166112956811
skin,Epithelial cell,MAP4K5,1.1555556,14.950166112956811
skin,Epithelial cell,MAP3K5,1.7111111,14.950166112956811
skin,Epithelial cell,AK3,1.2386364,14.61794019933555
skin,Epithelial cell,ABL2,1.2386364,14.61794019933555
skin,Epithelial cell,PDK4,2.505747,14.451827242524915
skin,Epithelial cell,MYLK,2.7325583,14.285714285714285
skin,Epithelial cell,SCYL2,1.1764706,14.119601328903656
skin,Epithelial cell,MARK2,1.1764706,14.119601328903656
skin,Epithelial cell,CLK4,1.2619047,13.953488372093023
skin,Epithelial cell,TLK2,1.1190476,13.953488372093023
skin,Epithelial cell,PIP5K1A,1.2619047,13.953488372093023
skin,Epithelial cell,PIK3R1,2.7951808,13.78737541528239
skin,Epithelial cell,MAP3K2,1.1807228,13.78737541528239
skin,Epithelial cell,SRPK1,1.2168674,13.78737541528239
skin,Epithelial cell,KALRN,1.2409638,13.78737541528239
skin,Epithelial cell,STK24,1.4698795,13.78737541528239
skin,Epithelial cell,MKNK2,1.2409638,13.78737541528239
skin,Epithelial cell,BCR,1.425,13.2890365448505
skin,Epithelial cell,PFKFB3,2.0,13.2890365448505
skin,Epithelial cell,ACVR2A,1.275,13.2890365448505
skin,Epithelial cell,ATM,1.2625,13.2890365448505
skin,Epithelial cell,LMTK2,1.125,13.2890365448505
skin,Epithelial cell,ROCK1,1.1666666,12.956810631229237
skin,Epithelial cell,NEK7,1.1948051,12.790697674418606
skin,Epithelial cell,CDC42BPA,1.3333334,12.458471760797345
skin,Epithelial cell,JAK2,1.3972603,12.12624584717608
skin,Epithelial cell,PGK1,1.5138888,11.960132890365449
skin,Epithelial cell,GAK,1.1944444,11.960132890365449
skin,Epithelial cell,STK38,1.1690141,11.794019933554816
skin,Epithelial cell,ABL1,1.1830986,11.794019933554816
skin,Epithelial cell,PKM,1.4507042,11.794019933554816
skin,Epithelial cell,NADK,1.2608696,11.461794019933556
skin,Epithelial cell,PFKFB4,1.2753624,11.461794019933556
skin,Epithelial cell,XYLB,1.2647059,11.295681063122924
skin,Epithelial cell,AK9,1.2352941,11.295681063122924
skin,Epithelial cell,ROCK2,1.2537314,11.129568106312291
skin,Epithelial cell,ERBB3,1.2089552,11.129568106312291
skin,Epithelial cell,NME3,1.2089552,11.129568106312291
skin,Epithelial cell,LIMK2,1.0909091,10.96345514950166
skin,Epithelial cell,CLK1,1.3846154,10.79734219269103
skin,Epithelial cell,PRKAG2,1.3076923,10.79734219269103
skin,Epithelial cell,MINK1,1.2307693,10.79734219269103
skin,Epithelial cell,ACVR1B,1.1846154,10.79734219269103
skin,Epithelial cell,CSNK2A1,1.125,10.6312292358804
skin,Epithelial cell,PIKFYVE,1.125,10.6312292358804
skin,Epithelial cell,PAK3,1.453125,10.6312292358804
skin,Epithelial cell,FGGY,1.125,10.6312292358804
skin,Epithelial cell,VRK2,1.0952381,10.465116279069768
skin,Epithelial cell,STK10,2.5238094,10.465116279069768
skin,Epithelial cell,IKBKB,1.2222222,10.465116279069768
skin,Epithelial cell,ETNK1,1.483871,10.299003322259136
skin,Epithelial cell,EIF2AK3,1.2903225,10.299003322259136
skin,Epithelial cell,CDK12,1.1129032,10.299003322259136
skin,Epithelial cell,ERN1,1.2459016,10.132890365448503
skin,Epithelial cell,MERTK,1.2459016,10.132890365448503
skin,Epithelial cell,PMVK,1.45,9.966777408637874
skin,Epithelial cell,MAPK10,1.2666667,9.966777408637874
skin,Epithelial cell,PIK3CA,1.1355932,9.800664451827243
skin,Epithelial cell,PAK4,1.1864407,9.800664451827243
skin,Epithelial cell,PAK1,1.2033899,9.800664451827243
skin,Epithelial cell,NLK,1.1694915,9.800664451827243
