tissue,cell_type,gene_name,mean_expression,pct_expressing
skin,Fibroblast,AKT3,2.301047,72.2117202268431
skin,Fibroblast,FYN,1.7592592,61.247637051039696
skin,Fibroblast,DCLK1,2.7055016,58.41209829867675
skin,Fibroblast,PIK3R1,1.6956521,47.82608695652174
skin,Fibroblast,EGFR,1.6275303,46.69187145557656
skin,Fibroblast,INSR,1.6137339,44.045368620037806
skin,Fibroblast,STK24,1.3289474,43.10018903591683
skin,Fibroblast,PRKAG2,1.3860465,40.64272211720227
skin,Fibroblast,PRKG1,1.655914,35.16068052930057
skin,Fibroblast,PRKD1,1.3954803,33.459357277882795
skin,Fibroblast,PTK2,1.3485714,33.0812854442344
skin,Fibroblast,IGF1R,1.5059524,31.758034026465022
skin,Fibroblast,ROCK2,1.5240964,31.379962192816635
skin,Fibroblast,SIK3,1.3231708,31.001890359168243
skin,Fibroblast,ABL1,1.2283951,30.623818525519848
skin,Fibroblast,CAMK2D,1.3788819,30.434782608695656
skin,Fibroblast,FER,1.35,30.245746691871457
skin,Fibroblast,STK17B,1.4025974,29.111531190926275
skin,Fibroblast,STK3,1.2896552,27.410207939508503
skin,Fibroblast,ROR1,1.3286713,27.032136105860115
skin,Fibroblast,ADK,1.3191489,26.65406427221172
skin,Fibroblast,TRIO,1.2164179,25.330812854442343
skin,Fibroblast,MAP4K3,1.29771,24.763705103969755
skin,Fibroblast,MAP3K5,1.5078125,24.196597353497165
skin,Fibroblast,CLK1,1.2380953,23.81852551984877
skin,Fibroblast,MARK3,1.1904762,23.81852551984877
skin,Fibroblast,ROR2,1.3801653,22.873345935727787
skin,Fibroblast,BRAF,1.3474576,22.3062381852552
skin,Fibroblast,MAP2K5,1.3189656,21.928166351606805
skin,Fibroblast,DDR2,1.3275862,21.928166351606805
skin,Fibroblast,CDC42BPA,1.1842105,21.550094517958414
skin,Fibroblast,CDK13,1.2477876,21.361058601134214
skin,Fibroblast,JAK2,1.1603774,20.03780718336484
skin,Fibroblast,CASK,1.1826923,19.65973534971645
skin,Fibroblast,STK38,1.1941748,19.47069943289225
skin,Fibroblast,PKN2,1.1960784,19.28166351606805
skin,Fibroblast,BMPR1A,1.09,18.90359168241966
skin,Fibroblast,ABL2,1.3232323,18.714555765595463
skin,Fibroblast,CSNK1A1,1.2244898,18.525519848771268
skin,Fibroblast,PDK4,2.0833333,18.14744801512288
skin,Fibroblast,MAP4K4,1.3541666,18.14744801512288
skin,Fibroblast,FGFR1,1.0744681,17.76937618147448
skin,Fibroblast,IRAK3,1.2234043,17.76937618147448
skin,Fibroblast,SMG1,1.1290323,17.580340264650285
skin,Fibroblast,MAP4K5,1.2087913,17.20226843100189
skin,Fibroblast,SRPK2,1.2777778,17.01323251417769
skin,Fibroblast,BMPR2,1.2159091,16.6351606805293
skin,Fibroblast,MAP3K2,1.1022727,16.6351606805293
skin,Fibroblast,CDK14,1.2093023,16.257088846880908
skin,Fibroblast,PIK3C2A,1.1162791,16.257088846880908
skin,Fibroblast,CSNK1E,1.1627907,16.257088846880908
skin,Fibroblast,MAPK8,1.2117647,16.068052930056712
skin,Fibroblast,TLK2,1.1071428,15.879017013232511
skin,Fibroblast,ATM,1.1428572,15.879017013232511
skin,Fibroblast,DYRK1A,1.2023809,15.879017013232511
skin,Fibroblast,JAK1,1.1785715,15.879017013232511
skin,Fibroblast,BRD4,1.1219512,15.500945179584122
skin,Fibroblast,PIK3CA,1.1234568,15.311909262759924
skin,Fibroblast,DAPK1,1.1975309,15.311909262759924
skin,Fibroblast,TGFBR2,1.2716049,15.311909262759924
skin,Fibroblast,TAF1,1.1125,15.122873345935728
skin,Fibroblast,MAP3K3,1.164557,14.933837429111533
skin,Fibroblast,ROCK1,1.1282052,14.744801512287331
skin,Fibroblast,MERTK,1.1038961,14.555765595463138
skin,Fibroblast,PRKCE,1.2368422,14.366729678638942
skin,Fibroblast,ACVR2A,1.2236842,14.366729678638942
skin,Fibroblast,TRPM7,1.0958904,13.799621928166353
skin,Fibroblast,NEK7,1.0547945,13.799621928166353
skin,Fibroblast,SGMS1,1.1643835,13.799621928166353
skin,Fibroblast,TAOK3,1.1666666,13.610586011342155
skin,Fibroblast,PRKCA,1.112676,13.42155009451796
skin,Fibroblast,PRKDC,1.1285714,13.23251417769376
skin,Fibroblast,TAOK1,1.1142857,13.23251417769376
skin,Fibroblast,PRKD3,1.1884058,13.043478260869565
skin,Fibroblast,PI4KA,1.115942,13.043478260869565
skin,Fibroblast,RYK,1.1470588,12.854442344045369
skin,Fibroblast,PIP5K1A,1.0615385,12.287334593572778
skin,Fibroblast,SIK2,1.2461538,12.287334593572778
skin,Fibroblast,HIPK3,1.1538461,12.287334593572778
skin,Fibroblast,PRKAA1,1.09375,12.098298676748582
skin,Fibroblast,PDGFRB,1.046875,12.098298676748582
skin,Fibroblast,PDK3,1.28125,12.098298676748582
skin,Fibroblast,ETNK1,1.1129032,11.720226843100187
skin,Fibroblast,CDK19,1.0806452,11.720226843100187
skin,Fibroblast,PIK3C3,1.0967742,11.720226843100187
skin,Fibroblast,CLK4,1.0677966,11.153119092627598
skin,Fibroblast,GSK3B,1.1355932,11.153119092627598
skin,Fibroblast,LATS2,1.137931,10.964083175803404
skin,Fibroblast,MAP2K4,1.0862069,10.964083175803404
skin,Fibroblast,GRK5,1.0862069,10.964083175803404
skin,Fibroblast,TLK1,1.0892857,10.58601134215501
skin,Fibroblast,CDKL1,1.1607143,10.58601134215501
skin,Fibroblast,TBK1,1.1296296,10.207939508506616
skin,Fibroblast,EEF2K,1.1851852,10.207939508506616
skin,Fibroblast,RIOK3,1.1509434,10.01890359168242
skin,Fibroblast,TTBK2,1.0754716,10.01890359168242
skin,Fibroblast,GAK,1.1153846,9.829867674858225
skin,Fibroblast,LRRK2,1.137255,9.640831758034029
skin,Fibroblast,MAST2,1.16,9.45179584120983
skin,Fibroblast,CDK17,1.0408163,9.262759924385634
skin,Fibroblast,MAPK1,1.1020408,9.262759924385634
skin,Fibroblast,PRKACB,1.1875,9.073724007561438
skin,Fibroblast,MAP3K4,1.1041666,9.073724007561438
skin,Fibroblast,CDK12,1.0208334,9.073724007561438
skin,Fibroblast,PAK2,1.1041666,9.073724007561438
skin,Fibroblast,CDC42BPB,1.106383,8.88468809073724
skin,Fibroblast,PIP4K2A,1.0638298,8.88468809073724
skin,Fibroblast,PIK3CB,1.0652174,8.695652173913043
skin,Fibroblast,HIPK2,1.3555555,8.506616257088846
skin,Fibroblast,MKNK1,1.0222223,8.506616257088846
skin,Fibroblast,PAK3,1.5909091,8.31758034026465
skin,Fibroblast,MAPK14,1.0909091,8.31758034026465
skin,Fibroblast,SLK,1.0227273,8.31758034026465
skin,Fibroblast,AAK1,1.2272727,8.31758034026465
skin,Fibroblast,NUAK1,1.1627907,8.128544423440454
skin,Fibroblast,MAPK10,1.0,8.128544423440454
skin,Fibroblast,NME3,1.1860465,8.128544423440454
skin,Fibroblast,CSNK2A1,1.0232558,8.128544423440454
skin,Fibroblast,PIKFYVE,1.1190476,7.939508506616256
skin,Fibroblast,CDK6,1.0952381,7.939508506616256
skin,Fibroblast,MAPK6,1.097561,7.750472589792061
skin,Fibroblast,FGGY,1.097561,7.750472589792061
skin,Fibroblast,ULK2,1.0487804,7.750472589792061
skin,Fibroblast,PANK2,1.025,7.561436672967864
skin,Fibroblast,NEK1,1.15,7.561436672967864
skin,Fibroblast,BMP2K,1.125,7.561436672967864
skin,Fibroblast,MAP3K7,1.0769231,7.372400756143667
skin,Fibroblast,NEK9,1.0769231,7.372400756143667
skin,Fibroblast,MAP3K8,1.1025641,7.372400756143667
skin,Fibroblast,OXSR1,1.2051282,7.372400756143667
skin,Fibroblast,IKBKB,1.0256411,7.372400756143667
