tissue,cell_type,gene_name,mean_expression,pct_expressing
skin,Immune (lymphocyte),FYN,2.5106382,62.66666666666667
skin,Immune (lymphocyte),AKT3,1.9565217,61.33333333333333
skin,Immune (lymphocyte),CAMK4,1.7631578,50.66666666666667
skin,Immune (lymphocyte),PIP4K2A,1.4054054,49.333333333333336
skin,Immune (lymphocyte),PRKCH,1.2432432,49.333333333333336
skin,Immune (lymphocyte),SIK3,2.0,49.333333333333336
skin,Immune (lymphocyte),ITK,1.8181819,44.0
skin,Immune (lymphocyte),CASK,1.15625,42.66666666666667
skin,Immune (lymphocyte),STK4,1.5625,42.66666666666667
skin,Immune (lymphocyte),AAK1,1.2258065,41.333333333333336
skin,Immune (lymphocyte),STK17B,1.2758621,38.66666666666666
skin,Immune (lymphocyte),PRKCA,1.3571428,37.333333333333336
skin,Immune (lymphocyte),SRPK2,1.3333334,36.0
skin,Immune (lymphocyte),WNK1,1.3333334,36.0
skin,Immune (lymphocyte),MARK3,1.25,32.0
skin,Immune (lymphocyte),CSNK1A1,1.1818181,29.33333333333333
skin,Immune (lymphocyte),SMG1,1.0952381,28.000000000000004
skin,Immune (lymphocyte),TAOK3,1.2380953,28.000000000000004
skin,Immune (lymphocyte),CAMK2D,1.1,26.666666666666668
skin,Immune (lymphocyte),ACVR2A,1.15,26.666666666666668
skin,Immune (lymphocyte),PRKCQ,1.4,26.666666666666668
skin,Immune (lymphocyte),PIK3R1,1.65,26.666666666666668
skin,Immune (lymphocyte),TNIK,1.6,26.666666666666668
skin,Immune (lymphocyte),ERN1,1.3684211,25.333333333333336
skin,Immune (lymphocyte),MAP3K5,1.2222222,24.0
skin,Immune (lymphocyte),MAP4K4,1.2777778,24.0
skin,Immune (lymphocyte),ATM,1.2941177,22.666666666666664
skin,Immune (lymphocyte),FER,1.117647,22.666666666666664
skin,Immune (lymphocyte),STK38,1.4705882,22.666666666666664
skin,Immune (lymphocyte),MAP3K2,1.1764706,22.666666666666664
skin,Immune (lymphocyte),PTK2B,1.25,21.333333333333336
skin,Immune (lymphocyte),ROCK1,1.375,21.333333333333336
skin,Immune (lymphocyte),ITPKB,1.4375,21.333333333333336
skin,Immune (lymphocyte),BRAF,1.2,20.0
skin,Immune (lymphocyte),MAP2K5,1.1333333,20.0
skin,Immune (lymphocyte),TLK1,1.3571428,18.666666666666668
skin,Immune (lymphocyte),CDK13,1.0714285,18.666666666666668
skin,Immune (lymphocyte),MAP3K4,1.3571428,18.666666666666668
skin,Immune (lymphocyte),BMPR2,1.1428572,18.666666666666668
skin,Immune (lymphocyte),STK10,1.0714285,18.666666666666668
skin,Immune (lymphocyte),TXK,1.3076923,17.333333333333336
skin,Immune (lymphocyte),MAP3K1,1.3846154,17.333333333333336
skin,Immune (lymphocyte),JAK1,1.2307693,17.333333333333336
skin,Immune (lymphocyte),PKN2,1.1538461,17.333333333333336
skin,Immune (lymphocyte),CLK1,1.0,17.333333333333336
skin,Immune (lymphocyte),TGFBR2,1.3076923,17.333333333333336
skin,Immune (lymphocyte),CDK12,1.0833334,16.0
skin,Immune (lymphocyte),CDK6,1.0,16.0
skin,Immune (lymphocyte),HIPK2,1.5,16.0
skin,Immune (lymphocyte),TAF1,1.3333334,16.0
skin,Immune (lymphocyte),PI4KA,1.1666666,16.0
skin,Immune (lymphocyte),TLK2,1.0,14.666666666666666
skin,Immune (lymphocyte),CDK17,1.2727273,14.666666666666666
skin,Immune (lymphocyte),ADK,1.3636364,14.666666666666666
skin,Immune (lymphocyte),STK24,1.0909091,14.666666666666666
skin,Immune (lymphocyte),SNRK,1.2727273,14.666666666666666
skin,Immune (lymphocyte),STK17A,1.0,14.666666666666666
skin,Immune (lymphocyte),MAP2K1,1.1818181,14.666666666666666
skin,Immune (lymphocyte),MAST4,1.3636364,14.666666666666666
skin,Immune (lymphocyte),DYRK1A,1.2727273,14.666666666666666
skin,Immune (lymphocyte),PRKDC,1.2727273,14.666666666666666
skin,Immune (lymphocyte),MAP3K3,1.2,13.333333333333334
skin,Immune (lymphocyte),NEK7,1.3,13.333333333333334
skin,Immune (lymphocyte),NLK,1.1,13.333333333333334
skin,Immune (lymphocyte),ABL1,1.1,13.333333333333334
skin,Immune (lymphocyte),PGK1,1.1,13.333333333333334
skin,Immune (lymphocyte),EEF2K,1.3,13.333333333333334
skin,Immune (lymphocyte),TTN,1.5555556,12.0
skin,Immune (lymphocyte),PIP5K1A,1.0,12.0
skin,Immune (lymphocyte),PIK3CD,1.2222222,12.0
skin,Immune (lymphocyte),EGFR,1.6666666,12.0
skin,Immune (lymphocyte),CSNK1D,1.3333334,12.0
skin,Immune (lymphocyte),SGMS1,1.1111112,12.0
skin,Immune (lymphocyte),MAP4K5,1.2222222,12.0
skin,Immune (lymphocyte),GSK3B,1.0,12.0
