tissue,cell_type,gene_name,mean_expression,pct_expressing
skin,Immune (myeloid),SIK3,1.3802817,39.66480446927375
skin,Immune (myeloid),MAP2K1,1.5,39.10614525139665
skin,Immune (myeloid),TAOK3,1.5373135,37.43016759776536
skin,Immune (myeloid),ROCK1,1.3968254,35.19553072625698
skin,Immune (myeloid),TRIO,1.4032258,34.63687150837989
skin,Immune (myeloid),STK17B,1.5573771,34.07821229050279
skin,Immune (myeloid),IRAK3,1.4666667,33.5195530726257
skin,Immune (myeloid),ADK,1.55,33.5195530726257
skin,Immune (myeloid),FER,1.4666667,33.5195530726257
skin,Immune (myeloid),CIITA,1.3,33.5195530726257
skin,Immune (myeloid),MAP3K2,1.440678,32.960893854748605
skin,Immune (myeloid),CDK13,1.3214285,31.28491620111732
skin,Immune (myeloid),PRKAG2,1.4285715,31.28491620111732
skin,Immune (myeloid),PKN2,1.1428572,31.28491620111732
skin,Immune (myeloid),BMP2K,1.4,30.726256983240223
skin,Immune (myeloid),ATM,1.2727273,30.726256983240223
skin,Immune (myeloid),SYK,1.3148148,30.16759776536313
skin,Immune (myeloid),PTK2B,1.245283,29.60893854748604
skin,Immune (myeloid),INSR,1.5192307,29.05027932960894
skin,Immune (myeloid),PIP4K2A,1.3529412,28.49162011173184
skin,Immune (myeloid),AKT3,1.3061224,27.37430167597765
skin,Immune (myeloid),BRAF,1.1041666,26.81564245810056
skin,Immune (myeloid),PAK2,1.1956521,25.69832402234637
skin,Immune (myeloid),LYN,1.4130435,25.69832402234637
skin,Immune (myeloid),SRPK2,1.3913044,25.69832402234637
skin,Immune (myeloid),PIK3C2A,1.1777778,25.13966480446928
skin,Immune (myeloid),JAK2,1.2444445,25.13966480446928
skin,Immune (myeloid),STK38,1.2325581,24.022346368715084
skin,Immune (myeloid),PRKCB,2.0238094,23.463687150837988
skin,Immune (myeloid),CSNK1A1,1.195122,22.90502793296089
skin,Immune (myeloid),FLT3,1.4634147,22.90502793296089
skin,Immune (myeloid),CSNK1E,1.1463414,22.90502793296089
skin,Immune (myeloid),GSK3B,1.35,22.3463687150838
skin,Immune (myeloid),STK4,1.2,22.3463687150838
skin,Immune (myeloid),SMG1,1.2631578,21.22905027932961
skin,Immune (myeloid),AAK1,1.2105263,21.22905027932961
skin,Immune (myeloid),WNK1,1.3333334,20.11173184357542
skin,Immune (myeloid),MAPK14,1.25,20.11173184357542
skin,Immune (myeloid),PI4KA,1.2285714,19.553072625698324
skin,Immune (myeloid),FYN,1.5142857,19.553072625698324
skin,Immune (myeloid),STK3,1.2058823,18.994413407821227
skin,Immune (myeloid),MARK3,1.0882353,18.994413407821227
skin,Immune (myeloid),MAP3K3,1.2647059,18.994413407821227
skin,Immune (myeloid),HIPK3,1.2647059,18.994413407821227
skin,Immune (myeloid),NEK7,1.1515151,18.43575418994413
skin,Immune (myeloid),BMPR2,1.1818181,18.43575418994413
skin,Immune (myeloid),MAP3K5,1.1818181,18.43575418994413
skin,Immune (myeloid),SGMS1,1.2424242,18.43575418994413
skin,Immune (myeloid),MAP3K8,1.0625,17.877094972067038
skin,Immune (myeloid),TGFBR2,1.28125,17.877094972067038
skin,Immune (myeloid),PRKCE,1.28125,17.877094972067038
skin,Immune (myeloid),DYRK1A,1.125,17.877094972067038
skin,Immune (myeloid),PDXK,1.4193548,17.318435754189945
skin,Immune (myeloid),MKNK1,1.0645162,17.318435754189945
skin,Immune (myeloid),BRD4,1.2580645,17.318435754189945
skin,Immune (myeloid),MAP2K4,1.0967742,17.318435754189945
skin,Immune (myeloid),MAP4K3,1.1935484,17.318435754189945
skin,Immune (myeloid),JAK1,1.1,16.75977653631285
skin,Immune (myeloid),CSNK1D,1.1,16.75977653631285
skin,Immune (myeloid),CSF1R,1.2,16.75977653631285
skin,Immune (myeloid),LRRK2,1.1,16.75977653631285
skin,Immune (myeloid),TRPM7,1.0666667,16.75977653631285
skin,Immune (myeloid),CDK19,1.3333334,16.75977653631285
skin,Immune (myeloid),CLK1,1.2,16.75977653631285
skin,Immune (myeloid),PAK1,1.2068965,16.201117318435752
skin,Immune (myeloid),TAOK1,1.1724138,16.201117318435752
skin,Immune (myeloid),RYK,1.0344827,16.201117318435752
skin,Immune (myeloid),CDK14,1.4482758,16.201117318435752
skin,Immune (myeloid),MERTK,1.5517242,16.201117318435752
skin,Immune (myeloid),TLK2,1.137931,16.201117318435752
skin,Immune (myeloid),PIK3R1,1.3571428,15.64245810055866
skin,Immune (myeloid),TBK1,1.1428572,15.64245810055866
skin,Immune (myeloid),PDPK1,1.1071428,15.64245810055866
skin,Immune (myeloid),PIK3CA,1.0714285,15.64245810055866
skin,Immune (myeloid),DAPK1,1.1111112,15.083798882681563
skin,Immune (myeloid),MAPK1,1.2962962,15.083798882681563
skin,Immune (myeloid),ABL1,1.074074,15.083798882681563
skin,Immune (myeloid),PGK1,1.1851852,15.083798882681563
skin,Immune (myeloid),MAP2K5,1.2222222,15.083798882681563
skin,Immune (myeloid),PFKFB3,1.1481482,15.083798882681563
skin,Immune (myeloid),PRKDC,1.1111112,15.083798882681563
skin,Immune (myeloid),PPIP5K2,1.0,14.52513966480447
skin,Immune (myeloid),PIK3CB,1.2692307,14.52513966480447
skin,Immune (myeloid),CAMK2D,1.1923077,14.52513966480447
skin,Immune (myeloid),MAP3K14,1.0769231,14.52513966480447
skin,Immune (myeloid),ATR,1.0769231,14.52513966480447
skin,Immune (myeloid),MAP4K4,1.0769231,14.52513966480447
skin,Immune (myeloid),TAF1,1.1538461,14.52513966480447
skin,Immune (myeloid),NLK,1.36,13.966480446927374
skin,Immune (myeloid),FGR,1.24,13.966480446927374
skin,Immune (myeloid),LRRK1,1.48,13.966480446927374
skin,Immune (myeloid),PRKD3,1.08,13.966480446927374
skin,Immune (myeloid),CASK,1.125,13.40782122905028
skin,Immune (myeloid),PRKX,1.2916666,13.40782122905028
skin,Immune (myeloid),ETNK1,1.2083334,13.40782122905028
skin,Immune (myeloid),HCK,1.2083334,13.40782122905028
skin,Immune (myeloid),CDK6,1.1666666,13.40782122905028
skin,Immune (myeloid),TLK1,1.1304348,12.849162011173185
skin,Immune (myeloid),ADPGK,1.1304348,12.849162011173185
skin,Immune (myeloid),ALPK1,1.173913,12.849162011173185
skin,Immune (myeloid),GAK,1.2173913,12.849162011173185
skin,Immune (myeloid),IKBKB,1.1304348,12.849162011173185
skin,Immune (myeloid),MAP3K1,1.0869565,12.849162011173185
skin,Immune (myeloid),CSNK1G2,1.1363636,12.290502793296088
skin,Immune (myeloid),PRKCH,1.3636364,12.290502793296088
skin,Immune (myeloid),TTBK2,1.0454545,12.290502793296088
skin,Immune (myeloid),ROCK2,1.0909091,12.290502793296088
skin,Immune (myeloid),MAP3K7,1.0909091,12.290502793296088
skin,Immune (myeloid),NME3,1.2380953,11.731843575418994
skin,Immune (myeloid),TGFBR1,1.0952381,11.731843575418994
skin,Immune (myeloid),ACVR2A,1.0476191,11.731843575418994
skin,Immune (myeloid),SNRK,1.1,11.1731843575419
skin,Immune (myeloid),CDK8,1.1,11.1731843575419
skin,Immune (myeloid),PIK3CD,1.0,11.1731843575419
skin,Immune (myeloid),TESK2,1.2,11.1731843575419
skin,Immune (myeloid),STK10,1.0,11.1731843575419
skin,Immune (myeloid),SCYL2,1.05,11.1731843575419
skin,Immune (myeloid),OXSR1,1.1,11.1731843575419
skin,Immune (myeloid),MARK2,1.1,11.1731843575419
skin,Immune (myeloid),EIF2AK4,1.2105263,10.614525139664805
skin,Immune (myeloid),STK24,1.1052631,10.614525139664805
skin,Immune (myeloid),PAPSS2,1.0526316,10.614525139664805
skin,Immune (myeloid),ABL2,1.1578947,10.614525139664805
skin,Immune (myeloid),FGGY,1.1052631,10.614525139664805
skin,Immune (myeloid),CDC42BPA,1.0555556,10.05586592178771
skin,Immune (myeloid),MAPK8,1.2222222,10.05586592178771
skin,Immune (myeloid),POLR2A,1.1111112,10.05586592178771
skin,Immune (myeloid),PIKFYVE,1.0,10.05586592178771
skin,Immune (myeloid),NEK3,1.1111112,10.05586592178771
skin,Immune (myeloid),PRKCA,1.2352941,9.497206703910614
skin,Immune (myeloid),SLK,1.117647,9.497206703910614
skin,Immune (myeloid),SIK2,1.2352941,9.497206703910614
skin,Immune (myeloid),RIOK3,1.117647,9.497206703910614
skin,Immune (myeloid),TNK2,1.0,9.497206703910614
skin,Immune (myeloid),PIP5K1A,1.1764706,9.497206703910614
skin,Immune (myeloid),VRK2,1.0625,8.938547486033519
skin,Immune (myeloid),CDC42BPB,1.0,8.938547486033519
skin,Immune (myeloid),CLK4,1.125,8.938547486033519
skin,Immune (myeloid),TYK2,1.125,8.938547486033519
skin,Immune (myeloid),PTK2,1.625,8.938547486033519
skin,Immune (myeloid),PIK3C3,1.0,8.938547486033519
skin,Immune (myeloid),PI4KB,1.0,8.938547486033519
skin,Immune (myeloid),STK11,1.0625,8.938547486033519
skin,Immune (myeloid),CSNK2A1,1.1333333,8.379888268156424
skin,Immune (myeloid),ULK1,1.0,8.379888268156424
skin,Immune (myeloid),MAP4K5,1.4,8.379888268156424
skin,Immune (myeloid),IP6K1,1.1333333,8.379888268156424
skin,Immune (myeloid),PANK2,1.1333333,8.379888268156424
